Gene = aust
index = 1617
Annotated 5SS: [290]
Annotated 3SS: [355]
SMsplice 5SS: [290]
SMsplice 3SS: [355]
top_k =  100
Partition function (log Z): -0.8675193222954811

Sorted 5' Splice Sites (High to Low Probability):
Position 290: 0.9975473167396443
Position 747: 0.007875519605703197
Position 679: 0.007361342350478564
Position 203: 0.004768039153497035
Position 193: 0.0004934923362622904
Position 801: 0.00012022181761325821
Position 643: 5.453057407786865e-05
Position 200: 4.630856926125683e-05
Position 258: 3.425537376641028e-05
Position 175: 3.1903762640525644e-05
Position 607: 2.4255812725767166e-05
Position 783: 2.3425713730912534e-05
Position 631: 2.3288333912839674e-05
Position 487: 8.048723748932936e-06
Position 323: 6.162061218793609e-06
Position 514: 5.419563774286094e-06
Position 598: 5.302983909464482e-06
Position 924: 3.592081919757458e-06
Position 100: 2.670503686680226e-06
Position 4: 1.1130819697805765e-06
Position 921: 8.39373813173307e-07
Position 25: 2.0247546414690967e-07
Position 308: 1.672271666400905e-08
Position 451: 7.7560732837296e-09
Position 574: 6.630228517254629e-09
Position 554: 6.457092525549856e-09
Position 62: 6.3989929485460044e-09
Position 108: 2.5063893938877464e-09
Position 329: 1.7129582875168665e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 355: 0.9980905730297188
Position 817: 0.007084655806448131
Position 854: 0.004363612740318727
Position 757: 0.0035625514064387648
Position 264: 0.0022776293290547285
Position 392: 0.0008739415725274594
Position 282: 0.0006495898489125196
Position 380: 0.0004569638281846861
Position 417: 0.00037513477593685514
Position 991: 0.00028629287830708066
Position 363: 0.00019032814496391332
Position 766: 0.0001402525321273693
Position 678: 5.428176160796621e-05
Position 549: 7.992903561068725e-06
Position 869: 7.03600134654178e-06
Position 777: 6.723181863464304e-06
Position 590: 5.46097280790731e-06
Position 206: 1.8148952919393127e-06
Position 55: 8.390006532494771e-07
Position 241: 4.691506221045021e-07
Position 192: 3.222778980405209e-07
Position 66: 2.2057612014254396e-07
Position 234: 1.7800352349244304e-07
Position 284: 1.5914062471504284e-07
Position 81: 9.741843734566944e-08
Position 48: 5.1232009356280975e-08
Position 168: 4.258233030143368e-08
Position 100: 1.7515945172740152e-08
Position 141: 1.5474568175945164e-08
Position 219: 1.4823454555468794e-08
Position 72: 1.3104423190669423e-08
Position 94: 6.9934563157543935e-09
Position 174: 6.017623208746536e-09
Position 78: 5.519426120361635e-09
Position 159: 4.736737625572053e-09
