Gene = PDCD-5
index = 1353
Annotated 5SS: [199 565]
Annotated 3SS: [449 621]
SMsplice 5SS: [199 565]
SMsplice 3SS: [449 621]
top_k =  100
Partition function (log Z): -0.2189986251860574

Sorted 5' Splice Sites (High to Low Probability):
Position 199: 0.9922327497089467
Position 565: 0.9798231223775672
Position 702: 0.1241221455151627
Position 332: 0.0026480399895359675
Position 56: 0.0015559979968800062
Position 203: 0.0008351739973766296
Position 15: 0.0005301400787110066
Position 341: 0.00042669924484138767
Position 569: 0.00025887857271284035
Position 879: 9.40455008915965e-05
Position 216: 8.077191458348101e-05
Position 395: 5.646857305250092e-05
Position 311: 4.862120358984817e-05
Position 537: 4.840750421493351e-05
Position 260: 2.8697988144608506e-05
Position 146: 2.2332653286553972e-05
Position 23: 1.76906627183428e-05
Position 697: 1.61779333414351e-05
Position 728: 8.837592104324616e-06
Position 370: 6.012520875305092e-06
Position 189: 1.655581929455465e-06
Position 177: 9.869858407052059e-07
Position 138: 7.237550811455708e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9864063460708842
Position 621: 0.9504210030737458
Position 761: 0.0794045886534151
Position 770: 0.044743204765637756
Position 636: 0.024796131674210638
Position 354: 0.005433525393837194
Position 640: 0.0035327903317419044
Position 406: 0.002749834835227085
Position 345: 0.0018240665083012863
Position 127: 0.0008591972683115292
Position 260: 0.0003564036407056829
Position 692: 0.0003446177736342356
Position 951: 0.0003358303945103236
Position 701: 0.0003126486009310677
Position 748: 0.000236807453075676
Position 72: 0.0002283604988703588
Position 644: 0.00016052838709385012
Position 75: 0.00015528442356505938
Position 326: 0.00015211842772992008
Position 728: 0.00013103017358625797
Position 316: 0.00011564317285980356
Position 134: 2.8898387146571393e-05
Position 494: 2.5559030742533302e-05
Position 939: 2.302424627259033e-05
Position 879: 2.1688043492585204e-05
Position 488: 1.4322265658701584e-05
Position 171: 1.339167297382743e-05
Position 817: 1.3050255346064263e-05
Position 491: 4.074861483239767e-06
Position 244: 3.989060314272764e-06
Position 146: 2.6327789670406843e-06
Position 595: 2.5410799514641774e-06
Position 287: 1.9210202376519476e-06
Position 84: 1.7326798808587836e-06
Position 279: 1.4220149275070428e-06
Position 370: 1.3893633346544536e-06
Position 473: 1.280637853674481e-06
Position 485: 1.247467645945858e-06
Position 653: 7.620543619515596e-07
Position 189: 6.078167497440977e-07
Position 537: 5.431935809784026e-07
Position 480: 3.3839833585965883e-07
Position 121: 2.5624298746094917e-13
