Gene = LSm-4
index = 1248
Annotated 5SS: [ 375  593 1211 1313 1474]
Annotated 3SS: [ 448  652 1270 1374 1646]
SMsplice 5SS: [ 375  593 1211 1313 1474]
SMsplice 3SS: [ 448  652 1270 1374 1646]
top_k =  100
Partition function (log Z): 10.133914761096943

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.9993235186526632
Position 375: 0.9950575281242413
Position 1211: 0.9743551736651317
Position 1474: 0.8966808021831576
Position 1313: 0.7466452295259548
Position 1494: 0.03445847269949503
Position 1417: 0.020919230298724653
Position 27: 0.007300239798597689
Position 750: 0.006892386537217096
Position 245: 0.004354278338718241
Position 1231: 0.003506745062343852
Position 1013: 0.003122079561219206
Position 1579: 0.0030281214381645666
Position 803: 0.001714084175375118
Position 15: 0.0015910900496225939
Position 922: 0.0015725357538539729
Position 1549: 0.0014504127764107476
Position 1504: 0.0012413284942487145
Position 1032: 0.0005798848589694692
Position 1456: 0.0004541615754282939
Position 103: 0.0004136079390059098
Position 1498: 0.00038776060150120324
Position 597: 0.00037085670189913243
Position 395: 0.0003456253474665822
Position 379: 0.00029337343667681286
Position 58: 0.00028134403327230824
Position 1320: 0.00021857662792223008
Position 168: 0.00021500408457244928
Position 844: 0.00013656025217271623
Position 849: 0.0001314323189669483
Position 43: 9.440290786482814e-05
Position 208: 8.197593472143148e-05
Position 1149: 7.979915358430494e-05
Position 1184: 7.06903677846487e-05
Position 740: 6.491615033205923e-05
Position 269: 5.048574223514234e-05
Position 31: 4.485696501373654e-05
Position 195: 4.332892322472467e-05
Position 819: 3.220422035992707e-05
Position 788: 2.877652027230337e-05
Position 141: 2.6983708470989366e-05
Position 201: 2.1366204542502387e-05
Position 331: 1.1956066025968622e-05
Position 356: 9.035980653995543e-06
Position 37: 8.512812628722028e-06
Position 1006: 5.497711114816289e-06
Position 166: 5.230757124874242e-06
Position 72: 3.273642223474795e-06
Position 101: 2.7445241978665835e-06
Position 328: 2.105530944690138e-06
Position 557: 6.206116660902584e-08
Position 551: 2.224289016434842e-08
Position 543: 5.968021189792651e-09
Position 504: 9.170346127663018e-10
Position 541: 8.541116394950328e-10
Position 78: 2.4232075964731125e-11
Position 147: 3.6348743562646523e-12
Position 152: 9.00085875618666e-13
Position 286: 4.027758381046256e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 448: 0.9889170606865695
Position 652: 0.9739873497784435
Position 1270: 0.9621839944162307
Position 1646: 0.944762182088134
Position 1374: 0.746170476080564
Position 681: 0.0168835417326441
Position 1518: 0.016233176133657944
Position 83: 0.008503420559823392
Position 978: 0.00815365301230552
Position 1295: 0.007948687264541935
Position 1586: 0.006494345687734449
Position 314: 0.005248952470935574
Position 456: 0.0037203708865365726
Position 788: 0.002896941365543034
Position 1097: 0.0025374904495256674
Position 900: 0.0019252725765661592
Position 695: 0.0015381624854095258
Position 1080: 0.0014253677792434012
Position 849: 0.0013981923746323142
Position 459: 0.0012715696664790527
Position 483: 0.0010631001926310268
Position 723: 0.001015571122201482
Position 1149: 0.0008292827082346829
Position 166: 0.0003216591001161589
Position 525: 0.00028919768398038567
Position 1023: 0.00025358897812246086
Position 471: 0.00025217341849576713
Position 984: 0.00024349681539063996
Position 501: 0.00023426859472495257
Position 1116: 0.00016863235391977407
Position 98: 0.0001501548653682396
Position 910: 0.00012791586559308176
Position 195: 0.00012148786065230199
Position 1300: 0.00010969735230905226
Position 1340: 0.0001037493709894229
Position 707: 6.939933513104373e-05
Position 141: 6.106171254142477e-05
Position 1817: 5.672137819627918e-05
Position 192: 1.9347834898225926e-05
Position 324: 1.810729427573019e-05
Position 101: 8.66956860527566e-06
Position 108: 6.66758491423391e-06
Position 557: 3.0146279682290844e-06
Position 515: 2.319521957721835e-06
Position 1421: 1.881715711061004e-07
