Gene = Mcr
index = 1273
Annotated 5SS: [ 172 3220 7063 7320 7555 7729]
Annotated 3SS: [2369 3314 7125 7379 7622 7814]
SMsplice 5SS: [ 172 3220 7063 7320 7555 7729]
SMsplice 3SS: [2258 3314 7125 7379 7622 7814]
top_k =  100
Partition function (log Z): 16.174368729238672

Sorted 5' Splice Sites (High to Low Probability):
Position 7320: 0.9991711052703227
Position 3220: 0.997259932742938
Position 7729: 0.9940772960068419
Position 7063: 0.9849801311123659
Position 7555: 0.9779489256901739
Position 172: 0.815336723837448
Position 1052: 0.2016399331195388
Position 2520: 0.11424581369070205
Position 88: 0.061965908333384626
Position 425: 0.04695637902491097
Position 8629: 0.02924525228838526
Position 1047: 0.02019769321457471
Position 7495: 0.015615696479491192
Position 673: 0.010392323208726547
Position 2090: 0.009164784181104444
Position 2008: 0.007151269713450382
Position 649: 0.006652316473717861
Position 8357: 0.005640686133320207
Position 7760: 0.005343365917484373
Position 31: 0.004503012815836647
Position 43: 0.0038516816603109912
Position 373: 0.002700599009205863
Position 3460: 0.002475973375998823
Position 7893: 0.0022472692252161106
Position 5383: 0.002047927194934825
Position 379: 0.0017998773409207969
Position 226: 0.001724191564239397
Position 8082: 0.00152244615531825
Position 5494: 0.0014781872151277372
Position 3391: 0.0013663228459678044
Position 4294: 0.001359617172512135
Position 336: 0.001054256216782538
Position 47: 0.000970026256966715
Position 347: 0.0008570933337720316
Position 8274: 0.0008543360751444057
Position 3547: 0.0008538435973930566
Position 3517: 0.0008478400188360183
Position 704: 0.0007352473743208205
Position 8053: 0.0006291014154634786
Position 3917: 0.0006155814573946747
Position 7733: 0.0005773078766684875
Position 4003: 0.0005603773527571382
Position 7493: 0.0005090953004747907
Position 5368: 0.0003187947389154079
Position 7874: 0.000275709546652365
Position 321: 0.00025078077399166826
Position 8642: 0.00023079843590436032
Position 8405: 0.00023075070220764815
Position 3829: 0.00022984707027239203
Position 521: 0.00021973658362410523
Position 7345: 0.00020162972125150266
Position 5165: 0.0001826992539976916
Position 7537: 0.00016786194646055495
Position 678: 0.00013758934870968236
Position 643: 0.00011879418625093423
Position 54: 0.00010440003433901845
Position 7961: 0.00010363265899951398
Position 7517: 3.5376520208020135e-05
Position 7313: 3.185661276361493e-05
Position 7324: 3.085229475509065e-05
Position 7480: 2.8562775580364894e-05
Position 7306: 9.58328804742104e-06
Position 7997: 3.537894460755792e-06
Position 7290: 2.799894013281298e-06
Position 7701: 2.020612525272268e-06
Position 7897: 1.8811370619725958e-06
Position 8087: 7.676271998978943e-07
Position 8199: 7.547860020649065e-07
Position 7983: 5.030005159573317e-07
Position 1059: 3.792647775037092e-08
Position 7869: 1.5245099244241355e-08
Position 7891: 6.489800431536164e-09
Position 7876: 2.408252248651238e-09
Position 7667: 7.785984782813614e-10
Position 7663: 6.248784872537109e-10
Position 4007: 5.866201405604125e-10
Position 7644: 2.4702222020378382e-12
Position 7685: 2.2397704289630204e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7814: 0.9995826725451455
Position 3314: 0.9973171429930948
Position 7622: 0.9957680556207097
Position 7379: 0.9872337485799041
Position 7125: 0.9779322230207181
Position 2258: 0.33982833490477654
Position 2369: 0.3366527458129722
Position 896: 0.3000873022992363
Position 2834: 0.08718533513106355
Position 2583: 0.08052374132648214
Position 2862: 0.05194651765245498
Position 2839: 0.03932683687566334
Position 2601: 0.03296540865520782
Position 8703: 0.02922011878842371
Position 7132: 0.02090786296925251
Position 7404: 0.010267172349521762
Position 854: 0.008333986635916535
Position 2117: 0.0075788139777608985
Position 1142: 0.005363364350006109
Position 399: 0.005030658356033554
Position 1208: 0.003362906500121208
Position 419: 0.003135308472638783
Position 1858: 0.003089485885612942
Position 8672: 0.002994868896002552
Position 8456: 0.0025081721505671242
Position 521: 0.0022081262906922354
Position 7959: 0.0021739639687130808
Position 1721: 0.0017362488954729912
Position 1122: 0.0016352799441356836
Position 8122: 0.0014241819439954014
Position 8142: 0.0011950829151259903
Position 7188: 0.0009563978207924359
Position 8329: 0.0006483160698056978
Position 8625: 0.00040086065438758357
Position 7411: 0.00029834739697795536
Position 8211: 0.000209081531867041
Position 8326: 0.00020602000533870776
Position 7152: 0.00020351618923415417
Position 8717: 0.0001454241914100392
Position 8264: 0.00012571552195521024
Position 8759: 7.804287902642968e-05
Position 7873: 7.492916323863511e-05
Position 7458: 6.225748398744699e-05
Position 7461: 3.6725923048876006e-05
Position 7559: 3.2542961647859136e-05
Position 7363: 2.717842715051065e-05
Position 7398: 1.3480625145639312e-05
Position 7674: 1.2708189559666272e-05
Position 7634: 1.1200575976567647e-06
