Gene = Osi21
index = 1349
Annotated 5SS: [816]
Annotated 3SS: [984]
SMsplice 5SS: [816]
SMsplice 3SS: [984]
top_k =  100
Partition function (log Z): -2.0467835961964984

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.9922821235719692
Position 273: 0.034804589284663984
Position 262: 0.01698740095051877
Position 271: 0.005297097852297361
Position 793: 0.004784899650302104
Position 218: 0.003548160314953277
Position 60: 0.003250325274874265
Position 852: 0.0011263401370793212
Position 615: 0.0008344467940556451
Position 139: 0.0007142255047818737
Position 715: 0.00032659358511122474
Position 559: 0.0003163995102634842
Position 548: 0.0003126530349734908
Position 1079: 0.00030168057205170947
Position 803: 0.00029664457121733546
Position 839: 0.0002167017939568165
Position 1243: 0.00016415117266375696
Position 830: 0.00015281676008401256
Position 1269: 0.00012514743470785732
Position 1283: 8.386337089636053e-05
Position 135: 7.303487710911709e-05
Position 245: 6.827672707602217e-05
Position 847: 5.235409378976138e-05
Position 190: 4.819244058529776e-05
Position 160: 4.45461056356264e-05
Position 538: 2.7843185188751037e-05
Position 1117: 1.2835682383434635e-05
Position 1228: 1.0920186045709599e-05
Position 1087: 7.968324285310304e-06
Position 1307: 5.3254713560029036e-06
Position 1280: 4.789040847510247e-06
Position 27: 3.0284110797881864e-07
Position 85: 2.2822198301436563e-07
Position 21: 1.0657840143923479e-07
Position 148: 6.316563886508782e-08
Position 110: 6.136292066164936e-08
Position 886: 2.2049991282328366e-08
Position 833: 1.2443353080125064e-08
Position 13: 3.703692518320423e-09
Position 117: 3.5031982393390584e-09
Position 380: 2.708758712505118e-09
Position 665: 1.8473817288383364e-09
Position 212: 1.2737693756069242e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 984: 0.9498517755110764
Position 341: 0.059871344398977004
Position 941: 0.04978816976008918
Position 321: 0.0030994646885509763
Position 672: 0.0009259940061223853
Position 492: 0.0005692356593561246
Position 773: 0.0004281437011763173
Position 1307: 0.0003235936629236433
Position 142: 0.0003196951353340135
Position 1365: 0.00029312411258395
Position 1135: 0.00022695643161619317
Position 212: 0.00014279466446023026
Position 886: 0.00010788182894945582
Position 160: 9.033604475479069e-05
Position 1018: 8.068562138501475e-05
Position 325: 7.52478802364766e-05
Position 232: 3.2652575580056746e-05
Position 1034: 2.9152838644674435e-05
Position 108: 2.6505371893974666e-05
Position 89: 4.018097149504007e-07
