Gene = ND-MLRQ
index = 1304
Annotated 5SS: [ 151  355 2277]
Annotated 3SS: [ 207 2130 6516]
SMsplice 5SS: [ 151  355 1742]
SMsplice 3SS: [ 207 1431 2130]
top_k =  100
Partition function (log Z): -8.110202023166924

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9805474010809377
Position 151: 0.8663370567403742
Position 1742: 0.45686284515708103
Position 44: 0.13285449142945047
Position 1961: 0.1014975820612727
Position 2277: 0.07257183541010623
Position 1847: 0.025390796854443703
Position 579: 0.023303451489300554
Position 1863: 0.023154257347933714
Position 39: 0.015156367189420625
Position 1198: 0.013874419951144377
Position 2580: 0.01356646175720785
Position 1521: 0.011382257936156008
Position 2227: 0.010592988852727022
Position 746: 0.009532362760632868
Position 791: 0.0062101870556933786
Position 1494: 0.006076005348563143
Position 1954: 0.00544756219381293
Position 2554: 0.003860453398787602
Position 608: 0.003314058555656304
Position 34: 0.0025794729701414656
Position 1578: 0.002261062383115419
Position 706: 0.001959780933984428
Position 1206: 0.0011955419382375437
Position 1189: 0.0011174339839906237
Position 968: 0.0008991473447129221
Position 131: 0.00010591433856531039
Position 333: 4.159274399888593e-05
Position 155: 3.483632559342104e-05
Position 116: 3.071647827615487e-05
Position 9: 1.3509779156376156e-05
Position 60: 9.854057111201997e-06
Position 122: 9.494061816071016e-06
Position 555: 6.154264107090995e-06
Position 19: 3.1311320058846555e-06
Position 100: 1.4565920503412807e-06
Position 62: 1.0732083319332651e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 207: 0.8686416662776685
Position 2130: 0.6737682767964269
Position 1431: 0.6341955928243844
Position 5290: 0.20802078279181985
Position 103: 0.1281242770852605
Position 6516: 0.07665870327801297
Position 454: 0.039656677901691584
Position 4337: 0.03311852487390698
Position 1846: 0.024434629725187895
Position 920: 0.017715706920912726
Position 2647: 0.013566461757207864
Position 618: 0.013477290335502328
Position 2323: 0.010202561482689759
Position 2817: 0.00944045892226235
Position 2290: 0.009272333431969556
Position 1573: 0.006055273815435036
Position 666: 0.005336835150424263
Position 115: 0.0050517020965687946
Position 647: 0.004113934208723658
Position 2612: 0.003860453398787602
Position 1478: 0.0030813915802541682
Position 577: 0.002569898207039784
Position 552: 0.000998304391764986
Position 148: 0.0003853160257205213
Position 173: 2.9494459321712852e-05
Position 408: 1.3179038152546457e-05
Position 558: 4.618708033060991e-06
Position 413: 3.5027827442336623e-06
Position 131: 2.620666591698066e-06
Position 235: 1.5802775666841757e-06
Position 331: 4.371753028296982e-12
Position 333: 1.995869633731803e-12
