Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  100
Partition function (log Z): 2.983068286189325

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9992560699796232
Position 12012: 0.989251062823187
Position 12436: 0.9718271809450818
Position 1137: 0.8807953588367416
Position 417: 0.3169804026327677
Position 13656: 0.17900468822313445
Position 10241: 0.01913322023399751
Position 206: 0.018795126109122158
Position 435: 0.017974013735844466
Position 15258: 0.015887793921609633
Position 1884: 0.013833539855694294
Position 12078: 0.006897302789335136
Position 1152: 0.005769570131074344
Position 1932: 0.0057371125988348775
Position 1876: 0.005230730672146653
Position 826: 0.0049246025008851625
Position 6641: 0.004453760922424592
Position 60: 0.003634518722490913
Position 799: 0.001610743024139782
Position 11936: 0.001270647960131283
Position 14355: 0.0007927677427604127
Position 291: 0.0007789117611288921
Position 12557: 0.0007588386076829162
Position 11767: 0.0006996879311797832
Position 910: 0.0006243247672452018
Position 67: 0.0004903917979194376
Position 12296: 0.0004703490302889449
Position 12559: 0.00035734092417300087
Position 12553: 0.000287744885629347
Position 421: 0.000287235518682096
Position 12304: 0.0002594152893426569
Position 11989: 0.00025444688544975553
Position 739: 0.00023010373473513322
Position 12465: 0.0002226084089292601
Position 12451: 0.00022023309975670392
Position 742: 0.0002100202546974096
Position 12561: 0.00019747126120962889
Position 462: 0.0001378994737361824
Position 11965: 0.00010407984172329605
Position 12034: 9.83155240940925e-05
Position 12699: 8.16165025527173e-05
Position 12048: 7.168869418344058e-05
Position 12281: 6.808290184212145e-05
Position 1197: 5.635816338871816e-05
Position 11751: 4.25208492230196e-05
Position 12016: 3.871714620894842e-05
Position 1540: 3.6639531925924293e-05
Position 1220: 3.561687922909238e-05
Position 11947: 1.5744020097187197e-05
Position 12563: 9.42947939270888e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11555: 0.9999185827123345
Position 11827: 0.9977138012814772
Position 12372: 0.928168988944825
Position 19383: 0.5257097829341549
Position 18754: 0.20679652298459203
Position 519: 0.14795618317672446
Position 17798: 0.11490481613876678
Position 12606: 0.08856850735078983
Position 20134: 0.06829469825740693
Position 12774: 0.057201519263933846
Position 12198: 0.05023831828518895
Position 966: 0.0499309893172487
Position 15320: 0.027360775952552527
Position 1694: 0.024801383126675812
Position 15141: 0.02374947486239459
Position 10085: 0.019213029024742624
Position 17823: 0.015143447315035427
Position 498: 0.012576713056852254
Position 476: 0.00962769707480181
Position 16196: 0.007613805349932901
Position 17587: 0.007540551877003134
Position 13804: 0.007509229509944016
Position 933: 0.007394103605979611
Position 12296: 0.0066338798443681644
Position 12680: 0.006480496539757603
Position 462: 0.006367624200204453
Position 798: 0.005480804296383317
Position 12301: 0.004467453454279474
Position 6082: 0.004453760922424593
Position 13163: 0.00439583788635043
Position 12125: 0.0038491355617611077
Position 648: 0.0037187815338934073
Position 124: 0.0029951428972608608
Position 1016: 0.0022960152654098115
Position 16532: 0.002199731418722301
Position 695: 0.0021337030462350018
Position 11848: 0.0019368094780075294
Position 12239: 0.0018634139995928336
Position 15144: 0.0018299627222130197
Position 15440: 0.0018161011891102159
Position 12817: 0.0014460980221671293
Position 13166: 0.0013934808707341097
Position 13127: 0.0013661629311956921
Position 543: 0.001079731982199252
Position 1067: 0.0009579977710230116
Position 524: 0.0008556060185924277
Position 14416: 0.0007927677427604128
Position 14044: 0.0005334472337249546
Position 12254: 0.00026037534277909783
Position 11839: 0.00024298332232456081
Position 13739: 9.625118514223074e-05
Position 12314: 7.272336410007853e-05
Position 12104: 6.786723853461848e-05
Position 11921: 5.780443442826591e-05
Position 12637: 4.4260566858688806e-05
Position 12202: 3.5297124020296126e-05
Position 11863: 1.8644802812463947e-05
Position 12171: 1.2267633735179422e-05
Position 12109: 5.681872641763605e-06
Position 12398: 4.668905150249403e-06
Position 11935: 2.7256909853590607e-07
Position 1360: 2.205209002717614e-07
Position 1267: 1.2670527240707393e-07
Position 888: 1.1093808964388204e-07
Position 1311: 7.55924592098021e-08
Position 601: 7.292058933889689e-08
Position 635: 6.400370418395809e-08
Position 822: 4.3162138417361956e-08
Position 652: 3.048979550349919e-08
Position 11941: 1.415775203319768e-09
