Gene = smog
index = 1881
Annotated 5SS: [  153  1865 13267 17854 17973 18332 18475 18901 19030 19493 19830 21136
 21306 21699]
Annotated 3SS: [ 1533 12283 17613 17913 18211 18393 18551 18960 19090 19634 20953 21193
 21677 22022]
SMsplice 5SS: [  153 13267 17854 17973 18332 18475 18901 19030 19493 19830 21136 21306
 21699]
SMsplice 3SS: [12283 17613 17913 18211 18393 18551 18960 19090 19634 20731 21193 21477
 22022]
top_k =  100
Partition function (log Z): 27.10255385949982

Sorted 5' Splice Sites (High to Low Probability):
Position 18332: 0.9993022509089544
Position 18475: 0.9983840159660339
Position 21136: 0.9983725441641167
Position 19493: 0.9931036291558626
Position 18901: 0.9914816487821811
Position 19030: 0.9911024486887126
Position 17973: 0.9682630446435552
Position 17854: 0.9535137162355183
Position 21306: 0.9398649690868047
Position 13267: 0.919135706053653
Position 21699: 0.7580688984086683
Position 19830: 0.6864667162627198
Position 153: 0.5691002480093401
Position 73: 0.16913745973081842
Position 22276: 0.16545805325444982
Position 433: 0.13893554155760926
Position 20954: 0.12494926425327292
Position 1865: 0.12282675070223154
Position 22291: 0.10694263226332737
Position 17731: 0.02292021772661243
Position 22266: 0.015461059962251396
Position 22484: 0.011772062928240916
Position 22308: 0.011724773454975506
Position 19814: 0.005511259698318657
Position 19808: 0.00487774225313717
Position 21401: 0.0044769523887431325
Position 18894: 0.004136084885990029
Position 19789: 0.0034815689765125704
Position 20135: 0.0030592966508199474
Position 18006: 0.0029455064888601673
Position 20585: 0.002874054037956122
Position 18871: 0.0026678148627800945
Position 18479: 0.0011396970320608562
Position 21081: 0.0010995966056812543
Position 19500: 0.0010822529211015083
Position 18008: 0.0010469916253700196
Position 21256: 0.0005168093104996358
Position 18717: 0.0003796775698071109
Position 19065: 0.00034972775193416015
Position 20078: 0.00034316854224852384
Position 19399: 0.00026236824493130524
Position 18693: 0.00023867460507350378
Position 19283: 0.00023371293963999522
Position 18974: 0.00014016754364333506
Position 19267: 0.0001099253178129189
Position 19571: 0.00010828438638027021
Position 19344: 8.048384765337393e-05
Position 18908: 5.298559678012736e-05
Position 19034: 2.9498504773584318e-05
Position 19486: 2.660975817407521e-05
Position 19012: 2.4275254934360074e-05
Position 18623: 2.1920490153703826e-05
Position 18832: 1.843483944537268e-05
Position 18726: 1.666875341459209e-05
Position 18790: 8.439162508211772e-06
Position 18462: 8.202701607975314e-06
Position 19069: 8.129585716609487e-06
Position 19940: 6.147508434679896e-06
Position 18877: 4.843516127182402e-06
Position 18852: 2.1967453802698456e-06
Position 18763: 1.8736177446052082e-06
Position 18862: 1.4468351164952398e-06
Position 18823: 1.2501545032766877e-06
Position 18615: 1.1268644535395772e-06
Position 18767: 1.113971422333195e-06
Position 18728: 6.888500631548628e-07
Position 18685: 2.583777629428045e-07
Position 19467: 1.9008160206417278e-07
Position 19505: 1.8483585078376728e-07
Position 18455: 8.389590438754897e-10
Position 18482: 2.5832831016646434e-11
Position 18507: 1.7940075646702097e-11
Position 18468: 1.4123951429658285e-11
Position 18431: 1.2940713804417137e-11
Position 18395: 1.5641738642150485e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 21193: 0.9997830248536463
Position 18393: 0.9993055909587998
Position 18960: 0.9985330800324096
Position 17613: 0.994515514462772
Position 19090: 0.9903037123047775
Position 17913: 0.9783607591241705
Position 18551: 0.9687767287275129
Position 22022: 0.9592232073676962
Position 12283: 0.9191357060536527
Position 18211: 0.7691152893724124
Position 19634: 0.7537420649359978
Position 20731: 0.5845417585914128
Position 21477: 0.5730543636344609
Position 20946: 0.230160044873095
Position 21007: 0.15773553041835983
Position 22373: 0.14383836698895075
Position 18151: 0.13578157220054093
Position 21552: 0.10182787746747406
Position 18115: 0.06276499323260847
Position 22352: 0.05813986169160398
Position 22538: 0.036203193164814636
Position 22329: 0.03363610844825025
Position 18780: 0.029039749105784392
Position 23243: 0.021638092139300832
Position 22045: 0.0179846539897107
Position 22789: 0.017902959430324362
Position 19998: 0.017717487987050147
Position 20270: 0.015621778365429079
Position 21384: 0.013872013107605807
Position 20815: 0.013523570401758347
Position 21943: 0.011657715470876975
Position 21677: 0.011238251374150987
Position 20820: 0.009333060420285571
Position 20438: 0.008771331622903838
Position 20300: 0.008124702981403345
Position 21835: 0.007747024595298824
Position 19687: 0.007111394376704679
Position 20541: 0.007035666910326309
Position 20362: 0.005588073130704681
Position 21404: 0.004450616923996287
Position 18226: 0.0030354423129774384
Position 20341: 0.0026153090362460813
Position 18083: 0.0024004788596749685
Position 18159: 0.0021483801073503
Position 19123: 0.0013861044961899396
Position 21683: 0.0012429654666129197
Position 20561: 0.0012311647006427884
Position 18783: 0.0011063833741919093
Position 19947: 0.0009085383172865997
Position 19540: 0.0008020869401208475
Position 18666: 0.0007869878462579725
Position 19766: 0.00048156054571375475
Position 19964: 0.00042920604574305806
Position 21305: 0.00042549584535891434
Position 19904: 0.00042339212537307957
Position 18316: 0.0003243420792211604
Position 18395: 0.00022799735302233513
Position 19344: 0.0001991446222629167
Position 21984: 0.0001937061308578761
Position 21239: 0.00013653392684034112
Position 18588: 0.00010191852011075418
Position 18755: 5.128240459458105e-05
Position 19399: 3.903261891891244e-05
Position 19351: 3.128392652823149e-05
Position 18786: 2.4732373377051302e-05
Position 21212: 1.675165508899968e-05
Position 18924: 1.5148777889471287e-05
Position 21221: 1.2383246142977192e-05
Position 21227: 1.0967914517893453e-05
Position 21256: 9.735415132913777e-06
Position 21353: 9.548680982427296e-06
Position 19467: 8.99234161849029e-06
Position 19558: 5.3232852113809244e-06
Position 19574: 4.591742916817237e-06
Position 19670: 1.7232419789965161e-06
Position 21411: 6.909744302877382e-07
Position 19577: 1.0828716238692424e-07
Position 19588: 3.0825199615216143e-08
