Gene = Shc
index = 1501
Annotated 5SS: [315]
Annotated 3SS: [376]
SMsplice 5SS: [315]
SMsplice 3SS: [376]
top_k =  100
Partition function (log Z): -4.516744433665448

Sorted 5' Splice Sites (High to Low Probability):
Position 315: 0.9953376672354558
Position 543: 0.0067010392136299095
Position 319: 0.004305231345643828
Position 1190: 0.0020884659832409273
Position 864: 0.001813159906349767
Position 1445: 0.0008882444291076991
Position 739: 0.0005606615891213168
Position 989: 0.0004436431772425427
Position 766: 0.0004163550467025936
Position 243: 0.00024576998004664693
Position 498: 0.00014247412213697384
Position 696: 0.00013292639173518342
Position 220: 0.00013158690105452336
Position 30: 0.00012630913830805507
Position 1558: 0.00012550191845904423
Position 18: 0.00011355361012081548
Position 299: 0.00011300886037847716
Position 1368: 7.892965956361686e-05
Position 306: 7.322004438720021e-05
Position 1161: 3.6009900108944574e-05
Position 238: 1.0511888661418092e-05
Position 224: 4.773795764530565e-07
Position 262: 3.175320545917604e-07
Position 208: 1.6030429199811684e-07
Position 256: 6.143988034975703e-08
Position 167: 2.5104334535758905e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.992413051112454
Position 1086: 0.004188621218300831
Position 781: 0.003095164104350645
Position 624: 0.002892021490459649
Position 1624: 0.0025745390267088806
Position 1534: 0.0017353436562852725
Position 1285: 0.0016588191421696393
Position 827: 0.0016217825730372843
Position 1250: 0.0012406117704955226
Position 920: 0.0005420826068186389
Position 463: 0.00035607486039126405
Position 863: 0.00028027581358561963
Position 742: 0.0002417129075658151
Position 306: 0.00020117963039268562
Position 1023: 0.0001678242861156556
Position 739: 0.0001664986181271412
Position 121: 0.00011669687205431257
Position 940: 0.00011467371367479526
Position 64: 0.0001082809013548222
Position 1650: 7.80037207929431e-05
Position 523: 6.016683034614021e-05
Position 294: 1.1032468344164139e-05
Position 310: 5.179287421808985e-06
Position 141: 3.873656160734416e-06
Position 89: 3.7964582994303444e-06
Position 83: 2.999980781357964e-06
Position 71: 2.5992991886900378e-06
Position 112: 1.1787574569822144e-06
Position 267: 6.973141254557094e-07
Position 182: 1.4664089839642327e-07
Position 96: 1.3271410434243481e-07
Position 93: 8.942603541085721e-08
Position 416: 7.971514029782508e-08
Position 428: 3.349865414183322e-08
Position 261: 3.022677063444818e-08
Position 470: 1.117345803148644e-08
Position 393: 6.629271491765754e-09
