Gene = DIP2
index = 1125
Annotated 5SS: [ 402  825 1306 1741 2141 2792 3258 4641 5120 5261 5416 5843 6565 7078
 7284]
Annotated 3SS: [ 752  897 1360 2049 2238 2916 3317 4958 5178 5310 5472 5903 6628 7134
 7340]
SMsplice 5SS: [ 402  825 1306 1741 2141 2792 3258 3468 4641 5261 5416 5843 6565 7078
 7284]
SMsplice 3SS: [ 752  897 1360 2049 2238 2842 3317 3910 4958 5310 5490 5903 6628 7134
 7340]
top_k =  100
Partition function (log Z): 12.192593522749698

Sorted 5' Splice Sites (High to Low Probability):
Position 5416: 1.0000000000000018
Position 3258: 0.996090899065036
Position 7284: 0.9948026623447158
Position 2792: 0.9452484901035337
Position 4641: 0.9400823598302018
Position 402: 0.9398285710693994
Position 5261: 0.9075312457044382
Position 2141: 0.8893285343219364
Position 7078: 0.8630617973537671
Position 1741: 0.8073639321194269
Position 825: 0.7618928843588104
Position 6565: 0.7460361995333701
Position 1306: 0.6201763398766458
Position 5120: 0.5454965811133018
Position 5843: 0.5052738049001149
Position 3468: 0.3824526695322293
Position 1984: 0.22040358874896623
Position 3401: 0.20793852291078954
Position 2170: 0.0723251749538372
Position 3636: 0.0667317078844045
Position 7441: 0.04125080921704678
Position 7612: 0.03628073170654959
Position 6479: 0.0360514676903544
Position 3866: 0.015385349815653596
Position 3831: 0.011943132273056776
Position 623: 0.00643850893387217
Position 3407: 0.005550392072268488
Position 1275: 0.005332747059743978
Position 2145: 0.0049524930505154725
Position 7561: 0.0043152256326797105
Position 6142: 0.0036176429834704287
Position 3423: 0.002991143086670447
Position 237: 0.0026036173776552043
Position 1745: 0.0025188755019911265
Position 6140: 0.0017644068049748754
Position 1187: 0.0008878564935967604
Position 625: 0.0007703353309189803
Position 140: 0.0006910167304536287
Position 627: 0.00044251487513990165
Position 40: 0.0003821191530450963
Position 913: 0.00028126635637639943
Position 394: 0.0002355725838961429
Position 1029: 0.00016902393433961205
Position 596: 0.00015902643505294185
Position 265: 0.00012699041517357952
Position 1020: 0.00010256791244575183
Position 1015: 7.716030421826718e-05
Position 247: 7.485466159670429e-05
Position 241: 6.948243597769276e-05
Position 148: 6.047965990216723e-05
Position 23: 4.875288755868471e-05
Position 215: 4.573757458011991e-05
Position 223: 3.895987283721489e-05
Position 171: 3.7806756165376906e-05
Position 450: 3.1831551984062734e-05
