Gene = Tnp1
index = 1130
Annotated 5SS: [185]
Annotated 3SS: [583]
SMsplice 5SS: [185]
SMsplice 3SS: [583]
top_k =  1000
Partition function (log Z): -6.2032766200083715

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.7061451451689326
Position 196: 0.28168299150372805
Position 164: 0.010907890929113552
Position 125: 0.0008963052408368728
Position 422: 0.00018506789481266184
Position 189: 6.840228722658402e-05
Position 154: 4.991573041625853e-05
Position 266: 2.905597554605695e-05
Position 269: 2.270154191750984e-05
Position 41: 2.1510701764123777e-05
Position 464: 2.122233558973081e-05
Position 48: 4.056522570149709e-06
Position 299: 3.414200772726395e-06
Position 215: 2.7654947750318406e-06
Position 376: 2.296676111094486e-06
Position 505: 2.133972914519011e-06
Position 115: 1.3253460341851537e-06
Position 328: 1.197748781217834e-06
Position 541: 7.895747153722929e-07
Position 370: 3.6773830436654337e-07
Position 384: 2.6559030663545485e-07
Position 635: 2.2562417698540304e-07
Position 342: 1.8836874767156313e-07
Position 394: 1.3558332337421342e-07
Position 320: 1.2026441516056965e-07
Position 336: 8.631079415298698e-08
Position 562: 7.25084462593098e-08
Position 638: 6.559695783005611e-08
Position 396: 4.7917579292658434e-08
Position 360: 4.754416039314189e-08
Position 413: 4.273354261389213e-08
Position 609: 2.2518790035930417e-08
Position 587: 1.7763837514816468e-08
Position 354: 1.7605502578704843e-08
Position 559: 6.425058528612296e-09
Position 347: 5.353425384225348e-09
Position 551: 1.0890055118963066e-09
Position 553: 4.677679360718938e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 583: 0.9572378682673746
Position 587: 0.03014959495339775
Position 518: 0.004698131575909665
Position 464: 0.0029479182556697305
Position 416: 0.0019979629845972174
Position 370: 0.0009084176717790554
Position 421: 0.0005252141229572486
Position 375: 0.00045586951972628417
Position 659: 0.0002624013932318602
Position 624: 0.00019274484233070834
Position 241: 0.00017488637710136337
Position 668: 8.762369681789724e-05
Position 259: 7.14289679052417e-05
Position 438: 5.9072108943003435e-05
Position 394: 5.659937049408633e-05
Position 730: 4.141413263908525e-05
Position 477: 3.8199528641413466e-05
Position 525: 3.393022547365103e-05
Position 662: 3.315220530438574e-05
Position 676: 9.540109022270122e-06
Position 746: 7.852407607267085e-06
Position 297: 7.4473745877451885e-06
Position 702: 7.025506949516409e-06
Position 290: 6.753533602060248e-06
Position 692: 6.052506086148468e-06
Position 284: 5.639085185661297e-06
Position 503: 5.43384447443824e-06
Position 706: 4.883980962941694e-06
Position 305: 4.150365911974533e-06
Position 714: 2.4005491101236217e-06
Position 276: 2.3368410950103998e-06
Position 720: 2.2720631977161075e-06
Position 111: 1.0368116887529325e-06
Position 694: 9.629480874727646e-07
Position 226: 8.157906265983122e-07
Position 266: 6.867865442412249e-07
Position 255: 4.605645983709961e-07
Position 269: 4.59953135991638e-07
Position 299: 3.888554404544452e-07
Position 678: 3.32070248701846e-07
Position 732: 2.830068311273674e-07
Position 167: 9.901229973754757e-08
Position 120: 6.30668699074663e-08
Position 137: 2.4540799790965342e-08
Position 124: 2.397416630322699e-08
Position 189: 2.0920710095537918e-08
Position 207: 1.3722310553455161e-08
Position 215: 1.0961896018700323e-08
Position 131: 1.0590300146306256e-08
Position 135: 4.584546752787185e-09
Position 204: 3.7550414731576834e-09
Position 122: 2.0215978530754094e-09
Position 152: 1.4630394616085222e-09
Position 150: 1.0883457557750534e-09
Position 164: 5.218089293713089e-10
Position 200: 3.911551798165116e-12
