Gene = Ei24
index = 364
Annotated 5SS: [  181  4154  7614  9201 10911 11458 11861 12926 14661 15053]
Annotated 3SS: [ 4043  7467  9139 10843 11332 11740 12813 14548 14977 17123]
SMsplice 5SS: [  168  4154  7614 10911 11861 15053]
SMsplice 3SS: [ 4043  7467 10843 11740 14977 17760]
top_k =  1000
Partition function (log Z): -2.6685309499886767

Sorted 5' Splice Sites (High to Low Probability):
Position 7614: 0.9827362937391253
Position 11861: 0.9672419130737664
Position 4154: 0.9414690176115436
Position 15053: 0.6682675710069084
Position 10911: 0.551557491924189
Position 14661: 0.42740703180744105
Position 11458: 0.36132381782916
Position 168: 0.3445876495054468
Position 181: 0.2750394908295729
Position 14449: 0.268150808841194
Position 12926: 0.2632668405034336
Position 14716: 0.23069818090663335
Position 11580: 0.1375951732897715
Position 6383: 0.1375460349348204
Position 137: 0.1356203090295793
Position 17304: 0.12999218649421287
Position 10475: 0.12401492513557909
Position 390: 0.12192003191715961
Position 9201: 0.11676129211515718
Position 6413: 0.11517348694395729
Position 15843: 0.07377271058603545
Position 1238: 0.05284627327641717
Position 5072: 0.05009881146178635
Position 670: 0.04870680073629766
Position 10112: 0.048064804528830565
Position 1668: 0.041369413363478894
Position 8556: 0.04091704296488193
Position 1705: 0.034561097581919026
Position 10948: 0.03419880513214064
Position 4558: 0.029106708392912645
Position 13041: 0.026073330113449512
Position 16768: 0.022669045872989343
Position 14901: 0.022221880080414508
Position 660: 0.02041279009515845
Position 557: 0.01954888904955841
Position 14213: 0.01705772990979902
Position 18045: 0.014572717915322544
Position 16245: 0.01451636853003355
Position 15659: 0.01366598977814346
Position 11529: 0.0123341848321112
Position 530: 0.011054187597773874
Position 9943: 0.009489115673103192
Position 10915: 0.007915886916183496
Position 7967: 0.007639945369205251
Position 14453: 0.007599678259823852
Position 6633: 0.00600892107192875
Position 11462: 0.00600450521339814
Position 9345: 0.005333375618302066
Position 6549: 0.005262889696357632
Position 674: 0.0049884343533604086
Position 564: 0.004909323127392893
Position 17691: 0.004429345705585275
Position 14727: 0.004398040980844799
Position 521: 0.004376192156910628
Position 1211: 0.004184653082532692
Position 283: 0.003816991661543867
Position 738: 0.003720940953615181
Position 1695: 0.0035517502096915946
Position 9446: 0.0033425480938640006
Position 11900: 0.0032689753279529434
Position 1567: 0.003067336853261483
Position 185: 0.0030460125988164602
Position 17308: 0.002994268475548308
Position 10772: 0.0027553522463834197
Position 1490: 0.002724867558234435
Position 11434: 0.002563133301627234
Position 435: 0.0025458869243261515
