Gene = Pate13
index = 796
Annotated 5SS: [ 52 187 625]
Annotated 3SS: [162 483 896]
SMsplice 5SS: [52]
SMsplice 3SS: [162]
top_k =  1000
Partition function (log Z): -5.315368645307472

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.9243494467237153
Position 625: 0.718968808791928
Position 275: 0.09634016986711688
Position 297: 0.08310320197882855
Position 329: 0.04879630130009142
Position 411: 0.04658109848390891
Position 48: 0.03422084073453755
Position 378: 0.02156751558246053
Position 321: 0.01594145368253887
Position 98: 0.005900837951545909
Position 192: 0.004792450015609808
Position 187: 0.0027859110109679495
Position 243: 0.001706816798272286
Position 415: 0.0009484491031992072
Position 265: 0.0009128254396345842
Position 389: 0.0004133594255298068
Position 436: 0.00021935367039747377
Position 77: 0.0001925648899838191
Position 171: 0.0001871280165203959
Position 930: 0.00018220811042640806
Position 586: 8.410983086068608e-05
Position 114: 8.168189840890575e-05
Position 719: 5.0580959002487475e-05
Position 24: 3.691812759159965e-05
Position 898: 3.402752329079865e-05
Position 993: 2.67072939104076e-05
Position 952: 2.150229448830985e-05
Position 658: 2.0856226144888526e-05
Position 704: 1.562290334003854e-05
Position 557: 1.4481262235369417e-05
Position 850: 1.4360204208338422e-05
Position 22: 1.1125651412459763e-05
Position 496: 9.273093611781036e-06
Position 616: 8.19697879626503e-06
Position 912: 7.404644552044878e-06
Position 1011: 5.304802715058148e-06
Position 939: 3.468839537282736e-06
Position 439: 2.2326661329467107e-06
Position 665: 1.8144025194000779e-06
Position 483: 1.1760224417002777e-06
Position 505: 6.726050305411831e-07
Position 521: 5.710221187899085e-07
Position 961: 3.755240052278386e-07
Position 867: 2.332919440771274e-07
Position 503: 1.7727176820726336e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.685909463632926
Position 162: 0.6532206937493943
Position 483: 0.5343942184900479
Position 1002: 0.06214393123045019
Position 452: 0.055165521659733055
Position 490: 0.0042158392286658205
Position 165: 0.0029370075882335757
Position 624: 0.002327307458795552
Position 1055: 0.0017125474605460863
Position 436: 0.0009429381822661742
Position 580: 0.0007792262073827264
Position 439: 0.0007611301912569444
Position 192: 0.0007610479870490354
Position 594: 0.0006921224081105028
Position 374: 0.0005866360292942749
Position 169: 0.0004029187230002022
Position 311: 0.00031349340323484854
Position 691: 0.0002643123392598578
Position 718: 0.0002244837381424517
Position 731: 0.0001716966694651353
Position 139: 7.667518629024596e-05
Position 697: 7.328477039569237e-05
Position 557: 6.822835789973577e-05
Position 849: 5.413272550513523e-05
Position 1076: 3.964158684742804e-05
Position 171: 3.721145041600461e-05
Position 784: 3.552300431985476e-05
Position 856: 3.304199603014496e-05
Position 757: 3.124936661008792e-05
Position 978: 2.372746547476945e-05
Position 1057: 1.8930296595009955e-05
Position 761: 1.8871035511323692e-05
Position 243: 1.4498103224135903e-05
Position 727: 1.133991556887305e-05
Position 980: 1.1027483771392403e-05
Position 332: 1.0854089636294624e-05
Position 665: 1.0573103714611886e-05
Position 753: 6.614243422575791e-06
Position 739: 6.453261163956119e-06
Position 733: 5.756781636625206e-06
Position 794: 5.747852269197623e-06
Position 704: 5.434004522438388e-06
Position 1078: 5.396708329706066e-06
Position 1072: 5.162052897826304e-06
Position 629: 4.816334531251845e-06
Position 709: 4.609711022252278e-06
Position 786: 4.553342635106489e-06
Position 859: 3.3659820464316932e-06
Position 862: 2.558335258177043e-06
Position 811: 1.5446022786371888e-06
Position 805: 1.5031711338953192e-06
Position 297: 1.3589031462420088e-06
Position 237: 7.750591697166962e-07
Position 240: 6.8858532433676e-07
Position 389: 4.921822667594636e-07
Position 735: 3.7646835340712775e-07
Position 387: 2.756610205527708e-07
Position 699: 1.609804474710562e-07
Position 644: 1.4955293416297577e-07
Position 633: 1.417848476625002e-07
Position 329: 1.3504287212762506e-07
Position 799: 1.286912847125925e-07
Position 345: 6.774136353764245e-08
Position 88: 3.2281219479479043e-09
Position 97: 3.2669608950606024e-10
Position 91: 1.1222414571160929e-11
