Gene = Nenf
index = 743
Annotated 5SS: [ 276 6735 8276]
Annotated 3SS: [ 6673  8171 11104]
SMsplice 5SS: [ 276 6735 8276]
SMsplice 3SS: [ 6673  8171 11104]
top_k =  1000
Partition function (log Z): -4.220292088834093

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.9650834278318416
Position 6735: 0.914557517207853
Position 8276: 0.8810864113381227
Position 1649: 0.5122929334891926
Position 2860: 0.39905145789287216
Position 4791: 0.3423110154267307
Position 5301: 0.2730338596269764
Position 9757: 0.18251828130101166
Position 2059: 0.1804650889106866
Position 5001: 0.175069539697708
Position 2685: 0.12848708592205732
Position 5272: 0.12280816719658877
Position 1416: 0.09066054679831884
Position 5444: 0.08258380670915232
Position 10846: 0.07503548689759441
Position 5257: 0.07279751005446176
Position 7061: 0.052615309529886085
Position 5469: 0.05152597243044913
Position 6426: 0.03718911700421985
Position 6775: 0.025164839886757346
Position 6592: 0.024122535594228358
Position 4705: 0.022090577147682918
Position 8003: 0.02014792729511849
Position 452: 0.01962908043849431
Position 10404: 0.019430631423306505
Position 2680: 0.018742969281242593
Position 9342: 0.018539843110567868
Position 6278: 0.017618724180242414
Position 8229: 0.017553307589814767
Position 2023: 0.01696548753400883
Position 2729: 0.01682666331995505
Position 2656: 0.014013667943717657
Position 2134: 0.013455157203304476
Position 10360: 0.010960331770682619
Position 3712: 0.00912647594602023
Position 3589: 0.009094987818016166
Position 2823: 0.008801394283698576
Position 5008: 0.008730613644841373
Position 9119: 0.007005646197501997
Position 228: 0.006711780930831271
Position 7761: 0.006069563364234216
Position 2745: 0.004255953943735971
Position 6101: 0.003964915895227443
Position 5140: 0.0038667205859085952
Position 10243: 0.0038229116077738027
Position 8014: 0.0037621283270817623
Position 9668: 0.0033796920238286874
Position 6566: 0.0033530949659659882
Position 5485: 0.0031722616643500043
Position 5512: 0.00288108908384637
Position 3472: 0.0026929536848914796
Position 8987: 0.002283063702241528
Position 2870: 0.002166690567752577
Position 1708: 0.0019689769924291613
Position 1438: 0.0017934207867339282
Position 8440: 0.0016756335587411212
Position 3907: 0.0015781735907357461
Position 7905: 0.0014522626272533926
Position 405: 0.0014266170561778582
Position 4089: 0.0013748404118961305
Position 2632: 0.0012367450561176687
Position 9680: 0.0012002353028847145
Position 5722: 0.0011954833600378821
Position 946: 0.0011528765280716896
Position 4710: 0.0010926538294475344
Position 1526: 0.0009941943337171482
Position 446: 0.0008184218213957667
Position 1605: 0.0007517095652389321
Position 791: 0.0007303302609973011
Position 622: 0.0007156734715663061
Position 4944: 0.0007080924168051204
Position 1098: 0.0006557918665960547
Position 1796: 0.0006184634856266448
Position 8806: 0.0005255426976635896
