Gene = Defb18
index = 329
Annotated 5SS: [70]
Annotated 3SS: [782]
SMsplice 5SS: [70]
SMsplice 3SS: [782]
top_k =  1000
Partition function (log Z): -10.523832122231727

Sorted 5' Splice Sites (High to Low Probability):
Position 70: 0.892605572379457
Position 581: 0.14435550707299177
Position 447: 0.007576686105355064
Position 541: 0.002814296156472015
Position 196: 0.002201684061119774
Position 286: 0.0016391702747659326
Position 180: 0.0015783560525927608
Position 326: 0.0015311897348657916
Position 61: 0.000763334370440723
Position 39: 0.0007136657265793746
Position 51: 0.0006454072229157121
Position 628: 0.0006102449345685273
Position 75: 0.0005825220366650865
Position 53: 0.0005342597681434384
Position 232: 0.00048761833643405926
Position 417: 0.00014062105985442112
Position 208: 9.1435820139499e-05
Position 836: 8.778059027263631e-05
Position 58: 7.868605366230062e-05
Position 224: 7.141461214812344e-05
Position 294: 5.242314727899331e-05
Position 110: 3.742946281089823e-05
Position 258: 1.823412724729908e-05
Position 603: 1.4848248405915626e-05
Position 20: 1.4793739916822225e-05
Position 175: 1.252824202487794e-05
Position 381: 1.2061341758099475e-05
Position 354: 1.0137326373911505e-05
Position 407: 1.0032016660429099e-05
Position 843: 7.793101623910057e-06
Position 806: 5.402774843198208e-06
Position 572: 5.000908920720416e-06
Position 532: 4.334008202182873e-06
Position 402: 4.2838343690802894e-06
Position 315: 8.894030669207763e-07
Position 726: 6.647136960024323e-07
Position 853: 1.7519678637145462e-07
Position 828: 1.5839636635244902e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 782: 0.610084320872457
Position 621: 0.1267738496200001
Position 329: 0.054403690388703164
Position 417: 0.049426661076304314
Position 354: 0.042813741943187794
Position 790: 0.037613039932364103
Position 580: 0.0270848379880843
Position 463: 0.023204584558814804
Position 280: 0.0217812331858094
Position 326: 0.016423141269055662
Position 503: 0.014473487898945182
Position 541: 0.008080551500073304
Position 146: 0.0070169403386987645
Position 375: 0.003741899438945509
Position 901: 0.003351037809749911
Position 465: 0.002963192666377702
Position 389: 0.0015044080941092736
Position 626: 0.0014313971373884984
Position 396: 0.0013794567321559082
Position 399: 0.0009857964069485013
Position 812: 0.0009248277176220274
Position 867: 0.0007441098114508124
Position 853: 0.000610973148078406
Position 423: 0.0004899496851090136
Position 201: 0.00038144946780540803
Position 220: 0.00035758906737002845
Position 552: 0.0002899474774692858
Position 402: 0.0001378773672326993
Position 560: 0.00013761828671711877
Position 920: 0.00011466720569813479
Position 801: 0.00010456976387874728
Position 391: 9.199294660615624e-05
Position 432: 8.613781543013957e-05
Position 816: 5.617077523651755e-05
Position 555: 4.715528379504978e-05
Position 517: 3.35091973529039e-05
Position 393: 2.977757715775977e-05
Position 937: 2.8901640096440258e-05
Position 805: 2.4266719364885115e-05
Position 159: 2.281702251853798e-05
Position 196: 2.0506078556560684e-05
Position 930: 1.0898735426180101e-05
Position 208: 1.084097091522014e-05
Position 874: 9.914461243835267e-06
Position 232: 8.459050794551135e-06
Position 803: 3.5325144386348835e-06
Position 427: 3.0370603307652765e-06
Position 425: 1.4830128208983777e-06
Position 948: 3.9358094122990447e-07
Position 96: 3.8285958675250544e-11
Position 103: 1.5951844234837605e-11
Position 101: 5.9245888089328995e-12
