Gene = A630095N17Rik
index = 79
Annotated 5SS: [ 116 8797]
Annotated 3SS: [ 8659 11516]
SMsplice 5SS: [ 116 8797]
SMsplice 3SS: [ 8659 11516]
top_k =  1000
Partition function (log Z): -9.06298999803028

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.990266542364895
Position 8797: 0.3691943075758637
Position 8893: 0.3577863887561538
Position 6775: 0.15054313994424665
Position 9172: 0.1423617564286198
Position 6652: 0.11987542764144471
Position 824: 0.11439792793860781
Position 1662: 0.11192441754189467
Position 8468: 0.07118208939154193
Position 6656: 0.05506588993181567
Position 9437: 0.05315000576604291
Position 4080: 0.03469898732267289
Position 6238: 0.03251853420158335
Position 6924: 0.023035684711903065
Position 7381: 0.020307930012825878
Position 1212: 0.020024396350546442
Position 7929: 0.01708429572923163
Position 7552: 0.01697604517963345
Position 11168: 0.015349964108132873
Position 7345: 0.014654236627870014
Position 3860: 0.014292572591192218
Position 10788: 0.010858864073630643
Position 4253: 0.008842671186609013
Position 6800: 0.008312122315352437
Position 7103: 0.007047164829679927
Position 2386: 0.007029271906024867
Position 8765: 0.006866354510058604
Position 9466: 0.0061818758582005045
Position 8713: 0.0042834374137293236
Position 11190: 0.003928491454332643
Position 1451: 0.0038658934071301326
Position 6720: 0.003805512662677936
Position 1326: 0.0030223433578508265
Position 437: 0.002931596787502057
Position 7004: 0.0028688078102025224
Position 7872: 0.0027108176293949094
Position 7720: 0.0025496446488091303
Position 1043: 0.002206500667027614
Position 7831: 0.001665760195846053
Position 524: 0.001231674770828595
Position 497: 0.0010475988022343417
Position 6633: 0.0010460674513578724
Position 7702: 0.0010177283612410677
Position 10097: 0.000983999990052532
Position 9700: 0.0009071073909357029
Position 960: 0.0008337897757205823
Position 10800: 0.0008011406496386976
Position 998: 0.0007028676149272387
Position 74: 0.0004183708553329659
Position 5296: 0.0003908802155762438
Position 3834: 0.0003379036895659688
Position 4257: 0.00033391877734283203
Position 3308: 0.0002000201946968575
Position 1121: 0.00016066325513954967
Position 4933: 0.00015633262211185207
Position 479: 0.00013432920214344197
Position 1196: 0.00010231430880573463
Position 1313: 8.66718826821876e-05
Position 791: 6.996150208769941e-05
Position 1273: 6.982229063780965e-05
Position 1493: 6.641409339803375e-05
Position 360: 5.4538717997336416e-05
Position 1449: 3.564104197048803e-05
Position 1277: 3.378329101738914e-05
Position 1396: 3.2078635332977566e-05
Position 273: 2.8311566306278605e-05
Position 1079: 2.4549755875542125e-05
Position 303: 2.3420202682818397e-05
Position 166: 2.3212171003962554e-05
Position 507: 2.0648634258284276e-05
Position 3576: 1.9369886172984915e-05
Position 2321: 1.77661354031731e-05
Position 3590: 1.6723073378851822e-05
Position 139: 1.6106894541303388e-05
Position 101: 1.5902287413682034e-05
Position 2732: 1.4761314741996366e-05
Position 1589: 1.141106146940888e-05
Position 1244: 1.0069523764273954e-05
Position 2863: 7.293528193495106e-06
Position 141: 6.519921860009348e-06
Position 1788: 5.259272325136271e-06
Position 175: 4.004771108341249e-06
Position 2349: 2.2612550350224425e-06
Position 2306: 2.03296536286736e-06
Position 198: 1.9978330202327313e-06
Position 908: 1.6362065825782328e-06
Position 130: 1.4714256404442762e-06
Position 195: 1.2633857338488912e-06
Position 287: 1.046401244990623e-06
Position 307: 1.0059520724003291e-06
Position 557: 1.0016283012009723e-06
Position 769: 9.580991888487734e-07
Position 368: 7.658151443685319e-07
Position 884: 6.568262623141313e-07
Position 231: 6.251709857675958e-07
Position 615: 6.068954995729508e-07
Position 456: 5.556941180945634e-07
Position 401: 4.5449044216489545e-07
Position 600: 4.4406297219576647e-07
Position 744: 4.24152542198826e-07
Position 890: 2.0109986421087696e-07
Position 545: 1.8788055708879308e-07
Position 472: 1.8317120379239267e-07
Position 580: 1.6862507713343242e-07
Position 1022: 1.6714453327239304e-07
Position 3: 1.5407335447720904e-07
Position 277: 1.491492702576318e-07
Position 1227: 1.0802010345411231e-07
Position 943: 8.798174500755044e-08
Position 377: 6.526249062705026e-08
Position 305: 5.0206950383557964e-08
Position 234: 4.7373991770606255e-08
Position 528: 4.636914647003195e-08
