Gene = Pth2
index = 874
Annotated 5SS: [197 427]
Annotated 3SS: [295 602]
SMsplice 5SS: [197]
SMsplice 3SS: [295]
top_k =  1000
Partition function (log Z): -6.112789173115191

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.7556975839337343
Position 427: 0.5563858699651071
Position 152: 0.1128553383081879
Position 146: 0.07409183689666893
Position 167: 0.047326316867648884
Position 396: 0.023164078264745556
Position 417: 0.010063391555350805
Position 431: 0.003080286105507291
Position 209: 0.00287545135699543
Position 296: 0.0010512528864934172
Position 204: 0.0008715302888638088
Position 97: 0.0008406113290906857
Position 438: 0.0008229393480484322
Position 433: 0.0003869361721489146
Position 92: 0.00022350490004435902
Position 228: 0.00021775172900774948
Position 87: 0.00015200411353136773
Position 525: 0.00013694665961006146
Position 398: 0.00013605166082559757
Position 368: 0.00010605895713337533
Position 18: 9.74975017326813e-05
Position 340: 8.081574114433845e-05
Position 286: 4.714352280978337e-05
Position 125: 3.206341147852739e-05
Position 421: 2.8128941442279957e-05
Position 316: 2.590342226592244e-05
Position 220: 1.9932491455862332e-05
Position 8: 1.971258397612787e-05
Position 22: 1.2605857076156183e-05
Position 558: 1.0731497415202995e-05
Position 509: 7.573007633282793e-06
Position 565: 6.233842041785763e-06
Position 534: 5.154084608512889e-06
Position 419: 4.807857949318652e-06
Position 545: 1.2892538962224613e-06
Position 24: 1.1965212579117317e-06
Position 236: 1.538196736590631e-07
Position 617: 2.4005568534516682e-08
Position 638: 2.1698544495336697e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 295: 0.9892304689817843
Position 602: 0.37530058231157976
Position 659: 0.21455578776430942
Position 246: 0.0025870012654942583
Position 575: 0.0019150253339342404
Position 426: 0.00157588682592537
Position 545: 0.0014988219131209252
Position 693: 0.001302309885970181
Position 483: 0.0010251374434884445
Position 670: 0.0007428767993155306
Position 641: 0.0003303286633337185
Position 750: 0.00022310059822320643
Position 720: 0.0001391368271111043
Position 487: 9.362773896281543e-05
Position 395: 6.224611059131414e-05
Position 313: 5.1902900483012706e-05
Position 430: 5.172097248638891e-05
Position 492: 4.4941324821461045e-05
Position 522: 3.921800860880352e-05
Position 273: 3.457185433403993e-05
Position 321: 2.363141419168246e-05
Position 753: 1.142042718974053e-05
Position 466: 9.567057721305956e-06
Position 461: 6.770052559197167e-06
Position 532: 4.7945084262815684e-06
Position 464: 4.505593238011129e-06
Position 509: 4.063819793611078e-06
Position 454: 3.018320416661704e-06
Position 304: 2.9547846360660167e-06
Position 212: 2.6739890908069155e-06
Position 324: 2.0176804579349655e-06
Position 226: 1.7388651876847815e-06
Position 517: 1.1745503315726232e-06
Position 457: 9.790482937414736e-07
Position 437: 9.445188201602931e-07
Position 114: 7.297675988748803e-07
Position 332: 6.883948048984191e-07
Position 334: 2.680846580495068e-07
Position 200: 3.3686982653344296e-08
Position 215: 3.0458940929349875e-08
Position 85: 2.688876699574782e-08
Position 97: 1.7964649371619076e-09
Position 162: 1.1978681653064693e-09
Position 176: 1.083492457327176e-09
Position 171: 4.805914371465597e-10
Position 150: 2.581284047821915e-10
Position 185: 1.0818493783932596e-10
