Gene = Cytl1
index = 313
Annotated 5SS: [ 191 1888 2192]
Annotated 3SS: [1842 2062 3692]
SMsplice 5SS: [ 191 2192]
SMsplice 3SS: [2062 3692]
top_k =  1000
Partition function (log Z): 1.2614909564886947

Sorted 5' Splice Sites (High to Low Probability):
Position 191: 0.9981695259754931
Position 2192: 0.996476169975401
Position 1906: 0.18167361919576985
Position 3805: 0.12061143633100609
Position 1888: 0.10744709460723546
Position 1910: 0.06958592567387527
Position 600: 0.06111077370195661
Position 1857: 0.04832332891717617
Position 1197: 0.04079660712418958
Position 1919: 0.0372820439539786
Position 749: 0.036099167833337005
Position 3781: 0.03147614002303719
Position 682: 0.026008055606550253
Position 3568: 0.02438780362426548
Position 3857: 0.01708672354668661
Position 624: 0.015158742664807512
Position 3371: 0.010899071299324393
Position 3272: 0.009676406118654413
Position 3428: 0.009090099908259404
Position 2404: 0.007991584262834524
Position 1914: 0.007817603746732472
Position 3512: 0.006616396913597778
Position 3610: 0.006261416100128376
Position 695: 0.004063640417869323
Position 1310: 0.0037445664117611733
Position 1720: 0.002866590451079205
Position 1034: 0.0027905484947114327
Position 2642: 0.0026466561140821156
Position 3990: 0.0018225635714776828
Position 588: 0.0016831458762857547
Position 3350: 0.0016476105823336345
Position 2614: 0.001640003971864075
Position 2196: 0.0013475222419455162
Position 3530: 0.0013123780699899371
Position 1067: 0.001261127775449442
Position 3496: 0.0011371722684003105
Position 1180: 0.0010349337155125674
Position 1698: 0.0009681794984517462
Position 3950: 0.0008744347828022321
Position 3196: 0.0008131580230806974
Position 1969: 0.0007141263541585036
Position 1732: 0.0007036835925205389
Position 144: 0.0004762004405737822
Position 3821: 0.0004694579227550442
Position 1980: 0.0004693174912218779
Position 886: 0.0004285316540510458
Position 3202: 0.00042476574667055
Position 1784: 0.00041040414837149696
Position 1852: 0.00040844390533739563
Position 2161: 0.0003898012044714018
Position 1597: 0.00037190333304863243
Position 3876: 0.00029336562922483106
Position 3133: 0.0002917688441873464
Position 3824: 0.00027492310048953704
Position 3831: 0.00026137273650681404
Position 1930: 0.00024252492326504274
Position 375: 0.00023750654249211605
Position 1724: 0.00023748998108809465
Position 1924: 0.00023677871539230024
Position 1621: 0.000211307281848828
Position 3438: 0.00015768286992167628
Position 3543: 0.00015592110249781476
Position 3754: 0.00015118004453061544
Position 388: 0.00014554418339990304
Position 2150: 0.00013997843418745164
Position 3212: 0.0001273291258738633
Position 2442: 0.0001254291057750687
Position 2438: 0.00012190818017560995
Position 2587: 0.00012057803789829682
Position 2448: 0.00011825799730197012
Position 2446: 0.00011270957120073871
Position 2444: 0.0001115666273730251
Position 2440: 0.00010897410183330861
Position 3699: 0.00010127601106967957
Position 1778: 9.418779230386757e-05
Position 3914: 9.414480024810702e-05
Position 796: 9.173028434236758e-05
Position 3395: 8.858274603064243e-05
Position 3487: 8.346470332544949e-05
Position 834: 8.1085274028758e-05
Position 2450: 7.860868113210473e-05
Position 945: 7.404847573407408e-05
Position 3183: 7.336316267513672e-05
Position 1678: 6.37437711009516e-05
Position 2452: 5.847335094581941e-05
Position 1985: 4.941011969667897e-05
Position 1019: 4.9124020522545265e-05
Position 468: 4.8341967845289566e-05
Position 74: 4.313092651198126e-05
Position 363: 3.5742266436226175e-05
Position 4072: 3.267819871885098e-05
Position 546: 3.2649037307338024e-05
Position 639: 3.2339140212284176e-05
Position 1187: 3.184193701247787e-05
Position 458: 3.1649927074723794e-05
Position 1813: 2.8642069874227065e-05
Position 1659: 2.8034154009179022e-05
Position 959: 2.335437163050624e-05
Position 1764: 2.3076323710185434e-05
Position 1715: 1.9969478957397138e-05
Position 740: 1.742177200196609e-05
Position 1004: 1.6903337706619963e-05
Position 986: 1.6712626018822073e-05
Position 1793: 1.62990320412152e-05
Position 1001: 1.581595650212951e-05
Position 489: 1.5332932387858004e-05
Position 195: 1.4936218671505036e-05
Position 989: 1.4740129582614917e-05
Position 4113: 1.4413530143251964e-05
Position 13: 1.2070090715215966e-05
Position 3402: 9.311353565953119e-06
Position 2454: 9.183210748421806e-06
Position 2220: 8.908842354748303e-06
Position 974: 8.832104438628518e-06
Position 971: 8.816407128731928e-06
Position 2006: 8.46377843728571e-06
Position 983: 7.952081290752005e-06
Position 1424: 7.471638692518468e-06
Position 977: 7.212540940918341e-06
Position 2659: 7.159404061304029e-06
Position 2456: 6.437097015044384e-06
Position 980: 6.105369205750457e-06
Position 968: 5.631603573318691e-06
Position 1654: 5.604281981981984e-06
Position 440: 5.5925376386320126e-06
Position 2458: 5.34213979054251e-06
Position 1429: 5.2603540879386434e-06
Position 2460: 4.667957543576395e-06
Position 2496: 4.17423141570183e-06
Position 3404: 3.982040281866862e-06
Position 3480: 3.159195207581663e-06
Position 1007: 2.7312335333011e-06
Position 1010: 2.236068681073106e-06
Position 1303: 2.046440535819913e-06
Position 998: 1.8565151612553544e-06
Position 2397: 1.854784294885809e-06
Position 992: 1.8330938109470689e-06
Position 995: 1.582944751648848e-06
Position 65: 1.2875456513784546e-06
Position 100: 1.244085905555806e-06
Position 95: 7.675783501065332e-07
Position 71: 5.221149958228053e-07
Position 68: 4.2756289634470585e-07
Position 535: 4.134691068980172e-07
Position 2462: 3.0928371744865494e-07
Position 537: 2.828234645825428e-07
Position 52: 5.269216264423358e-08
Position 31: 3.6549919517462794e-08
Position 491: 2.0202114636994225e-08
Position 351: 1.7955741354322947e-08
Position 306: 8.553799000152528e-09
Position 2291: 6.292902299340742e-09
Position 313: 2.8972705598616316e-09
Position 298: 1.699035989817574e-09
Position 697: 1.30876579624793e-09
Position 2562: 8.034805729159562e-10
Position 962: 6.049074276689593e-10
Position 2129: 3.0625824121996925e-12
