Gene = Slx1b
index = 987
Annotated 5SS: [ 360 3032 3464 3857 4046]
Annotated 3SS: [2979 3124 3728 3960 4128]
SMsplice 5SS: [ 360 2640 3032 3464 3857 4046]
SMsplice 3SS: [2423 2979 3124 3728 3960 4128]
top_k =  1000
Partition function (log Z): -3.1962783447353447

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9802928244582011
Position 3032: 0.7833427813874397
Position 3464: 0.7774369644650063
Position 3857: 0.7569637404549856
Position 4046: 0.7028050322006986
Position 2640: 0.5289186371588251
Position 4349: 0.37492294144501825
Position 3254: 0.05831808717071727
Position 3598: 0.05461893678929056
Position 2789: 0.047141085685275454
Position 92: 0.025511679113131045
Position 1098: 0.020396147747190032
Position 2603: 0.01806921085077103
Position 2939: 0.017625964361865528
Position 4246: 0.01734355455776578
Position 126: 0.01483045464844285
Position 3250: 0.012964029529931115
Position 326: 0.011275480784931546
Position 6011: 0.01037912264988565
Position 631: 0.008086307511429205
Position 2868: 0.00674876878081349
Position 4199: 0.005133689799102472
Position 3423: 0.00488139123940718
Position 1976: 0.004595382341670121
Position 599: 0.004424350411548921
Position 2858: 0.004386894602390821
Position 2553: 0.004378717633083071
Position 2616: 0.004377269304116728
Position 2500: 0.004089922595553603
Position 5756: 0.00396016079389967
Position 5684: 0.003929661097443865
Position 3613: 0.003464385420302567
Position 3892: 0.0031170538232457544
Position 396: 0.003066599233118037
Position 5767: 0.0026361487538019658
Position 133: 0.002523004062584586
Position 2282: 0.002474923048830674
Position 295: 0.0023965159456440796
Position 3043: 0.002358273983356571
Position 3386: 0.0023112619243452178
Position 3642: 0.001960965793868198
Position 1684: 0.0017418375773087906
Position 6222: 0.0017064078610644878
Position 3041: 0.0015047599738629714
Position 928: 0.0013523391985920247
Position 3686: 0.0013386316122179311
Position 614: 0.0012734530644295757
Position 3640: 0.0012333851488424473
Position 4465: 0.0011426027138252207
Position 569: 0.0009524690083916526
Position 2495: 0.0008762740866209473
Position 381: 0.0008234410406437998
Position 1859: 0.000727505075573001
Position 5883: 0.0007211118343695978
Position 1605: 0.0006477863884746495
Position 2844: 0.0006361886927744998
Position 29: 0.0006282144004682677
