Gene = Iqcf3
index = 589
Annotated 5SS: [   69   288 17731]
Annotated 3SS: [  239 17667 19147]
SMsplice 5SS: [ 288 2519]
SMsplice 3SS: [2437 9071]
top_k =  1000
Partition function (log Z): -11.427641314146506

Sorted 5' Splice Sites (High to Low Probability):
Position 2519: 0.6493203420046292
Position 288: 0.5732214344340407
Position 9328: 0.5384878004397162
Position 915: 0.4986836589701975
Position 457: 0.4330318921901082
Position 4511: 0.4285588945077309
Position 10111: 0.3204378681058996
Position 3108: 0.31455623028855634
Position 7564: 0.3019920437212767
Position 4700: 0.2933425511228635
Position 69: 0.19345022860220784
Position 10680: 0.19331114499573804
Position 993: 0.16777188604444124
Position 3070: 0.14612375523222265
Position 6431: 0.11430806192670803
Position 7375: 0.09132492411519531
Position 718: 0.07531186372627506
Position 3192: 0.06616405539403675
Position 7322: 0.05671533294825631
Position 1595: 0.049416413823976935
Position 1305: 0.04731501227856372
Position 1685: 0.04231759036236158
Position 14335: 0.04153768993521371
Position 4605: 0.03905691637949861
Position 9741: 0.02783968804263464
Position 2125: 0.027015522170690448
Position 7918: 0.02665930012887234
Position 391: 0.0227665817365637
Position 755: 0.017873205600442067
Position 7334: 0.01769515196766066
Position 6574: 0.017529464283250515
Position 7980: 0.017215990269053107
Position 292: 0.014768471954963084
Position 2118: 0.014546580003121734
Position 1713: 0.01330084249569608
Position 3210: 0.011868268687617223
Position 62: 0.011118919686716782
Position 10464: 0.005159870270993666
Position 140: 0.004904390106317308
Position 478: 0.004834223785127914
Position 4341: 0.0027496181566776107
Position 498: 0.002184302560887044
Position 66: 0.0015452155029330294
Position 6127: 0.0014510150628942308
Position 3471: 0.001362408542203626
Position 360: 0.001220038777381444
Position 954: 0.000999025737525741
Position 2768: 0.0007751684506350675
Position 6641: 0.0007408570652400045
Position 700: 0.0004041215188058082
Position 6628: 0.0003901764191107528
Position 344: 0.0003310475512560299
Position 6643: 0.00027551092251115625
Position 185: 0.00023339230200740012
Position 5025: 0.0001584708796809285
Position 1188: 0.00013032731947998965
