Gene = Il18bp
index = 570
Annotated 5SS: [  46  559  869 1406 1878 2113]
Annotated 3SS: [ 490  803 1213 1753 1964 2319]
SMsplice 5SS: [ 559 1878 2113]
SMsplice 3SS: [1787 1964 2319]
top_k =  1000
Partition function (log Z): 0.07971908797421223

Sorted 5' Splice Sites (High to Low Probability):
Position 1878: 0.9860916029592043
Position 559: 0.8909359374842803
Position 2113: 0.8652019822240354
Position 869: 0.37776588415150847
Position 1406: 0.24327404198310806
Position 46: 0.2163127792325596
Position 317: 0.16705647605741486
Position 212: 0.1565774711078416
Position 1417: 0.14920463350794616
Position 975: 0.14862271480473407
Position 138: 0.09297245281290906
Position 1088: 0.08988100933912865
Position 1132: 0.05652790540338907
Position 1116: 0.03160154902303132
Position 2197: 0.024647555725547967
Position 1653: 0.015256964674667197
Position 374: 0.012690076364642523
Position 396: 0.010833215501858364
Position 703: 0.008873214801920846
Position 1227: 0.007030742628139447
Position 379: 0.006745964214474617
Position 327: 0.004771351491050346
Position 2748: 0.004542321194475076
Position 190: 0.004488505140712355
Position 1359: 0.003668013798160462
Position 2085: 0.002593696456212747
Position 2377: 0.002538899921743455
Position 1081: 0.0025319233247836238
Position 1476: 0.002145855937899763
Position 1375: 0.0021236149427995487
Position 1457: 0.0017611876870652317
Position 97: 0.0014386893492336135
Position 2483: 0.0011470728892265232
Position 2077: 0.0010832094399909982
Position 118: 0.0007953274727089122
Position 85: 0.000747132583804434
Position 2545: 0.0006005380303458151
Position 2670: 0.0005960548398174231
Position 1335: 0.0005442275374307582
Position 2462: 0.0005237832695182877
Position 2904: 0.0005056411044736159
Position 2039: 0.00043883288721883654
Position 1102: 0.00041843908629286895
Position 2230: 0.00033248801902208743
Position 1242: 0.0003074544909820627
Position 632: 0.0002946766907386415
Position 1649: 0.0002888389717768766
Position 2764: 0.00028301710290309283
Position 204: 0.00028063953114790366
Position 2919: 0.0002512225541293547
Position 1051: 0.00024978948966685116
Position 987: 0.0001845153461929159
Position 1396: 0.00018287776641066217
Position 2266: 0.00017763641365204491
Position 1440: 0.0001714582228430682
Position 101: 0.00016466392420792667
Position 79: 0.00014483468786639792
Position 601: 7.363828387485337e-05
Position 911: 6.827436554313964e-05
Position 238: 5.94427697281147e-05
Position 739: 5.752229357068911e-05
Position 1065: 5.239649829626682e-05
Position 2054: 4.749098875485119e-05
Position 2951: 4.7249243245853426e-05
Position 475: 4.691761709684999e-05
Position 735: 4.463234002023367e-05
Position 2913: 4.4586479327791064e-05
Position 886: 3.849886415465004e-05
Position 2833: 3.6207504525037194e-05
Position 769: 3.530354623785421e-05
Position 111: 3.4870445218641844e-05
Position 951: 3.396047110573501e-05
Position 216: 3.336509936827886e-05
Position 99: 3.23816254647165e-05
Position 577: 3.210677034114662e-05
Position 2008: 3.1166952281802715e-05
Position 285: 2.8349953116507972e-05
Position 219: 2.2308639323911923e-05
Position 113: 2.0807966936499306e-05
Position 1110: 2.0319813007361852e-05
Position 231: 2.0184918561865038e-05
Position 299: 1.9679612388599116e-05
Position 292: 1.778547352209144e-05
Position 693: 1.6967847585436077e-05
Position 151: 1.641733858929724e-05
Position 2978: 1.5059665398201302e-05
Position 264: 1.3328368706129401e-05
Position 91: 1.2844591558765353e-05
Position 999: 9.166723845441645e-06
Position 465: 4.084452882920847e-06
Position 733: 2.380746503193786e-06
Position 563: 2.319248879815157e-06
Position 547: 2.26781229547306e-06
Position 459: 2.16127568096765e-06
Position 268: 1.3555187845008785e-06
