Gene = Srd5a3
index = 1024
Annotated 5SS: [  278  7558  8968  9680 13388]
Annotated 3SS: [ 7414  8931  9481 13252 14251]
SMsplice 5SS: [  278  7558  8968  9680 10807 14301]
SMsplice 3SS: [ 7414  8931  9481 10686 14251 14513]
top_k =  1000
Partition function (log Z): 3.2364714524314544

Sorted 5' Splice Sites (High to Low Probability):
Position 278: 0.9829170284704579
Position 8968: 0.9629974893698843
Position 9680: 0.8553852658702127
Position 10807: 0.78123573002512
Position 14301: 0.6920220317020872
Position 7558: 0.597191885578914
Position 12303: 0.5517358030395647
Position 598: 0.5488614766526011
Position 13388: 0.44079802706013976
Position 13035: 0.3981104241156977
Position 12479: 0.37551966454456787
Position 9219: 0.36688533094709763
Position 7630: 0.34768143963536613
Position 4151: 0.17640147467936818
Position 14400: 0.15588502066553706
Position 10032: 0.09258652149213377
Position 1944: 0.07290273607108383
Position 619: 0.06126486415120153
Position 1333: 0.06077856161842468
Position 2133: 0.05842815927701442
Position 10600: 0.048847748180753076
Position 14539: 0.048050575410426274
Position 1358: 0.04770248999210623
Position 3725: 0.044455912984409415
Position 6490: 0.041598024785707205
Position 1472: 0.03457820258898826
Position 13181: 0.03359610996493447
Position 13393: 0.03169396959843519
Position 13686: 0.026607111876667176
Position 9920: 0.025298623568439323
Position 7272: 0.023085407772415356
Position 2943: 0.022204608219587335
Position 9404: 0.020033166685939633
Position 1078: 0.018206437028526787
Position 1462: 0.01747529526027846
Position 9230: 0.017143394762002658
Position 653: 0.016886251359107055
Position 333: 0.01414459383263331
Position 9565: 0.013373559574213916
Position 4570: 0.013076613493198223
Position 4872: 0.011339799467186747
Position 9696: 0.011145565983508902
Position 713: 0.010268941176139152
Position 4614: 0.009794227718748062
Position 687: 0.009772767460005822
Position 7838: 0.009663467428423611
Position 2740: 0.009529226403987838
Position 1034: 0.009402764607826894
Position 7658: 0.0093360513466485
Position 14741: 0.008516666630863383
Position 549: 0.007961108355089602
Position 1823: 0.007258957506911923
Position 661: 0.006429216597706955
Position 1596: 0.006198824850893311
Position 5031: 0.005756244131299325
Position 4: 0.005257147430067643
Position 8189: 0.0052483884831130995
Position 7776: 0.004996788861110302
Position 10246: 0.004982254948121314
Position 12771: 0.003910555567774411
Position 10617: 0.0038395870716127103
Position 14295: 0.0035140968743507563
Position 13825: 0.0033359437539451637
Position 3340: 0.0027545239410186875
Position 2878: 0.002592466573030773
Position 9730: 0.0024938391974057947
Position 14525: 0.002386817399885731
Position 12986: 0.002186409059418285
Position 542: 0.001914140022425378
Position 10898: 0.0019126569854109484
Position 13819: 0.0018976428895695944
Position 65: 0.0018219548712166134
Position 2457: 0.0017844132135432151
Position 14395: 0.0017110661563087418
