Gene = AA986860
index = 81
Annotated 5SS: [ 248 5712 9208]
Annotated 3SS: [ 5525  9026 10352]
SMsplice 5SS: [ 248 9208]
SMsplice 3SS: [ 9026 10352]
top_k =  1000
Partition function (log Z): -6.698469502723048

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9747907648454233
Position 9208: 0.854487158851915
Position 2470: 0.4722353688910005
Position 1677: 0.4431371968367074
Position 5712: 0.3886710558301508
Position 6524: 0.36917463262884803
Position 8534: 0.1909198313714341
Position 2891: 0.18768926929402396
Position 10550: 0.17499036252286734
Position 1394: 0.1359682068081825
Position 7194: 0.11955437896202449
Position 8594: 0.11409111540214509
Position 3243: 0.11251962016374588
Position 3907: 0.07344345572368094
Position 2689: 0.04219548989731033
Position 9396: 0.04071335813694925
Position 822: 0.03911266217874679
Position 3501: 0.03676220437870164
Position 2285: 0.03447254788007699
Position 9554: 0.030918528745641615
Position 809: 0.028754107873993306
Position 3557: 0.027464042113344272
Position 4502: 0.02610480114474181
Position 9718: 0.02085195191148516
Position 4506: 0.02062608379145122
Position 1706: 0.020248278200809978
Position 1224: 0.018145757896972682
Position 1485: 0.016250562424175892
Position 6617: 0.013478708761234788
Position 120: 0.009924997669761265
Position 2335: 0.008517922972217866
Position 6563: 0.007998600417593675
Position 4510: 0.00678652923481505
Position 2250: 0.005855996117761621
Position 2282: 0.004722842030420029
Position 1469: 0.004447713177136937
Position 4748: 0.003936980648640982
Position 3148: 0.002930193414416904
Position 2939: 0.001871452130495845
Position 2274: 0.0016876152999268567
Position 813: 0.0014904172083237285
Position 3247: 0.0014499605427176197
Position 5244: 0.0014452160832955278
Position 2875: 0.0014194159657812994
Position 4182: 0.0012054424725377081
Position 2215: 0.0009535581113949302
Position 1873: 0.0009330492090416971
Position 3416: 0.000882218254197468
Position 345: 0.000862043295370054
Position 531: 0.0007319234723255788
Position 2598: 0.0007241717245626657
Position 39: 0.0006452284980291837
Position 10977: 0.0006002994380944494
Position 5439: 0.0005092522049151886
Position 68: 0.00047238177005662476
Position 1499: 0.00046553249931632104
Position 80: 0.00044707505721183684
Position 2421: 0.00032404065193855674
Position 152: 0.00025200477423223123
Position 99: 0.00023633084510662336
Position 2686: 0.00019184015592009154
Position 2149: 0.00014167346878543924
Position 3400: 0.00010801351030771851
Position 1356: 0.00010435286382447424
Position 252: 9.800359148547418e-05
Position 3217: 9.532630051964465e-05
Position 1947: 9.508096629323362e-05
Position 3505: 8.41938354112464e-05
Position 1265: 8.377345914386545e-05
Position 180: 7.850411959613943e-05
Position 1351: 7.30750279173666e-05
Position 1697: 6.971078764606662e-05
Position 8: 6.866915742826113e-05
Position 1656: 4.9639376397828775e-05
Position 2712: 4.669030004403589e-05
Position 1739: 4.40808582414297e-05
Position 2321: 4.195314653496618e-05
Position 135: 4.111721598000091e-05
Position 3163: 3.248730498393802e-05
Position 528: 2.9953838782446687e-05
Position 409: 2.7204582024819744e-05
Position 2227: 2.3398143127902002e-05
Position 1076: 1.85265566580019e-05
Position 2358: 1.8359550235693717e-05
Position 575: 1.7961158963024303e-05
Position 1521: 1.7877033231124106e-05
Position 217: 1.7762656900642914e-05
Position 738: 1.624687551613208e-05
Position 607: 1.574581421003743e-05
Position 1616: 1.5490195771278636e-05
Position 1995: 1.4729892315897088e-05
Position 470: 1.282814605394944e-05
Position 761: 1.2102320507134955e-05
Position 1998: 1.183729161738372e-05
Position 2025: 1.144384223479003e-05
Position 1230: 1.0376007493414755e-05
Position 1253: 9.29046861190091e-06
Position 2207: 8.641335238367366e-06
Position 1314: 7.163508260226977e-06
Position 72: 7.08837477568295e-06
Position 1088: 6.366975194908131e-06
Position 804: 5.152600054725236e-06
Position 1119: 2.6311233586796824e-06
Position 1109: 2.4519400226120515e-06
Position 2400: 1.6251628792416956e-06
Position 82: 1.200341329702562e-06
Position 124: 9.427247592063408e-07
Position 741: 9.078082273376012e-07
Position 223: 5.640720548316576e-07
Position 550: 5.275363972564077e-07
Position 1141: 5.234299606999835e-07
Position 392: 5.046978431493947e-07
Position 84: 4.1650410766686965e-07
Position 846: 3.5856115619279546e-07
Position 330: 3.567219826953923e-07
Position 379: 3.4123387852267267e-07
Position 340: 2.999308122496242e-07
Position 901: 1.8100260046429555e-07
Position 909: 1.3019397507928175e-07
Position 903: 1.1383636293175283e-07
Position 787: 1.0044627944215245e-07
Position 896: 8.30227601743177e-08
Position 114: 4.563456542946318e-08
Position 351: 4.2967561958558004e-08
Position 353: 2.7459216025181582e-08
Position 830: 6.4465035379237854e-09
