Gene = Ick
index = 557
Annotated 5SS: [  141 18257 22336 26783 27959 37347 40422 42202 44638 47245 47497 51345
 53718]
Annotated 3SS: [17979 22280 26660 27878 37213 40249 42033 44325 47053 47347 51215 53594
 54284]
SMsplice 5SS: [  141 18257 22336 26783 28651 37347 40422 42202 44638 47245 47497 48133
 51345 53718 55096 56679 57408]
SMsplice 3SS: [18100 22280 26660 28480 37213 40249 42033 44325 47053 47347 48056 51215
 53594 54992 56529 57289 58180]
top_k =  1000
Partition function (log Z): -35.39386465055265

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9922549864039303
Position 18257: 0.8967650444363621
Position 22336: 0.5352793986898319
Position 5156: 0.029673317656824866
Position 5768: 0.009835820319442497
Position 386: 0.008731354807372572
Position 4028: 0.0070414594306545
Position 1111: 0.0038680470421761175
Position 10917: 0.0033996992169521255
Position 2726: 0.0032536025585336256
Position 3316: 0.0031812882625137534
Position 2375: 0.0026949709535808775
Position 9178: 0.0022176905986086163
Position 1685: 0.0017594563457552317
Position 9333: 0.001514911084934646
Position 6364: 0.0014917235159714348
Position 7784: 0.0013576882706704103
Position 5280: 0.0013519960252629526
Position 877: 0.0013480397804142145
Position 5782: 0.001116503246618598
Position 10541: 0.0007663874367016528
Position 895: 0.0006676738772718784
Position 653: 0.0006431804340873778
Position 7929: 0.00045237805722755123
Position 203: 0.00045044789804391054
Position 5935: 0.00033092323843111014
Position 1814: 0.00029336744511530567
Position 4801: 0.0002529222663324542
Position 325: 0.00023209020406765243
Position 5043: 0.00020906610409649243
Position 390: 0.0001269919466500046
Position 2730: 0.00010277910672649529
Position 1818: 9.529056484096845e-05
Position 5865: 9.097400166726736e-05
Position 4116: 8.976175889279184e-05
Position 6020: 7.32261920409367e-05
Position 3017: 6.219527410393415e-05
Position 3568: 4.9671068852025175e-05
Position 4574: 3.223586856623746e-05
Position 7853: 3.204599625719989e-05
Position 109: 2.590548972142892e-05
Position 62: 2.2655928033195927e-05
Position 2270: 1.292169772161954e-05
Position 1707: 1.2205629812537864e-05
Position 2164: 1.0082494281260277e-05
Position 1399: 8.931040981041377e-06
Position 3899: 7.1876611576748865e-06
Position 5319: 6.951769344378789e-06
Position 1885: 6.672272122228956e-06
Position 47: 6.627174996979792e-06
Position 272: 4.781405824016682e-06
Position 394: 4.49976102786534e-06
Position 4872: 4.126623255413119e-06
Position 281: 1.9637096385821513e-06
Position 997: 1.925340410862512e-06
Position 145: 1.4877952574632608e-06
Position 591: 1.192308718470903e-06
Position 193: 1.1029990257063762e-06
Position 2277: 1.0849159917031132e-06
Position 406: 5.977680414821006e-07
Position 559: 3.008382898476237e-07
Position 463: 2.622997004191289e-07
Position 1518: 2.3591478824579904e-07
Position 398: 2.3294986534501144e-07
Position 1001: 1.9330107240452829e-07
Position 620: 1.906395390239822e-07
Position 19: 1.5936397382259925e-07
Position 605: 1.3308973876110364e-07
Position 1302: 1.227675475892678e-07
Position 258: 1.1493746826017607e-07
Position 247: 1.104988281954589e-07
Position 1537: 1.0454113028291286e-07
Position 684: 1.0088284162574422e-07
Position 786: 8.002274325481979e-08
Position 1613: 5.451719189041189e-08
Position 1936: 5.146161459908944e-08
Position 185: 4.867575524678478e-08
Position 1539: 3.1741574837622726e-08
Position 329: 2.980773925047845e-08
Position 1509: 2.7564328114183313e-08
Position 448: 2.7087945245055495e-08
Position 545: 2.6561101222333004e-08
Position 1022: 2.6194061382831022e-08
Position 1189: 2.4726794208953854e-08
Position 341: 2.362479328381795e-08
Position 1467: 2.3269027305541636e-08
Position 1370: 2.265926070209917e-08
