Gene = Tirap
index = 1085
Annotated 5SS: [  127  1071  8718  8971  9274 11635]
Annotated 3SS: [  971  8594  8908  9114 10995 12360]
SMsplice 5SS: [  435  1071  8380  8718  8971  9274 12676]
SMsplice 3SS: [  971  8220  8594  8908  9114 12481 14102]
top_k =  1000
Partition function (log Z): 1.6064473182529775

Sorted 5' Splice Sites (High to Low Probability):
Position 8718: 0.9902722653712139
Position 9274: 0.9680275109053722
Position 1071: 0.7586087124686908
Position 12676: 0.7337292861412781
Position 8971: 0.7047304006718781
Position 435: 0.5965889002922921
Position 8380: 0.5779785362395727
Position 13350: 0.5631999777776422
Position 127: 0.2856717471295245
Position 10523: 0.27898227840047324
Position 11635: 0.2002205389359042
Position 12207: 0.19909736840616177
Position 13140: 0.18594260752473363
Position 8502: 0.16910985153528202
Position 431: 0.16503438264020637
Position 13802: 0.1273776277771509
Position 1565: 0.11762534975427194
Position 14147: 0.08764091078855327
Position 11266: 0.08699671764578339
Position 1781: 0.08121880149095756
Position 10537: 0.05564082896374456
Position 8497: 0.05147413334057213
Position 5500: 0.048920149686341605
Position 12262: 0.04882117215659966
Position 10746: 0.048407244928323497
Position 10542: 0.04019535414707667
Position 8932: 0.03447278790860765
Position 14321: 0.032820416468734924
Position 10902: 0.029743544138508108
Position 10402: 0.029699253205690536
Position 10751: 0.028792994327182155
Position 7919: 0.024674726029638914
Position 5610: 0.021648827421006864
Position 2672: 0.02150830965350329
Position 12837: 0.020565639306723556
Position 1081: 0.01970263164916362
Position 867: 0.01888864208501341
Position 1555: 0.017773498442760806
Position 7647: 0.016408381006268676
Position 11972: 0.014451753653028048
Position 13371: 0.014231720946623583
Position 14196: 0.012938254403230128
Position 6036: 0.011911995808690469
Position 8487: 0.011490026460466525
Position 8425: 0.010855113551948627
Position 9012: 0.00891992426461004
Position 132: 0.00877415861854539
Position 9076: 0.008403676240917268
Position 8317: 0.007968187731483408
Position 10772: 0.007779700008033158
Position 11570: 0.004450596877798739
Position 9031: 0.004215214013752714
Position 462: 0.004201626185746527
Position 9035: 0.0038852324608585915
Position 8342: 0.0026877393668302586
Position 9186: 0.002013212962860071
Position 9000: 0.002006162786479932
Position 5234: 0.001895873277762908
Position 10907: 0.0017544367937827776
Position 8646: 0.001649319064556123
Position 8980: 0.0016464188463478245
Position 634: 0.0016054826257697191
Position 11613: 0.001592492243362433
Position 12635: 0.0015913136197209057
Position 8791: 0.0015382739761612132
Position 11092: 0.0015239728848136028
Position 10491: 0.001271468020403732
Position 2128: 0.001207886666535543
Position 1124: 0.0012034302906166082
Position 306: 0.0011812033470691948
Position 1800: 0.001165600451991383
Position 319: 0.0010456290466307034
Position 7386: 0.0010451967447683154
Position 5808: 0.0008006734112602346
Position 8635: 0.0007808748970296306
Position 9544: 0.0007661341228314128
Position 848: 0.0006984919787371332
Position 9801: 0.0006373264405567813
Position 595: 0.0006265221254605623
Position 2598: 0.0005348496943675907
Position 3809: 0.0005006776013020773
Position 8006: 0.0004955999939907835
Position 9640: 0.0004043791410094058
Position 2965: 0.00040029656469949367
Position 1845: 0.00039757073737328865
Position 905: 0.0003957338983403354
Position 6899: 0.0003928164179839938
Position 10175: 0.0003899626389402053
Position 3323: 0.0003490976249009721
Position 9769: 0.0003462479172977245
Position 6522: 0.0003105679175973812
Position 252: 0.0003082843911150747
Position 9760: 0.0002800464459505474
Position 9080: 0.0002549973925192029
Position 657: 0.00024995109803727404
Position 12830: 0.0002381712879261448
Position 11314: 0.00022425723082818464
Position 9003: 0.00020362910278661324
Position 9624: 0.0001826598025322068
Position 9718: 0.00017968839985693245
Position 1161: 0.0001637841588137772
Position 1085: 0.00014761787376158235
Position 735: 0.0001362258329283929
Position 806: 0.00013144589752257736
Position 115: 0.00012850489823026102
Position 24: 0.00012741199103558838
Position 765: 0.00012100884343298999
