Gene = Bcs1l
index = 177
Annotated 5SS: [ 188 1579 1800 2160 2435 2830 3407]
Annotated 3SS: [1185 1659 1964 2370 2659 3288 3521]
SMsplice 5SS: [  94 1800 2160 2830 3407]
SMsplice 3SS: [1659 1964 2659 3288 3521]
top_k =  1000
Partition function (log Z): -1.775006159018706

Sorted 5' Splice Sites (High to Low Probability):
Position 3407: 0.9381687706150929
Position 1800: 0.8904613440121779
Position 2830: 0.7451089430092083
Position 2160: 0.6820419879251263
Position 1579: 0.5783620521423841
Position 2564: 0.3041711283249085
Position 1325: 0.2475980487083712
Position 94: 0.2455794568282864
Position 188: 0.21864175584486248
Position 259: 0.14351469272820547
Position 2435: 0.13525494045608452
Position 749: 0.1351248313874973
Position 305: 0.0679075476739705
Position 551: 0.061183515636790045
Position 527: 0.04967779400500169
Position 827: 0.03713368000356548
Position 230: 0.028053709023694036
Position 2198: 0.02731000978943692
Position 1335: 0.025209502032419777
Position 1900: 0.025001631471054952
Position 687: 0.024879185807625874
Position 3007: 0.024614802993774363
Position 500: 0.021010745938378757
Position 668: 0.015066404302791405
Position 1596: 0.00921214369239715
Position 2899: 0.009101379977919
Position 3700: 0.0072633130631435915
Position 531: 0.006633654458272397
Position 2225: 0.006373033300824686
Position 2339: 0.0056809049026868026
Position 1775: 0.0052149853689753
Position 3615: 0.005056405699927974
Position 1837: 0.0035705256766825825
Position 486: 0.0032521128602468084
Position 3768: 0.0029235400590362785
Position 1329: 0.002451095774483342
Position 16: 0.0024136369378190727
Position 251: 0.0020379787082586255
Position 2146: 0.0017615148636762677
Position 1010: 0.0015807699081159426
Position 3456: 0.0015295297763729132
Position 2893: 0.00145123414263474
Position 650: 0.0013925485016591586
Position 3949: 0.0013520597196399254
Position 2571: 0.0013480898711767612
Position 756: 0.001235752124439448
Position 696: 0.0011599213814268874
Position 2809: 0.0011011559829016103
Position 137: 0.0010444288010102213
Position 3894: 0.0008902943168189633
Position 2091: 0.0008169359331436509
Position 3567: 0.0007890655828611302
Position 1893: 0.0007619871025402927
Position 492: 0.0007298690419688038
Position 579: 0.0006024451815738227
Position 937: 0.0005306913121645153
Position 2301: 0.00048191526857532417
Position 2058: 0.0004745965909540962
Position 127: 0.0003836464214649096
Position 592: 0.00038332892664094963
Position 100: 0.0003609821749002998
Position 792: 0.0003552169350011162
Position 1829: 0.0003494034792608108
Position 1540: 0.0002667065398372794
Position 290: 0.0002536313738640078
Position 307: 0.0002447930457439666
Position 639: 0.00022601135697184282
Position 1709: 0.00021435190839777093
Position 957: 0.0001835653548308056
Position 441: 0.00017820273799249798
Position 2463: 0.00015154976428085367
Position 239: 0.0001353891631588402
Position 1682: 0.00013022248719190492
Position 52: 0.0001275825759363525
Position 1047: 0.00010089012895034613
Position 625: 9.447134917991977e-05
Position 1094: 8.549740266400447e-05
Position 2034: 7.685343598310135e-05
Position 352: 7.610719253295195e-05
Position 565: 6.696884649729827e-05
Position 1660: 5.710593560421421e-05
Position 2325: 4.811483655982603e-05
Position 2413: 4.799225444877308e-05
Position 3689: 4.695341741617115e-05
Position 3664: 4.517949148407011e-05
Position 292: 4.48385067819225e-05
Position 672: 4.444336450743269e-05
Position 2186: 3.239646673751917e-05
Position 3452: 3.0248996478163547e-05
Position 14: 2.917956983326103e-05
Position 2190: 2.9158888430030127e-05
Position 117: 2.5967714261003618e-05
Position 261: 2.1870924657642845e-05
Position 107: 2.1117214021266263e-05
Position 655: 1.840927584708428e-05
Position 166: 1.804205813765062e-05
Position 2143: 1.5566129885371918e-05
Position 545: 1.4541372006455563e-05
Position 3227: 1.3034262037213807e-05
Position 1107: 1.1980418651345142e-05
Position 3720: 9.761071338793719e-06
Position 30: 9.29936375458109e-06
Position 109: 5.964373683155438e-06
Position 74: 5.521468254102226e-06
Position 276: 5.274243879681618e-06
Position 330: 4.7765654188221e-06
Position 3606: 4.5621889993877375e-06
Position 282: 4.271282325024462e-06
Position 2909: 3.565025506960132e-06
Position 98: 2.8398671256216453e-06
Position 131: 1.6929869740774676e-06
Position 2790: 5.771816535195114e-07
Position 2075: 4.1520393744590006e-07
Position 2008: 3.4140548279871354e-07
Position 129: 3.2208353170535507e-07
Position 2775: 2.109435282406634e-07
Position 2883: 1.9372882828490134e-07
Position 2754: 1.0710887692771662e-07
Position 2343: 8.227853801306972e-08
Position 3132: 5.328756850162665e-08
Position 3161: 4.762229947410984e-08
Position 3082: 4.2291704257708025e-08
Position 345: 1.0646272101361636e-08
Position 534: 1.3325909256410242e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3521: 0.9844883088968845
Position 1659: 0.8936639444368503
Position 3288: 0.8420934826781872
Position 2659: 0.718550106676632
Position 1964: 0.5219425643616638
Position 1185: 0.22902982859635965
Position 1470: 0.2014991449139175
Position 2273: 0.19899738705686157
Position 2370: 0.19497520348864877
Position 1217: 0.114329573217254
Position 1452: 0.10417633570893514
Position 1258: 0.06518843646418233
Position 1513: 0.05401723023627769
Position 1984: 0.05128474794279817
Position 568: 0.03957350004916671
Position 1990: 0.03390860522313511
Position 1863: 0.032205590815222514
Position 2078: 0.028652808165597086
Position 1987: 0.0282022175909228
Position 3108: 0.0266883036535418
Position 3328: 0.02600380655672179
Position 339: 0.022213849349836667
Position 2892: 0.021287505689507116
Position 3357: 0.020045620742633465
Position 2015: 0.019615769650492474
Position 2605: 0.019301519166327566
Position 2342: 0.018937050910529312
Position 3127: 0.016786848020087296
Position 1361: 0.01585168284309859
Position 1292: 0.015668110636093725
Position 2469: 0.015205693449320662
Position 4085: 0.013120838646485434
Position 1328: 0.012011127280343249
Position 2383: 0.01188805130426926
Position 1483: 0.010440273246328312
Position 3006: 0.009270156315020622
Position 2704: 0.008283569926033341
Position 2712: 0.007181140628791876
