Gene = Tsks
index = 1149
Annotated 5SS: [  193   744  7614  7862  8686  9572 10681 11227 13327 14493]
Annotated 3SS: [  520  7517  7777  8601  9284 10485 11052 13190 14335 14594]
SMsplice 5SS: [  302   744  7614  8686 11227 14493]
SMsplice 3SS: [  520  7517  8601 11052 14335 14565]
top_k =  1000
Partition function (log Z): -3.4296907778129095

Sorted 5' Splice Sites (High to Low Probability):
Position 7614: 0.9450597235959546
Position 8686: 0.8815786703870127
Position 11227: 0.798822014770627
Position 744: 0.6061431680468664
Position 14493: 0.5600776844075454
Position 302: 0.4698149428718129
Position 7862: 0.2646200339180321
Position 289: 0.24447453361872262
Position 787: 0.2282321023857191
Position 11373: 0.22161236659934552
Position 2792: 0.20169613089714253
Position 9572: 0.19273255605627787
Position 13264: 0.1810917624979642
Position 13327: 0.15647005978492612
Position 13339: 0.15584711553442995
Position 10681: 0.11201289385570877
Position 9607: 0.09357849438982196
Position 10696: 0.07714369906420965
Position 286: 0.058749855374745245
Position 4347: 0.05747790655054529
Position 14461: 0.05647153180388581
Position 2957: 0.04965612152996087
Position 400: 0.04724620249362504
Position 1412: 0.042008046114297225
Position 9242: 0.03972289483999341
Position 10185: 0.038426422574872374
Position 95: 0.028323506200311196
Position 193: 0.026128773936652503
Position 3325: 0.024796084312013092
Position 12358: 0.02394659647988013
Position 3988: 0.02327373262042061
Position 137: 0.0205864757578161
Position 12969: 0.01990366270736001
Position 11239: 0.016121624101640288
Position 404: 0.014932094360957835
Position 7587: 0.012482284347130806
Position 5099: 0.012441455371829094
Position 11764: 0.012125148780520368
Position 9247: 0.01209710647825019
Position 5853: 0.01115673170030402
Position 12633: 0.011104527103894788
Position 1836: 0.009440984722302911
Position 14498: 0.008426841885781152
Position 13277: 0.008272898000271613
Position 8499: 0.006200593858287783
Position 9394: 0.005442165123952191
Position 2423: 0.005266625648578322
Position 12721: 0.005007925848942977
Position 762: 0.004841778458004235
Position 12778: 0.004817303623623233
Position 8519: 0.003919592842620173
Position 7539: 0.0037521303410703016
Position 6487: 0.0031118762123240906
Position 7843: 0.0030238042844510458
Position 10213: 0.002924884188469283
Position 9546: 0.002758796943890063
Position 3075: 0.002654267327090813
Position 4753: 0.002162417712957965
Position 10966: 0.0021524258455883965
Position 14173: 0.0021201215318435145
Position 6469: 0.0017036301553346506
Position 7064: 0.0016700685919754457
Position 116: 0.0014471454418724635
Position 8617: 0.0011572116848231019
Position 428: 0.001046868828585219
Position 8714: 0.0009654993248915883
Position 2438: 0.0008115356184114963
Position 8694: 0.0007442890369145019
Position 331: 0.0006855349271763888
Position 594: 0.0005834097013245857
Position 215: 0.0005575547362712877
Position 179: 0.0004843577371778744
Position 8746: 0.0004744815134965023
Position 38: 0.0004196934556759841
Position 105: 0.0003971884279471567
Position 445: 0.0003835580708707926
