Gene = Yod1
index = 1196
Annotated 5SS: [485]
Annotated 3SS: [1388]
SMsplice 5SS: [485 777]
SMsplice 3SS: [ 718 1388]
top_k =  1000
Partition function (log Z): -7.416754538086502

Sorted 5' Splice Sites (High to Low Probability):
Position 485: 0.9772942542276384
Position 777: 0.7354875124055437
Position 286: 0.12260587320156674
Position 1083: 0.03651722605942897
Position 4540: 0.030987515239027267
Position 203: 0.018429504318639354
Position 121: 0.017073901773105797
Position 6051: 0.016407345676188987
Position 3336: 0.01639834015500999
Position 1455: 0.01181655253539684
Position 6451: 0.010859866155509422
Position 1279: 0.009528546632726672
Position 1620: 0.009166436485538623
Position 812: 0.00880073515267911
Position 190: 0.007152419033324857
Position 3120: 0.0069830755415879265
Position 1536: 0.006660687407797221
Position 548: 0.006645295051347553
Position 784: 0.0053002053879843735
Position 2824: 0.0035623719601595074
Position 615: 0.0025445408613911655
Position 99: 0.002065677163573105
Position 1638: 0.0017360436927049531
Position 217: 0.0015750854350447924
Position 1863: 0.001489049130475691
Position 159: 0.0012965381870716185
Position 123: 0.0010596069270782996
Position 1115: 0.0008865006784016489
Position 1464: 0.0007864185253371814
Position 1469: 0.0006497379883517168
Position 803: 0.0006132443321105154
Position 279: 0.0006065230471378296
Position 1674: 0.0005049827167114399
Position 2422: 0.00044265470934434943
Position 1441: 0.0004257589563227146
Position 1127: 0.0003699013292346629
Position 1389: 0.00035665413168693775
Position 816: 0.0003298185258638897
Position 5831: 0.0003284126551487491
Position 3258: 0.00030008953431433905
Position 1264: 0.0002887917263530453
Position 2087: 0.00026234581261959974
Position 691: 0.00025922583789163306
Position 225: 0.0002511404480033123
Position 3657: 0.00022138512714524347
Position 1540: 0.00020720790908497114
Position 480: 0.00015441927374367352
Position 1016: 0.0001369862230326391
Position 750: 0.00013465647856962
Position 1241: 0.00012571260525492085
Position 429: 9.980990365122262e-05
Position 398: 8.36652237572814e-05
Position 622: 7.765499673577075e-05
Position 1098: 7.121209921742382e-05
Position 633: 6.788216413207134e-05
Position 1699: 6.762189638810335e-05
Position 1131: 6.758654614784957e-05
Position 3574: 5.382549471198902e-05
Position 305: 5.302609125083206e-05
Position 1162: 5.018596649597711e-05
Position 1562: 4.969489749809322e-05
Position 837: 4.781963279287609e-05
Position 1547: 4.652804108511075e-05
Position 326: 4.215051868418433e-05
Position 1154: 4.1292883369226465e-05
Position 76: 4.011134055770236e-05
Position 512: 3.887508997523863e-05
Position 1001: 3.780997697972098e-05
Position 1075: 3.626838091395111e-05
Position 814: 2.818798283369111e-05
Position 539: 2.6620154621685172e-05
Position 412: 2.045816843359734e-05
Position 1187: 1.5657151030000222e-05
Position 524: 1.1771048171625168e-05
Position 566: 1.0630306990503578e-05
Position 558: 5.748269447288415e-06
Position 2850: 2.6434276349393723e-06
Position 655: 2.137320535129684e-06
Position 835: 1.471746848899928e-06
Position 1633: 1.1479534500568054e-06
Position 1613: 1.0445598892957036e-06
Position 1487: 9.24884050263621e-07
Position 617: 4.585757567462972e-07
Position 1192: 3.6527300805923047e-07
Position 698: 2.748620291242672e-07
Position 1538: 1.9695172096889967e-07
Position 1578: 1.8894896898508423e-07
Position 1255: 1.6790562644098392e-07
Position 1735: 1.6145856277027298e-07
Position 1505: 1.3839431885819505e-07
Position 1269: 1.2828178676364793e-07
Position 1729: 8.49282499569395e-08
Position 734: 8.372278016704153e-08
Position 663: 6.899372208249976e-08
Position 1022: 6.00701419419143e-08
Position 952: 1.6533299222222395e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 718: 0.6964549623329582
Position 1388: 0.6409664607223042
Position 1362: 0.09525580703169398
Position 4438: 0.0658136159358478
Position 360: 0.06364291235611624
Position 398: 0.05625503510294524
Position 6300: 0.04767609832762427
Position 690: 0.0458330654743203
Position 324: 0.03815298763296575
Position 1000: 0.02867195668308479
Position 970: 0.025381888688573506
Position 5915: 0.024267082963341166
Position 6304: 0.019037811229413372
Position 641: 0.018824580898284374
Position 4908: 0.017706224638770404
Position 6627: 0.014294268420602314
Position 7009: 0.013575927196564922
Position 3065: 0.01137634399687874
Position 5515: 0.01105304757720815
Position 4890: 0.010718107499713112
Position 6853: 0.01028086285502493
Position 1057: 0.008519562564017183
Position 6333: 0.007359431901039791
Position 3227: 0.006010656242168647
Position 3156: 0.005695771568253413
Position 1805: 0.005241890798555054
Position 1536: 0.004460819563822904
Position 2707: 0.004424195990232153
Position 4121: 0.0041786457371766495
Position 2978: 0.004079115919679503
Position 5263: 0.004037972801617256
Position 4655: 0.003971233974698969
Position 2961: 0.0037931931857271978
Position 4539: 0.003408937443856276
Position 679: 0.00298993772707262
Position 335: 0.002936550439170426
Position 6217: 0.002927149951628046
Position 5278: 0.002865666048763431
Position 3531: 0.002433734628183693
Position 3190: 0.0024160097032479236
Position 2823: 0.0022467439883408534
Position 6940: 0.0020988635999376485
Position 5116: 0.0019044273315209919
Position 3023: 0.0018651494976344388
Position 5648: 0.0017829448620246947
Position 2677: 0.0017409091748259863
Position 5058: 0.0016916917618947237
Position 5882: 0.0016528632013945955
Position 6819: 0.0015061784879037425
Position 723: 0.0014379400834866624
Position 1497: 0.001412134207400686
Position 1006: 0.0013342678125297651
Position 1799: 0.0011693375271540104
