Gene = Cd2bp2
index = 236
Annotated 5SS: [  72  640  978 1257 1798 1986]
Annotated 3SS: [ 538  841 1098 1358 1878 2069]
SMsplice 5SS: [  86  978 1257 1798 1986 2177]
SMsplice 3SS: [ 841 1160 1358 1878 2069 2917]
top_k =  1000
Partition function (log Z): 4.480499640773081

Sorted 5' Splice Sites (High to Low Probability):
Position 978: 0.967570864117837
Position 1986: 0.9455453852910297
Position 2177: 0.8532920308659014
Position 1798: 0.8520922391359085
Position 1257: 0.6927479541715701
Position 640: 0.6133323924968864
Position 86: 0.536142359251911
Position 1299: 0.2213177740501231
Position 214: 0.12043589500039645
Position 72: 0.09757611689041541
Position 2464: 0.06129699753566782
Position 226: 0.04560365635153461
Position 2366: 0.04271839623547796
Position 262: 0.03493021092301865
Position 1426: 0.03206368943239246
Position 1601: 0.02714900686147608
Position 4122: 0.025233605766377266
Position 155: 0.02124135748404343
Position 3316: 0.017351643122862574
Position 1636: 0.01429381331904647
Position 3888: 0.013376672849527342
Position 235: 0.012189296047940524
Position 732: 0.011807096146998557
Position 1259: 0.01105215174196473
Position 1359: 0.006703568850381902
Position 248: 0.006667484886045977
Position 3279: 0.006618739690983548
Position 199: 0.006470912426618832
Position 4096: 0.006209325220280554
Position 1478: 0.005261871254210903
Position 2076: 0.005136267605369714
Position 1661: 0.004787542477539312
Position 2259: 0.004592258300238277
Position 166: 0.004471495037199144
Position 1328: 0.004042451739299526
Position 608: 0.003251962733693401
Position 1395: 0.0031739088856275644
Position 3160: 0.0028712419949932766
Position 3945: 0.002799649444245031
Position 2928: 0.0026501894041305075
Position 1040: 0.0026386916910697703
Position 1033: 0.0024345513254149837
Position 1494: 0.001943218259196537
Position 2749: 0.0019077679662733728
Position 3355: 0.0017728963254550925
Position 1762: 0.0016089167912317869
Position 2987: 0.001361978273950449
Position 461: 0.0013407892444849375
Position 395: 0.0013390665843546433
Position 1472: 0.0013245040408066597
Position 1475: 0.0012178474339225559
Position 1681: 0.0010681469654103641
Position 1099: 0.0008090846932863279
Position 278: 0.0006998702776587234
Position 2171: 0.0006354361156079323
Position 1293: 0.0006209582392179095
Position 2842: 0.0006193829734588304
Position 3574: 0.0005758750617027942
