Gene = 3110040N11Rik
index = 44
Annotated 5SS: [ 124 1029 3402 6448]
Annotated 3SS: [ 901 3273 6339 6896]
SMsplice 5SS: [ 227 1029 3402 6448]
SMsplice 3SS: [ 901 3273 6339 6662]
top_k =  1000
Partition function (log Z): -4.057315890175682

Sorted 5' Splice Sites (High to Low Probability):
Position 3402: 0.979000656350346
Position 1029: 0.95771210719569
Position 6448: 0.5081876456950221
Position 227: 0.4531056660558706
Position 835: 0.24662982625568677
Position 2550: 0.10098079516995556
Position 110: 0.06774752852296155
Position 344: 0.05807900518622238
Position 4139: 0.0523882843449214
Position 154: 0.04597585714629927
Position 51: 0.04559115953341437
Position 4277: 0.039910022066408604
Position 47: 0.027715607725706748
Position 2127: 0.027040830856213983
Position 55: 0.014382675886626747
Position 5412: 0.011681708687900177
Position 2996: 0.011116607013370909
Position 3191: 0.01086729440021715
Position 4273: 0.00952083227212321
Position 2765: 0.009104095804792886
Position 3818: 0.008949387199159182
Position 3363: 0.006855511696909961
Position 1744: 0.006680195538788848
Position 2252: 0.006151457041931371
Position 271: 0.005246232420226372
Position 6762: 0.004632887836670605
Position 3350: 0.004373966730196154
Position 815: 0.004203217851327779
Position 1190: 0.003741463712479394
Position 221: 0.003606868420015065
Position 2574: 0.002982068946325771
Position 1977: 0.002721450418190417
Position 1920: 0.0026118378023013444
Position 2724: 0.002569527485469755
Position 3565: 0.002345309661834718
Position 795: 0.0021373964195236673
Position 2692: 0.0021112883586715207
Position 759: 0.0020772186131709247
Position 4468: 0.002067451430715283
Position 4740: 0.00198757568828808
Position 2653: 0.0018915601540504471
Position 6210: 0.0018621363056814753
Position 3424: 0.0017881425449287347
Position 5327: 0.0016991065339045685
Position 3052: 0.0016149018453513488
Position 2787: 0.0015319687138471995
Position 26: 0.0014024686896902364
Position 6738: 0.001265548983840533
Position 6957: 0.0012359885650877216
Position 1337: 0.0010886749100618238
Position 4707: 0.0010769673643198155
Position 5571: 0.0010477359506361641
Position 5829: 0.001027687461396154
Position 4621: 0.0008978971633625879
Position 1046: 0.0008746109598205596
Position 364: 0.0008486584336713035
Position 1854: 0.00084376442987494
Position 4018: 0.0007986034334835157
Position 1692: 0.0007801653629288252
Position 1935: 0.0006997532452515119
Position 142: 0.000631760936157373
Position 1128: 0.0005836296769916389
Position 3830: 0.0005526793717427501
Position 1266: 0.0004609146170576596
Position 3169: 0.00040766316549392396
Position 453: 0.000363334915538438
Position 5233: 0.0003543677229122673
Position 7002: 0.00035334812659587367
Position 2039: 0.0003155479374416179
Position 6232: 0.0003141738189243955
Position 243: 0.00031123208561575243
Position 348: 0.00028822492622682707
Position 4810: 0.00028260698357506024
Position 3870: 0.00028113433179982904
Position 512: 0.0002669392248865262
Position 70: 0.00024152221156985965
Position 972: 0.0002368270901530971
Position 2118: 0.0002282326280688036
Position 324: 0.00021932670842437707
Position 1505: 0.00020789749997974418
Position 5850: 0.00020693524077627476
Position 841: 0.00020151819955364745
Position 2053: 0.00019906463739657133
Position 824: 0.0001920753124670729
Position 1932: 0.0001866879293235756
Position 522: 0.00017775719072055704
Position 4806: 0.00016910816088003267
Position 595: 0.0001617398875312105
Position 2192: 0.00015993122303811785
Position 1073: 0.00015464704879092757
Position 6215: 0.0001544221193944913
Position 662: 0.00012562396227715138
Position 1310: 0.00012360107758928944
Position 1560: 0.00012343494114524308
Position 434: 0.00012129884222553308
Position 781: 0.0001177551562648663
