Gene = Mphosph9
index = 691
Annotated 5SS: [  187  3099  7128 12600 15268 21020 23799 29351 30418 35653 37127 41596
 42504 44339 60934 62656 65084 66051 67038 68005 69027]
Annotated 3SS: [ 2834  6973 12075 15140 20925 23694 28892 30261 35564 36910 41547 42438
 44236 60798 62476 64936 65929 66936 67756 68957 72853]
SMsplice 5SS: [  187  7128 11891 12154 12600 15268 21020 23799 30418 35653 37127 41596
 42504 44339 58560 60934 65084 65743 66051 67038 68005 69027 72961 73977]
SMsplice 3SS: [ 7017 11760 12075 12510 15140 20925 23651 30261 35564 36910 41547 42438
 44236 58444 60798 64936 65643 65929 66936 67756 68957 72853 73850 75102]
top_k =  1000
Partition function (log Z): -2.0444746689810325

Sorted 5' Splice Sites (High to Low Probability):
Position 30418: 0.9972970390961595
Position 44339: 0.9932879125995617
Position 21020: 0.9917878670317603
Position 35653: 0.9831828575782333
Position 7128: 0.9709170741293867
Position 11891: 0.9628721084060481
Position 23799: 0.9382760560601213
Position 187: 0.9364248524431024
Position 37127: 0.9280989247953974
Position 12600: 0.8808967624413787
Position 12154: 0.8780721560937585
Position 41596: 0.7755410301119864
Position 15268: 0.6891369530290865
Position 42504: 0.6161097864130565
Position 48727: 0.6002793980842837
Position 3099: 0.36337519322431666
Position 17157: 0.2666060642363601
Position 44164: 0.25392948103601687
Position 989: 0.24758922828454943
Position 425: 0.24653730355413855
Position 15688: 0.24514750643472427
Position 38448: 0.1781402066973028
Position 29284: 0.1763901979824923
Position 42911: 0.15026075171197031
Position 41635: 0.14251043860459423
Position 2953: 0.1402709391710711
Position 713: 0.1309148745047609
Position 42892: 0.1278874756496019
Position 37844: 0.12623856236049225
Position 4393: 0.12591362049968174
Position 14393: 0.1254165091950593
Position 15272: 0.11942976805297777
Position 34384: 0.11566395150903484
Position 41277: 0.10845327093064398
Position 21648: 0.09062309221903556
Position 2985: 0.09027698145748288
Position 60951: 0.08935775368334592
Position 57078: 0.083755049976368
Position 60934: 0.08342337673351365
Position 17161: 0.0802251291166991
Position 27423: 0.07375624775508749
Position 44749: 0.06713504882678967
Position 919: 0.06467774725897742
Position 12158: 0.06247305167463743
