Gene = Urad
index = 1168
Annotated 5SS: [284]
Annotated 3SS: [6974]
SMsplice 5SS: [284]
SMsplice 3SS: [6974]
top_k =  1000
Partition function (log Z): -7.430671593706476

Sorted 5' Splice Sites (High to Low Probability):
Position 284: 0.9707649863030586
Position 2259: 0.48164848977441205
Position 3279: 0.2382390456143715
Position 2023: 0.0767024649716012
Position 6473: 0.07607987746947775
Position 6072: 0.053221299567143214
Position 124: 0.043112313104759534
Position 2380: 0.03050719822863693
Position 6850: 0.02933765689797433
Position 7056: 0.023124718796502425
Position 6936: 0.022740636879189032
Position 4948: 0.022279284718980996
Position 4393: 0.019982218771424243
Position 4624: 0.018197316658466092
Position 2228: 0.01434945104839807
Position 3384: 0.012213619752071787
Position 1630: 0.011672909719086449
Position 4665: 0.010973090143681665
Position 3998: 0.010181056890575272
Position 3424: 0.009881402265213234
Position 2222: 0.009459429757006085
Position 5014: 0.008984126578253182
Position 883: 0.008459916048702436
Position 5429: 0.00821638364178086
Position 6712: 0.007477042389042982
Position 7074: 0.006326734805460941
Position 118: 0.005604919612004824
Position 6812: 0.00467236817580379
Position 464: 0.004120283440703422
Position 2094: 0.0037328669141526846
Position 6404: 0.003714454629426976
Position 6755: 0.0029951734304178123
Position 6313: 0.0028705355932135213
Position 4934: 0.002766121917660632
Position 1622: 0.0025228901631103454
Position 4698: 0.002474084866548331
Position 4397: 0.0024654199320709056
Position 6604: 0.0022337025688511374
Position 2216: 0.00217566938720104
Position 515: 0.002050298405698372
Position 7134: 0.0020365921270626744
Position 2651: 0.0020248676462644366
Position 598: 0.0018233801111704883
Position 2665: 0.0017374412428864997
Position 1641: 0.0015464829496175095
Position 568: 0.001322100957648929
Position 6758: 0.0011016690572742318
Position 6051: 0.0009987000126780196
Position 5292: 0.0009664477622045513
Position 6441: 0.0009067770764384184
Position 4435: 0.000832091528668638
Position 721: 0.0007469054378694358
Position 302: 0.0005686905081451786
Position 1672: 0.0005137668585564866
Position 1362: 0.0003893298207859431
Position 777: 0.0003713632051994273
Position 2234: 0.00036241546060490246
Position 1311: 0.0003585789822110943
Position 172: 0.000345206912902372
Position 1130: 0.00024981006585076705
Position 960: 0.00020426142688891
Position 1364: 0.00019655830962621654
Position 1924: 0.00018317012515645938
Position 1316: 0.00015223509425067936
Position 157: 0.00013440809211836342
Position 1124: 0.00013119001473011366
Position 1292: 0.00011461655016977585
Position 2212: 0.00010619624368938475
Position 1666: 0.00010075756017620998
Position 430: 9.374717644375243e-05
Position 999: 6.968249027453499e-05
Position 311: 6.7533306719664e-05
Position 1910: 6.053400469283266e-05
Position 207: 5.231351899638226e-05
Position 1366: 5.0501734820970466e-05
Position 1370: 4.93768781731771e-05
Position 1368: 4.8206177618297226e-05
Position 1170: 4.3854582334964935e-05
Position 7: 3.859114032246935e-05
Position 300: 3.742977901749435e-05
Position 840: 3.677744598175558e-05
Position 1372: 3.335114906363399e-05
Position 541: 3.295410812010332e-05
Position 1669: 3.172803525121006e-05
Position 824: 3.035617702897325e-05
Position 326: 2.7776733766832383e-05
Position 1374: 2.6956843590456622e-05
Position 875: 2.3721713289484334e-05
Position 1376: 2.1867356273237206e-05
Position 1378: 1.9802525509675646e-05
Position 1351: 1.9612247029325328e-05
Position 1380: 1.222885127866241e-05
Position 1968: 1.1409598219389824e-05
Position 151: 9.459229856167918e-06
Position 95: 7.542668001525328e-06
Position 2533: 5.1917189239019104e-06
Position 159: 5.18993039783976e-06
Position 2676: 4.794147501765096e-06
Position 2370: 2.5508107528180376e-06
Position 1420: 1.5053681699421917e-06
Position 1416: 1.263654737977537e-06
Position 2327: 1.1396147898490597e-06
Position 2232: 1.0535085891571874e-06
Position 215: 6.800141832438497e-07
Position 1382: 6.409500189991351e-07
Position 2214: 6.311693970868246e-07
Position 1384: 4.3350254062225265e-07
Position 1834: 4.2045745387642697e-07
Position 1085: 3.6467545826696763e-07
Position 1273: 3.5808301729730224e-07
