Gene = Rabac1
index = 882
Annotated 5SS: [ 228  653  994 2668]
Annotated 3SS: [ 439  895 2565 2744]
SMsplice 5SS: [228 585]
SMsplice 3SS: [ 439 2744]
top_k =  1000
Partition function (log Z): -4.738721445503954

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.9146798293075857
Position 585: 0.7862961881554532
Position 994: 0.429509676759478
Position 2668: 0.31772393588504927
Position 653: 0.1657627584456217
Position 2574: 0.13608154049912763
Position 752: 0.042301424959067524
Position 812: 0.03575499840970226
Position 367: 0.034104173767939824
Position 1381: 0.027339479628338863
Position 2362: 0.015157212907217004
Position 288: 0.012930171518685947
Position 2343: 0.01290517702009133
Position 119: 0.012230014167198653
Position 1576: 0.011821488134407998
Position 105: 0.008465855299132446
Position 350: 0.006577246668102155
Position 1783: 0.006518980679474783
Position 2423: 0.005690101385547008
Position 1980: 0.00457703963675031
Position 2377: 0.0037823470017551205
Position 1555: 0.003493684132883561
Position 561: 0.0030655566237010453
Position 2123: 0.002457004686328958
Position 620: 0.0023834330326088565
Position 2679: 0.002195459353005786
Position 2638: 0.0018140846526311343
Position 1428: 0.0017731882321718193
Position 599: 0.0017211637099833043
Position 897: 0.0015424576775561023
Position 93: 0.0015175260314361197
Position 2690: 0.0012329112674254402
Position 594: 0.0011323745577720892
Position 2591: 0.0010683989286161737
Position 541: 0.001025018049873167
Position 1146: 0.0009889182523514614
Position 2412: 0.0009566184343492277
Position 1299: 0.0008216566568785785
Position 241: 0.0008182563052049438
Position 821: 0.0006723400866888226
Position 305: 0.0006692989635515671
Position 269: 0.000544320724656421
Position 825: 0.0005311318868770758
Position 827: 0.0004135311639903714
Position 149: 0.0004115527158885874
Position 2532: 0.0002454739895294762
Position 243: 0.0002408249887790163
Position 2672: 0.00022051151412495133
Position 877: 0.0002050180227784404
Position 644: 0.00016977947199999505
Position 2661: 0.00014069659185819548
Position 2835: 0.00012628507274915947
Position 1462: 0.00010212868188506754
Position 787: 9.844257450656091e-05
Position 343: 9.52424662334458e-05
Position 310: 7.033516650609485e-05
Position 918: 6.96800678395997e-05
Position 2830: 5.5160763701271595e-05
Position 626: 4.7608316484181976e-05
Position 657: 3.017805042206981e-05
Position 1098: 2.6392779017866535e-05
Position 618: 2.2467223359647103e-05
Position 723: 1.7048272192054096e-05
Position 760: 1.286307905486966e-05
Position 369: 1.1688366150835699e-05
Position 756: 9.87573796070091e-06
Position 528: 6.884687683025914e-06
Position 164: 5.494496189660214e-06
Position 651: 4.798760498380706e-06
Position 384: 4.523103556200727e-06
Position 683: 3.882502118732312e-06
Position 624: 2.1431082217602243e-06
Position 482: 4.6394073619985253e-07
Position 1038: 4.588606526614715e-07
Position 984: 4.328785796445098e-08
Position 2527: 1.1625987003352312e-08
Position 1041: 8.29185139097649e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2744: 0.8002887756872767
Position 439: 0.7035388542957411
Position 895: 0.38383113979498107
Position 2565: 0.33626391395521693
Position 474: 0.13295061778262174
Position 745: 0.12915365846674015
Position 2467: 0.12858100171902173
Position 413: 0.12793656377957538
Position 2788: 0.03381978870160224
Position 2765: 0.024767270154276138
Position 2489: 0.020884471806986004
Position 707: 0.020082888388018093
Position 2245: 0.017447730640201702
Position 1340: 0.01383826578647803
Position 1298: 0.012629072044053119
Position 1687: 0.009739131114949647
Position 974: 0.009541902631533506
Position 2292: 0.009458123623161922
Position 783: 0.008321319850834273
Position 2474: 0.007820854390734875
Position 1362: 0.007052103970634718
Position 1272: 0.006472248923006434
Position 1129: 0.006044734098946549
Position 683: 0.004878973129120889
Position 2271: 0.004515953254007373
Position 325: 0.003861301634573307
Position 2180: 0.003696744091617214
Position 1721: 0.0034827254849413773
Position 1278: 0.003442797143427612
Position 455: 0.0032485663470379726
Position 1838: 0.0030246659178290417
Position 2220: 0.0028277210936799063
Position 1757: 0.0027714372269798415
Position 2525: 0.0027531162272681708
Position 1410: 0.002555071676546762
Position 340: 0.0025329099963185106
Position 834: 0.002197939738300261
Position 2410: 0.002185116703349276
Position 1922: 0.0019628077977066026
Position 1159: 0.001912801661189603
Position 1399: 0.0016160762228794635
Position 2110: 0.0012966563396272495
Position 1782: 0.0012572647402364246
Position 805: 0.0012550824441435481
Position 2573: 0.0012119477453219167
Position 2747: 0.0011671896678441009
Position 1744: 0.0010905578085667427
Position 2250: 0.001076222944215716
Position 1315: 0.0010609876930008908
Position 2980: 0.0009167551393135083
Position 1658: 0.0009059618190132199
Position 2228: 0.0008775496008748263
Position 2845: 0.0006873919959019404
Position 366: 0.0006301384960395484
Position 2794: 0.0006187865241973702
Position 2919: 0.000608679095871733
Position 1575: 0.0005721872870478698
Position 1495: 0.000498479175275848
Position 857: 0.0004302200163540802
Position 536: 0.0003972522965905014
Position 389: 0.00036796984597349313
Position 718: 0.00035757075345631956
Position 164: 0.0003377279785893988
Position 838: 0.0003224944690229308
Position 687: 0.00032076887267670133
Position 998: 0.00026966975063090536
Position 480: 0.00024020633373117258
Position 1179: 0.00023849176721940895
Position 1165: 0.00020965063970963883
Position 2305: 0.00019654525719284773
Position 2392: 0.00019185524812948164
Position 723: 0.00018551073267198494
Position 2801: 0.00017987155670826427
Position 1321: 0.00013649426448911529
Position 1106: 0.00012039814044782158
Position 1812: 0.00011699784628365667
Position 1068: 0.00011115905501441967
Position 1145: 9.905201393544384e-05
Position 1961: 9.015483977014599e-05
Position 1990: 8.492671360973685e-05
Position 169: 7.803008873272726e-05
Position 1427: 7.413886920475059e-05
Position 1858: 6.0734986793092035e-05
Position 1936: 5.9802299589531684e-05
Position 349: 5.746203127144155e-05
Position 2677: 5.529146247234157e-05
Position 253: 5.479741988155092e-05
Position 2952: 5.3316775988130594e-05
Position 2202: 5.0971528385848324e-05
Position 840: 5.073394644275208e-05
Position 657: 4.675944962820384e-05
Position 808: 4.198353400672498e-05
Position 980: 2.2907090339791694e-05
Position 756: 1.5748630398568906e-05
Position 285: 1.3480549612320023e-05
Position 195: 1.1459135651340678e-05
Position 821: 1.102068198482793e-05
Position 186: 9.717686243721444e-06
Position 482: 8.251653706000756e-06
Position 727: 8.14248132888862e-06
Position 375: 7.043798687543821e-06
Position 610: 6.777751150201763e-06
Position 183: 6.591434441779386e-06
Position 491: 6.265253242775363e-06
Position 192: 4.736952816985263e-06
Position 1815: 2.6541939541137496e-06
Position 239: 2.429956128820184e-06
Position 569: 2.2889841916819568e-06
Position 578: 2.0019235118607685e-06
Position 305: 1.7071096741182457e-06
Position 1370: 1.610217610753273e-06
Position 214: 1.4999027683074068e-06
Position 1462: 1.3120917843794497e-06
Position 567: 1.177541676515457e-06
Position 208: 8.914339741594394e-07
Position 260: 7.586097587265585e-07
Position 1500: 7.036989109849873e-07
Position 1434: 6.483481883170152e-07
Position 198: 5.694666235195544e-07
Position 287: 4.508242214395626e-07
Position 599: 2.7733475695260174e-07
Position 236: 2.3628061095820852e-07
Position 266: 2.0478914643926837e-07
Position 221: 1.7484145582755694e-07
Position 1136: 9.91678028901377e-08
Position 297: 5.4222169040489874e-08
Position 1192: 7.66084009311382e-09
Position 232: 7.3768737298095676e-09
Position 1181: 5.707313205749504e-09
Position 269: 5.1179790842213965e-09
Position 1095: 4.4304369114358176e-09
Position 1108: 2.1755457599427324e-09
