Gene = Gar1
index = 421
Annotated 5SS: [ 279  802 2060 2492 4573 5849]
Annotated 3SS: [ 542 1904 2431 4421 5779 6186]
SMsplice 5SS: [ 279 2077 4573]
SMsplice 3SS: [1904 4421 5779]
top_k =  1000
Partition function (log Z): -3.046358470124191

Sorted 5' Splice Sites (High to Low Probability):
Position 4573: 0.9302976434528987
Position 279: 0.6285085552394142
Position 2077: 0.605959801032175
Position 5849: 0.5567184412801891
Position 106: 0.4202478711961495
Position 802: 0.3941296112919215
Position 3251: 0.28683853849953506
Position 4933: 0.23684816770508266
Position 1973: 0.08796902912201178
Position 2492: 0.05162603642159365
Position 2060: 0.0487023916098719
Position 1637: 0.042665001397328
Position 3669: 0.03777942940376033
Position 5127: 0.03666147677728548
Position 5367: 0.03400295083383587
Position 4957: 0.02951989746733127
Position 1625: 0.025431753412995917
Position 1607: 0.01959578661665131
Position 41: 0.01692750675616017
Position 4257: 0.0133699996949351
Position 305: 0.011450688801536338
Position 957: 0.009509537609031681
Position 5577: 0.006955547622120714
Position 132: 0.00546684722628959
Position 3623: 0.005433776567870217
Position 1352: 0.004843375076850152
Position 1677: 0.004092274210262574
Position 180: 0.0036194928388724474
Position 1370: 0.003511849457256198
Position 6077: 0.003197205779103077
Position 211: 0.002550476842274635
Position 4570: 0.0024989296205073785
Position 4583: 0.0022209440498721293
Position 3499: 0.0021223378255474574
Position 5661: 0.0020225079927261554
Position 4558: 0.0019161954551046292
Position 1861: 0.0016941149383884002
Position 6013: 0.0015187966443156677
Position 1339: 0.0015164534844744864
Position 5460: 0.0014787874823015325
Position 574: 0.001346378584196517
Position 4918: 0.0012947956431059245
Position 2018: 0.0007726743553203696
Position 4897: 0.0007343705518227663
Position 5834: 0.0007281038596157342
Position 1753: 0.0006655308112183298
Position 5087: 0.0005770891741171652
Position 4480: 0.0005333415034367818
Position 5807: 0.0004319719453599169
Position 5887: 0.00039347646247698924
Position 1046: 0.0003634951602092665
Position 1485: 0.0003456346263921439
Position 6124: 0.00030717739874100777
Position 5437: 0.0002901864841875836
Position 87: 0.00028566385953617685
Position 2027: 0.00027403445988975723
Position 4525: 0.00026810228724169813
Position 6082: 0.00023114930176721562
Position 1479: 0.00017774110994284533
Position 1378: 0.00014481072435012712
Position 1468: 0.00014129892906415578
Position 1994: 0.0001229750005515547
Position 228: 0.0001106541018351664
Position 851: 0.00010405150729181195
Position 1590: 9.951849428710058e-05
Position 864: 9.533115167979588e-05
Position 673: 9.335292493958849e-05
Position 793: 8.500829673136136e-05
Position 283: 6.818852380798096e-05
Position 1426: 6.285677285736832e-05
Position 199: 5.7343572570894393e-05
Position 1572: 5.5620671413578834e-05
Position 509: 5.342237137629265e-05
Position 1003: 5.243424071660732e-05
Position 271: 5.062496278244072e-05
Position 127: 4.128678534126513e-05
Position 748: 3.7825871052526153e-05
Position 706: 3.247417252324338e-05
Position 3468: 3.139776619473137e-05
Position 1358: 3.106873601249943e-05
Position 21: 3.007015388879159e-05
Position 3428: 2.9769592561039806e-05
Position 595: 2.9385457908431825e-05
Position 798: 2.8490589174612733e-05
Position 1398: 2.4134453673710866e-05
Position 419: 1.931989248977927e-05
Position 6301: 1.756984970206168e-05
Position 57: 1.5610127895879666e-05
Position 3486: 1.5019630407713115e-05
Position 3404: 1.2935300492371372e-05
Position 2305: 1.1728118859659127e-05
Position 462: 1.1391179708041444e-05
Position 332: 1.1136615854422341e-05
Position 366: 1.1083291220440773e-05
Position 92: 1.0252922175533563e-05
Position 32: 9.274902451178691e-06
Position 352: 8.687374429342188e-06
Position 450: 8.582070968711282e-06
Position 135: 5.935116562751321e-06
Position 417: 5.148871023080638e-06
Position 94: 4.218503123695506e-06
Position 427: 3.6498814707176392e-06
Position 440: 3.5942717368000963e-06
Position 1947: 3.326127262672079e-06
Position 75: 3.240730907968803e-06
Position 2081: 2.610960581824017e-06
Position 1322: 2.0728505596099387e-06
