Gene = Colca2
index = 283
Annotated 5SS: [ 221  974 4689 6242]
Annotated 3SS: [ 878 4633 6011 7643]
SMsplice 5SS: [ 230  974 4689]
SMsplice 3SS: [ 878 4633 6011]
top_k =  1000
Partition function (log Z): -3.494577262312681

Sorted 5' Splice Sites (High to Low Probability):
Position 974: 0.987886578740255
Position 230: 0.8501105639116924
Position 4689: 0.6097431156957439
Position 6242: 0.44175713505902053
Position 7346: 0.21448477273500544
Position 1753: 0.14891539400738044
Position 3938: 0.1358314119648565
Position 3788: 0.13340165778535848
Position 2273: 0.09372945843954691
Position 5113: 0.08039742477560093
Position 221: 0.07796491972265013
Position 4814: 0.0639405064255807
Position 143: 0.05353048538216177
Position 420: 0.04115664022916131
Position 3755: 0.037201698057206106
Position 1597: 0.022981807006402028
Position 554: 0.019987280950374848
Position 4225: 0.01691304007264594
Position 7361: 0.015924961307554948
Position 4453: 0.014614147449699778
Position 331: 0.010362898034053955
Position 3635: 0.009668050997878349
Position 772: 0.007037811582307515
Position 6290: 0.0069160434733736625
Position 7297: 0.006695211227263494
Position 1452: 0.006433585422904689
Position 2869: 0.005959184796622508
Position 674: 0.005153233177672193
Position 4221: 0.004715501303394742
Position 425: 0.004379067591067163
Position 5604: 0.004247819171551711
Position 5196: 0.0039378400404684
Position 1245: 0.0038905192840688004
Position 1583: 0.0038817289629311676
Position 7399: 0.003750062602419827
Position 6325: 0.003415409496229202
Position 2840: 0.003311910171169965
Position 497: 0.0029073356787334683
Position 4353: 0.0020249870450081706
Position 678: 0.0020115811469859544
Position 4269: 0.0019117145213220952
Position 6212: 0.0016764779662084767
Position 3078: 0.0016227213762629973
Position 91: 0.0012469734510207587
Position 6127: 0.0007278993096281364
Position 790: 0.0005706514519897998
Position 376: 0.00014767635280902086
Position 2998: 0.00014338099928224655
Position 4580: 0.00012355650805128315
Position 1593: 0.00011756463401505476
Position 4693: 0.00011379724090318169
Position 1111: 9.613260005636799e-05
Position 118: 8.577688432036876e-05
Position 559: 7.979921527295562e-05
Position 1575: 7.40546743262092e-05
Position 334: 5.5119477962393776e-05
Position 1607: 5.4307028552323144e-05
Position 1518: 5.3785494111498856e-05
Position 225: 5.260620066215803e-05
Position 1603: 5.257347515941222e-05
Position 234: 5.0731462570659984e-05
Position 690: 4.91539871076632e-05
Position 2124: 4.5607853465678764e-05
Position 1493: 4.2868324268379336e-05
Position 821: 4.1896656636421974e-05
Position 890: 3.208032518096882e-05
Position 2609: 2.8787418950269168e-05
Position 646: 2.822408207802932e-05
Position 1952: 2.5874892070474476e-05
Position 616: 1.8823323892914587e-05
Position 2255: 1.6424482099393688e-05
Position 1024: 1.5765345615239917e-05
