Gene = Thy1
index = 1079
Annotated 5SS: [  93 2635 3569]
Annotated 3SS: [2572 3229 3954]
SMsplice 5SS: [93]
SMsplice 3SS: [3954]
top_k =  1000
Partition function (log Z): -7.89915937967351

Sorted 5' Splice Sites (High to Low Probability):
Position 93: 0.6991037262120784
Position 2635: 0.49393164740453765
Position 470: 0.3510605898078567
Position 1569: 0.1515638078091109
Position 402: 0.09659523560057705
Position 1255: 0.06771738338342545
Position 1971: 0.05922935757005521
Position 1765: 0.043628897823140673
Position 3569: 0.04189399244860618
Position 4135: 0.033827401366413275
Position 3256: 0.023078083554786497
Position 383: 0.01931058308237632
Position 230: 0.017883691959523836
Position 3174: 0.015653042204667157
Position 2738: 0.015339565829996842
Position 1714: 0.011303196918218957
Position 246: 0.007839743549632718
Position 240: 0.004965525799538564
Position 1192: 0.004586204290023066
Position 2648: 0.004568505362108149
Position 4885: 0.004136230320381684
Position 3280: 0.0035213635417882336
Position 4120: 0.00324055749260131
Position 1546: 0.003108687510758683
Position 3457: 0.00293752183852794
Position 4103: 0.0029090578760138097
Position 3414: 0.002885363197791235
Position 3603: 0.002608540139118519
Position 1670: 0.0022664129791727335
Position 1753: 0.0021935097868641786
Position 1852: 0.002187714846006145
Position 1757: 0.0015463977773885961
Position 3506: 0.0012431445583740957
Position 3188: 0.0010898288647688459
Position 3551: 0.0009044686885042741
Position 4492: 0.0008585091517579025
Position 1773: 0.0008002038440538837
Position 454: 0.0007966671314104415
Position 3238: 0.000780240842459247
Position 2727: 0.0007298885022041285
Position 3348: 0.0006056129183876722
Position 3379: 0.0005461765679880829
Position 4071: 0.0004486641013894217
Position 1541: 0.0004351872844398271
Position 946: 0.00029058306166298875
Position 2695: 0.0002243775662574076
Position 308: 0.00017068047476090804
Position 617: 0.0001193170500536844
Position 434: 9.522997988639973e-05
Position 2515: 4.6039988935628684e-05
Position 582: 4.442645852360822e-05
Position 1113: 3.5536758644085446e-05
Position 1168: 3.300978889407969e-05
Position 622: 2.9264311515973783e-05
Position 1382: 2.906807961670811e-05
Position 171: 2.8469633510015115e-05
Position 380: 2.3567888883085057e-05
Position 679: 2.1172625352802714e-05
Position 1156: 2.0070224302839736e-05
Position 1259: 1.9089209234772408e-05
Position 36: 1.7900003778782434e-05
Position 10: 1.5471455628784337e-05
Position 87: 1.5397272989852764e-05
Position 1216: 1.2997404943595707e-05
Position 262: 1.1365040038440449e-05
Position 357: 9.227192542404768e-06
Position 486: 8.624970876707421e-06
Position 1179: 8.563895380970303e-06
Position 312: 7.661765999005372e-06
Position 746: 7.228260914946864e-06
Position 981: 4.310123189005728e-06
Position 688: 3.9698310528739255e-06
Position 423: 2.32547330033074e-06
Position 269: 1.7050496529358154e-06
Position 53: 1.1615205839113137e-06
Position 667: 8.955382337758626e-07
Position 657: 8.657626267239712e-07
Position 917: 7.906409236245581e-07
Position 504: 7.329159209266193e-07
Position 406: 5.57748381628161e-07
Position 869: 4.2017807896507865e-07
Position 442: 3.600882276976545e-07
Position 753: 2.3305604892584154e-07
Position 799: 9.99208708588443e-08
Position 855: 5.1189083877620736e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3954: 0.432972959250488
Position 2542: 0.32334115891887616
Position 3237: 0.17756718849736733
Position 2572: 0.16664396680826676
Position 306: 0.15792463105494148
Position 1032: 0.12036193011024629
Position 1452: 0.10313817744379833
Position 3173: 0.09535247415096486
Position 4786: 0.07074617290175972
Position 4972: 0.051734709908008006
Position 1594: 0.0489767720519018
Position 1414: 0.042789748953577664
Position 5099: 0.030661077357864816
Position 3209: 0.030541601452735215
Position 2557: 0.027479312949576177
Position 1075: 0.02635930785519025
Position 1839: 0.024325386756747686
Position 1658: 0.022460759858909836
Position 1516: 0.0212569793450086
Position 3834: 0.020528078936244795
Position 308: 0.018885536351520214
Position 3059: 0.017851506253911166
Position 4800: 0.017272073120582477
Position 3444: 0.017136238217451482
Position 1696: 0.013119566136817438
Position 365: 0.011902062142446816
Position 4139: 0.01080317602479757
Position 4945: 0.01038294035579733
Position 4117: 0.008453247573707433
Position 2634: 0.008313438313127097
Position 4209: 0.007394891085417451
Position 1060: 0.005775524808716384
Position 2506: 0.005331704328069455
Position 1896: 0.004458942875148294
Position 894: 0.0037922579725359427
Position 4044: 0.003586746494765795
Position 4318: 0.002932768244698179
Position 245: 0.0028699189164117524
Position 380: 0.0022821799365959675
Position 1095: 0.0022003543285441414
Position 1798: 0.0019206269079513004
Position 4438: 0.0018584363141268265
Position 3123: 0.0014703699098465386
Position 5020: 0.0014576256974126367
Position 2870: 0.001415236430972294
Position 678: 0.0013714658467002699
Position 5005: 0.001319800299901887
Position 3151: 0.0012729589844844983
Position 1142: 0.0011936013564378327
Position 239: 0.0011260891932746194
Position 190: 0.0011047421475224484
Position 3822: 0.0010991175068346703
Position 4976: 0.001058013494170643
Position 3456: 0.0010359748804815887
Position 3469: 0.0010076211330021666
Position 323: 0.0009410431873937211
Position 4442: 0.0009058040563118255
Position 797: 0.0008183722946519739
Position 869: 0.0008092988482018002
Position 4156: 0.0007862813269423867
Position 1816: 0.0007293541381461798
Position 2712: 0.0006738502156574002
Position 5143: 0.0006317104518761424
Position 2058: 0.0005787471208694849
Position 171: 0.0005575519917996455
Position 2799: 0.0005516800066354088
Position 1268: 0.0005271840613912384
Position 4338: 0.0004945839132766091
Position 2450: 0.0004677602930560088
Position 430: 0.00045270731209084335
Position 469: 0.0004294870235697852
Position 2432: 0.0003802890176776156
Position 3252: 0.00032367199632079126
Position 4844: 0.0003107806341463687
Position 3229: 0.0002921821314180931
Position 3388: 0.000287151638044009
Position 2819: 0.00027131480816468067
Position 1233: 0.00025593938055902695
Position 229: 0.00024354340651476747
Position 827: 0.00023713811136532597
Position 753: 0.00023603194014182194
Position 2877: 0.00022919836893833668
Position 1013: 0.00021139620325912682
Position 2514: 0.00021094868499481968
Position 4173: 0.00020567736045521727
Position 2718: 0.00019995504687472554
Position 1317: 0.00018667861467888601
Position 2607: 0.0001852605954383761
Position 2726: 0.0001813094617758256
Position 1113: 0.00016228863102954222
Position 262: 0.00014130710068859764
Position 1890: 0.00013657948598902526
Position 345: 0.00013275881626824708
Position 1940: 0.00012255596817964452
Position 3255: 0.00012083961367138218
Position 1186: 0.00011800540839037468
Position 1709: 0.00010781810243590686
Position 3008: 9.653110437532735e-05
Position 2580: 9.480450963687262e-05
Position 332: 8.782714262656838e-05
Position 3486: 8.69815624182007e-05
Position 1460: 8.544618154157642e-05
Position 320: 8.407499151962413e-05
Position 1300: 8.040542854624866e-05
Position 392: 7.898067861814655e-05
Position 1175: 7.71758913221722e-05
Position 2424: 7.060901858971583e-05
Position 252: 6.444335624569736e-05
Position 401: 6.050963181488362e-05
Position 1305: 5.778973551031433e-05
Position 3342: 5.652506353790804e-05
Position 258: 5.629261589584056e-05
Position 182: 5.438397333880357e-05
Position 2416: 4.894362541281821e-05
Position 350: 4.548566152960554e-05
Position 165: 4.384968882919608e-05
Position 1911: 4.3124376780881596e-05
Position 1641: 3.968736945364977e-05
Position 4356: 3.50094615378192e-05
Position 1598: 2.8258514306224954e-05
Position 226: 2.5467352777001993e-05
Position 1238: 2.4015005594620642e-05
Position 1339: 2.1457404788813164e-05
Position 2307: 2.0622741774722338e-05
Position 1191: 1.8029571992962936e-05
Position 1669: 1.7551219380604135e-05
Position 1724: 1.74256655112058e-05
Position 336: 1.6577377903483064e-05
Position 398: 1.626529907334698e-05
Position 254: 1.4965656731422563e-05
Position 1367: 1.2354775148163675e-05
Position 1154: 1.0219569293059883e-05
Position 1323: 8.641684576849282e-06
Position 423: 8.379089126371397e-06
Position 2926: 8.299371500575136e-06
Position 1333: 6.290966808317522e-06
Position 1539: 5.643697127455848e-06
Position 1603: 5.486043188979432e-06
Position 1212: 4.501041564643611e-06
Position 2614: 4.131685655478268e-06
Position 2278: 3.817631968388174e-06
Position 2292: 1.3089090566755193e-06
Position 1144: 1.2327869397811575e-06
Position 1287: 1.2265043083259823e-06
Position 419: 1.1392799625004243e-06
Position 1289: 9.8505827810245e-07
Position 394: 5.603159209406458e-07
Position 897: 5.511144566823313e-07
Position 528: 4.873920059460733e-07
Position 642: 4.867915949616297e-07
Position 155: 4.2266614714127754e-07
Position 2347: 4.147587837310483e-07
Position 1264: 3.2989943220539486e-07
Position 510: 2.1291436935041233e-07
Position 591: 1.8858240080903164e-07
Position 772: 1.695698729774086e-07
Position 762: 1.6733887010976694e-07
Position 585: 1.635052838542614e-07
Position 907: 1.1742322079461713e-07
Position 495: 1.0621137946282056e-07
Position 778: 1.0060896281490845e-07
Position 474: 4.9785049129329984e-08
Position 553: 2.4070056764315857e-08
Position 560: 1.9440575012348505e-08
Position 648: 1.0016668151885282e-08
Position 587: 7.990488007683251e-09
Position 141: 6.440166176856172e-10
Position 564: 6.123185092476206e-11
Position 570: 4.393213855137351e-11
Position 532: 4.108837362090998e-11
Position 130: 1.8375153135683556e-11
Position 904: 1.4514560685421954e-11
Position 609: 8.631855550787573e-12
Position 615: 8.562575362601413e-12
Position 694: 7.269378330701846e-12
Position 92: 2.763265745167637e-12
Position 78: 1.633684605663963e-12
Position 548: 5.459522176501374e-13
Position 147: 5.097101585824465e-13
Position 82: 4.851515412434011e-14
Position 113: 4.631139659826063e-14
Position 102: 3.022500055771118e-14
Position 99: 1.826681360832408e-14
Position 97: 3.365906791111968e-15
Position 87: 3.2851151819117994e-15
