Gene = Ric3
index = 901
Annotated 5SS: [  169 25549 26588 28967 35381]
Annotated 3SS: [25321 26514 28872 35234 44447]
SMsplice 5SS: [  169 16920 25549 26588 28967 35381]
SMsplice 3SS: [16879 25321 26514 28872 35237 44447]
top_k =  1000
Partition function (log Z): -30.547019271472134

Sorted 5' Splice Sites (High to Low Probability):
Position 169: 0.9804049178174724
Position 2371: 0.40094944228094226
Position 2157: 0.37312755691885613
Position 766: 0.18416261918402724
Position 1601: 0.16780243923720256
Position 1202: 0.12594645577928892
Position 5731: 0.03116787838777114
Position 1286: 0.029075941549158116
Position 35: 0.027539394555210883
Position 2380: 0.025305754061648485
Position 6805: 0.017107692687737017
Position 1029: 0.015332126571226757
Position 582: 0.01246094880424536
Position 985: 0.01125216796409019
Position 4258: 0.009819425461467472
Position 3643: 0.007948181652693636
Position 3434: 0.0069935695061323425
Position 1458: 0.005259584862837174
Position 2447: 0.0044775279191886196
Position 3665: 0.002493604120403612
Position 877: 0.0024224754271878267
Position 3877: 0.0020265226065607697
Position 510: 0.0020074360979670113
Position 60: 0.0015049955939101594
Position 2338: 0.0013823727160821198
Position 792: 0.0013729632972792711
Position 3905: 0.0013726834030844913
Position 285: 0.0008626560134392438
Position 281: 0.0006505348745132383
Position 757: 0.0005923282098256373
Position 779: 0.00040473661810109016
Position 1117: 0.0004011947921510994
Position 2273: 0.00032895555080206853
Position 4221: 0.00024797038875350283
Position 2394: 0.0002464093132691858
Position 13: 0.00022068502997418585
Position 1990: 0.0001991457770926111
Position 3667: 0.00018337427188148606
Position 696: 0.0001789297462426966
Position 240: 0.00013946264641374393
Position 1013: 0.00012736264819842232
Position 2419: 0.0001137597228789255
Position 1033: 9.670625350435124e-05
Position 2165: 8.715607584410033e-05
Position 206: 7.432028290257496e-05
Position 848: 6.609027833337794e-05
Position 1626: 5.781244628587786e-05
Position 817: 5.564127291624695e-05
Position 1616: 4.8296109292524595e-05
Position 1936: 3.877172434357638e-05
Position 2192: 3.80791504869968e-05
Position 50: 3.777501069324567e-05
Position 821: 3.248182940519682e-05
Position 745: 3.200318514611728e-05
Position 90: 2.915312273090803e-05
Position 596: 2.844886587488331e-05
Position 329: 2.5923967470809326e-05
Position 852: 2.4871599497517193e-05
Position 797: 2.338404839079592e-05
Position 209: 1.4249772653352569e-05
Position 507: 1.3124029205857535e-05
Position 289: 1.2685850323179087e-05
Position 520: 1.1842569880838936e-05
Position 2340: 1.0345218855009155e-05
Position 748: 9.481089130405694e-06
Position 27: 8.612095135817974e-06
Position 4009: 7.601527342011981e-06
Position 774: 6.1325026412073044e-06
