Gene = Ngrn
index = 745
Annotated 5SS: [209 717]
Annotated 3SS: [ 605 3162]
SMsplice 5SS: [ 209  717 2989]
SMsplice 3SS: [ 605 2872 3162]
top_k =  1000
Partition function (log Z): -0.06558355030621588

Sorted 5' Splice Sites (High to Low Probability):
Position 717: 0.9880896416995827
Position 209: 0.8491724433450986
Position 3258: 0.5969157206446468
Position 2989: 0.48614465369856275
Position 3009: 0.4669385462217748
Position 2122: 0.314250150808999
Position 2385: 0.21377711619594905
Position 2186: 0.15280901385942597
Position 2464: 0.06917018170168694
Position 919: 0.0647277390039138
Position 201: 0.05100939714755514
Position 2156: 0.03963415344956579
Position 441: 0.03912238926202563
Position 3687: 0.025195870101802367
Position 1557: 0.02108837891825077
Position 120: 0.011503384919069735
Position 923: 0.009961375404093453
Position 446: 0.009026206022729298
Position 2203: 0.006561148060559044
Position 2140: 0.006162907887275725
Position 671: 0.003901703939632798
Position 3710: 0.0036040933119014817
Position 1425: 0.003521648684908981
Position 107: 0.003288984728683851
Position 505: 0.003276605328201243
Position 2351: 0.0026497211989591827
Position 888: 0.0022783478267007448
Position 3648: 0.002053698869195295
Position 1075: 0.0019820437058510007
Position 2059: 0.001943163952860122
Position 103: 0.0018676310982836033
Position 1152: 0.0018591976751708577
Position 2414: 0.0017987338323160202
Position 1324: 0.001722199303870861
Position 355: 0.0014425639355625398
Position 3205: 0.0014297825977815887
Position 3813: 0.0013728026873558938
Position 3193: 0.0009610172590945121
Position 81: 0.0007721666495460683
Position 3058: 0.0007413678785337791
Position 113: 0.0006664915305793322
Position 3305: 0.0006047038154776147
Position 3871: 0.0005599478492978569
Position 241: 0.0005000673188226335
Position 333: 0.0004782378797360955
Position 2168: 0.0004486288473281442
Position 1767: 0.00043797652502024345
Position 3049: 0.00036794321950963207
Position 1645: 0.00035547083085584515
Position 3: 0.0003490606741869813
Position 2494: 0.00034767064904102693
Position 1840: 0.0003468268563190238
Position 380: 0.00032806426068753903
Position 450: 0.0003112641317061325
Position 136: 0.00030380202909939357
Position 2126: 0.00030191048814895373
Position 290: 0.00030158310257036433
Position 1975: 0.00027425291583809666
Position 3861: 0.0002407610178709384
Position 2043: 0.00024007367426163924
Position 2145: 0.0002351684204667349
Position 3339: 0.0002343421738753042
Position 2359: 0.00021157827797366226
Position 435: 0.0002111915213861533
Position 2963: 0.0001645988534983022
Position 2228: 0.0001627727631384436
Position 457: 0.00016000140435030072
Position 2065: 0.0001598526940599321
Position 39: 0.00015829575403912856
Position 2373: 0.00015482138018195027
Position 13: 0.00014505697641942385
Position 220: 0.00012263639278216947
Position 420: 0.00012037054820387758
Position 1710: 0.0001062266905510979
Position 303: 0.00010512350483610344
Position 76: 0.00010127612289919043
Position 764: 9.540466995809795e-05
Position 141: 9.164825769005845e-05
Position 319: 9.110379405560972e-05
Position 980: 8.765616942200636e-05
Position 79: 8.18578955822446e-05
Position 3435: 5.93023255918575e-05
Position 2376: 5.751425415880413e-05
Position 878: 5.5985154948032026e-05
Position 2389: 5.536596556043217e-05
Position 724: 5.095171392382864e-05
Position 412: 4.57071664991083e-05
Position 1531: 4.434380965205439e-05
Position 693: 4.1873145379570975e-05
Position 23: 3.740165635606783e-05
Position 1345: 3.2704408977245106e-05
Position 261: 3.162075945884908e-05
Position 3001: 3.024645288703398e-05
Position 2997: 2.4871577664657827e-05
Position 1725: 2.4032688812203422e-05
Position 1979: 2.3462368664909906e-05
Position 2212: 2.259890591022779e-05
Position 1059: 2.224115730480557e-05
Position 481: 1.7068627249394643e-05
Position 937: 1.6743319479829878e-05
Position 452: 1.4876351820610137e-05
Position 1805: 1.3637086872641993e-05
Position 400: 1.3236040580925969e-05
Position 1005: 1.2908316510467648e-05
Position 393: 1.2478772667401167e-05
Position 2943: 1.1972019056183941e-05
Position 336: 1.1934549055296911e-05
Position 2841: 8.695399240871076e-06
Position 2957: 8.440409784411167e-06
Position 2883: 8.37987968995011e-06
Position 947: 8.344979516901229e-06
Position 538: 7.936258755359155e-06
Position 1928: 7.753978724157812e-06
Position 1484: 7.260858481139407e-06
Position 3020: 7.182482234954283e-06
Position 1762: 7.059809258025312e-06
Position 1722: 6.93592507115524e-06
Position 771: 5.736306383198029e-06
Position 1331: 5.1286460060393715e-06
Position 2947: 5.118166920866631e-06
Position 1707: 4.375643389021724e-06
Position 3461: 4.20685181837003e-06
Position 3262: 3.6543790574670208e-06
Position 1293: 3.5123783089309452e-06
Position 1054: 3.0598161944739615e-06
Position 398: 2.3910701469985313e-06
Position 470: 2.005344857292969e-06
Position 1416: 1.2994672105273323e-06
Position 561: 1.275554072236851e-06
Position 1285: 1.2658654803221103e-06
Position 3248: 1.246543138140031e-06
Position 3266: 1.0021488771384072e-06
Position 3422: 9.66688628354692e-07
Position 385: 8.516243955639377e-07
Position 3653: 3.3025264448113683e-07
Position 1195: 1.4889772465044318e-07
Position 3633: 9.938647240873431e-08
Position 617: 9.693046587642131e-08
Position 1578: 6.802122549924024e-09
Position 1112: 2.749852675743994e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3162: 0.9763367197574998
Position 605: 0.7975246988841566
Position 2872: 0.7867403465306002
Position 1953: 0.42404292069815475
Position 3762: 0.2962887400558535
Position 2293: 0.2739966129467927
Position 3563: 0.11921656152178647
Position 2840: 0.10828191313771353
Position 2068: 0.10641912230759246
Position 621: 0.06563676029904734
Position 3577: 0.05535464135484179
Position 3741: 0.05231780434919012
Position 3359: 0.05157099429986097
Position 828: 0.03968772185224333
Position 791: 0.03856291498331295
Position 2876: 0.03613890685822516
Position 561: 0.03572448737619641
Position 642: 0.03258338110354864
Position 2917: 0.01786100497692834
Position 1264: 0.015961234506889202
Position 3603: 0.014991994458933242
Position 3413: 0.012383393833905652
Position 574: 0.012059456663220017
Position 341: 0.009711952819457068
Position 3483: 0.0063331735681417265
Position 2936: 0.0051933512039123225
Position 2071: 0.0049196277545139324
Position 3804: 0.004872856424735239
Position 3435: 0.004773827232826495
Position 628: 0.004357219044008075
Position 3613: 0.004090579435221849
Position 3332: 0.0031403284419895673
Position 1239: 0.0028821260944855995
Position 3488: 0.0026996310158364173
Position 4148: 0.0026492677164203934
Position 3334: 0.0024647064527463123
Position 281: 0.0023554683898179035
Position 3624: 0.0021236600366614086
Position 379: 0.002059117297081793
Position 1195: 0.0020224513920148735
Position 2298: 0.001962975538404786
Position 4001: 0.0017475892179394498
Position 3439: 0.0016876642624062787
Position 2593: 0.001405687778083621
Position 3370: 0.0013929959502908043
Position 440: 0.001344528797593094
Position 3343: 0.0012475086494442942
Position 1484: 0.0012344230242282892
Position 1622: 0.0011864611764088977
Position 1423: 0.0011260851218503553
Position 795: 0.0010332141034181267
Position 497: 0.0009706961995567506
Position 1323: 0.0008697741324165962
Position 3082: 0.000821410114466921
Position 3589: 0.000758652828917026
Position 3422: 0.0006476649822948646
Position 859: 0.0006262995541588804
Position 3278: 0.0006259468754720097
Position 3995: 0.0006125518891400242
Position 2235: 0.0006077810955928944
Position 1381: 0.0005812785539706193
