Gene = Faap24
index = 391
Annotated 5SS: [ 624 1600 1862]
Annotated 3SS: [1459 1708 3744]
SMsplice 5SS: [ 151  624 1600 1862]
SMsplice 3SS: [ 504 1459 1708 3744]
top_k =  1000
Partition function (log Z): -4.127590896623244

Sorted 5' Splice Sites (High to Low Probability):
Position 1600: 0.948019985158788
Position 1862: 0.8017083277129903
Position 151: 0.6626364949828755
Position 624: 0.5999313875174523
Position 46: 0.23304159696930665
Position 186: 0.030401005813371226
Position 1612: 0.017499087437691196
Position 2820: 0.013831523790754361
Position 628: 0.01110830027694338
Position 2371: 0.008160496660748712
Position 1151: 0.0067136826908494604
Position 79: 0.005858973760622755
Position 478: 0.005169130037584963
Position 546: 0.005122917861760849
Position 695: 0.004658747018531021
Position 2456: 0.004504720112429404
Position 435: 0.0032276180993427326
Position 3937: 0.002763486806347136
Position 1604: 0.0017347223437710877
Position 4163: 0.0016228816154269883
Position 679: 0.0015261678340681422
Position 390: 0.0014678307928413274
Position 326: 0.00143822949065377
Position 3859: 0.001305270985124733
Position 2682: 0.0009506294738093082
Position 162: 0.0009396251461067775
Position 384: 0.0009356540699084167
Position 1808: 0.0009009082102946638
Position 598: 0.0007210255964109698
Position 1319: 0.0006719390389971926
Position 2355: 0.000630102768837169
Position 700: 0.0005484428889297215
Position 2831: 0.0004931675171111199
Position 739: 0.00046553913153751206
Position 51: 0.0004069774060774113
Position 4316: 0.00036767969993947177
Position 3850: 0.0003308532454719822
Position 2510: 0.0002937340784760658
Position 312: 0.0002733545820367973
Position 2808: 0.00023584141144600615
Position 243: 0.00023211716409712906
Position 1390: 0.0002318220631060492
Position 1213: 0.00023082212456033342
Position 97: 0.00021643867462214445
Position 1866: 0.0001893800391341269
Position 1071: 0.0001610487055350198
Position 157: 0.00015710778022717144
Position 551: 0.000137333137153103
Position 2793: 0.00013724705320638362
Position 456: 0.00012893772511219224
Position 557: 0.00012675237511569344
Position 2790: 0.00010402443696666911
Position 1065: 0.00010353477348037033
Position 398: 0.0001032699536786034
Position 3635: 0.00010220473155678416
Position 1762: 9.220256124967378e-05
Position 3027: 9.213087833588383e-05
Position 3646: 8.558864381336768e-05
Position 3885: 8.324207558785379e-05
Position 448: 8.277797081501175e-05
Position 785: 7.930908759904348e-05
Position 2144: 7.696296748170723e-05
Position 3823: 6.622756675555669e-05
Position 2383: 6.543128120681523e-05
Position 231: 6.519119881797187e-05
Position 4140: 6.08107694491541e-05
Position 290: 5.957939861797185e-05
Position 2349: 5.047694365803106e-05
Position 929: 4.852255413491033e-05
Position 2243: 4.299001505978646e-05
Position 3544: 4.298599592732964e-05
Position 3919: 4.2611780321054845e-05
Position 575: 3.410528762806838e-05
Position 4397: 2.7097284069052547e-05
Position 582: 2.504480648210705e-05
Position 1783: 1.9289327869061837e-05
Position 1465: 1.875979116114136e-05
Position 458: 1.8609780171073524e-05
Position 342: 1.672788238219269e-05
Position 207: 1.6503388541826667e-05
Position 1555: 1.3811062844317746e-05
Position 1272: 1.3528837469828338e-05
Position 1644: 1.350082598964204e-05
Position 284: 1.2336238783968345e-05
Position 666: 1.2135006633990544e-05
Position 941: 1.1283446027088307e-05
Position 1054: 9.391630903758758e-06
