Gene = Snrpe
index = 999
Annotated 5SS: [ 128  574 1395 3791]
Annotated 3SS: [ 546 1331 3711 6214]
SMsplice 5SS: [ 578 3791]
SMsplice 3SS: [3711 6214]
top_k =  1000
Partition function (log Z): -5.55065195708713

Sorted 5' Splice Sites (High to Low Probability):
Position 3791: 0.9075056428495828
Position 578: 0.672947101999606
Position 3535: 0.3349016925581401
Position 110: 0.17175906316553013
Position 1082: 0.1556901265020588
Position 3569: 0.1448938525673202
Position 1395: 0.1225058674166543
Position 128: 0.11301301022505725
Position 574: 0.0950108691308103
Position 384: 0.08856849226340742
Position 101: 0.08253415876357394
Position 1457: 0.05556928102327986
Position 5251: 0.042429504039239924
Position 174: 0.03079030525237025
Position 1347: 0.013984917995410028
Position 1384: 0.012748334926530132
Position 220: 0.009471776531759929
Position 2090: 0.008563934163723742
Position 6121: 0.005136741224449451
Position 774: 0.0045404970907476925
Position 3089: 0.004450354936610523
Position 165: 0.0043937773845515405
Position 4590: 0.0043431272099327765
Position 2600: 0.004227542455770226
Position 5638: 0.0038562524356148937
Position 3582: 0.003561541405130675
Position 4343: 0.0034940337715113237
Position 3970: 0.0033689102419667714
Position 402: 0.0028504713032689736
Position 3459: 0.0023691906237083035
Position 1547: 0.0019055935852142756
Position 1179: 0.001852480398682505
Position 116: 0.0018449553746188376
Position 5851: 0.001771432172943928
Position 368: 0.0017343045651816475
Position 3371: 0.0016370818516195566
Position 1556: 0.001474934595332633
Position 1686: 0.0012006814848702983
Position 2094: 0.0010392902037650975
Position 79: 0.0009794987863642633
Position 6113: 0.0009288269511679118
Position 142: 0.0009188548410857349
Position 2078: 0.0006551577997734551
Position 5674: 0.0006352721075436719
Position 5700: 0.0005841902887463701
Position 5746: 0.0005610307412068867
Position 814: 0.0005367010893810138
Position 2392: 0.0005294919961078721
Position 6097: 0.0005003447419353068
Position 5905: 0.00047779032879948175
Position 1122: 0.00044448362908642035
Position 1365: 0.00044079477417834886
Position 1516: 0.0004308525469095662
Position 785: 0.0004265056670090785
Position 2183: 0.00040062072128898034
Position 3281: 0.00037874478474315216
Position 180: 0.00035373557884396504
Position 6158: 0.00033548140238866595
Position 3558: 0.0002721465116039549
Position 1399: 0.00020832360162932422
Position 2144: 0.00020103304224713058
Position 3355: 0.00017491966509357618
Position 1422: 0.00015643627861075998
Position 4194: 0.00012124881012681355
Position 4538: 0.00010914003223925044
Position 4182: 0.00010729609931822473
Position 4726: 7.957354185678304e-05
Position 4098: 5.910708507403803e-05
Position 4132: 5.155468478371462e-05
Position 1355: 4.51094735345828e-05
Position 489: 3.390726250227667e-05
Position 1029: 3.20111157347923e-05
Position 907: 2.8720119949469393e-05
Position 448: 2.8717300342864582e-05
Position 305: 2.0878389265947945e-05
