Gene = Ube2cbp
index = 1157
Annotated 5SS: [  210 13137 16188 24365 29667 37583 39689 42110 92610]
Annotated 3SS: [ 12939  16096  24195  29596  37512  39579  41945  92470 157073]
SMsplice 5SS: [   210   1445  13137  16188  17252  17405  19380  24365  24537  29667
  39689  42110  50440  73003  92610 129514 144662 150719]
SMsplice 3SS: [  1368  12939  16096  17101  17322  19257  24195  24453  29596  39579
  41945  50296  72944  92470 129429 144570 150629 157073]
top_k =  1000
Partition function (log Z): -68.20096691253927

Sorted 5' Splice Sites (High to Low Probability):
Position 1445: 0.999213996885577
Position 24365: 0.9980385450975248
Position 16188: 0.9811820134553765
Position 39689: 0.9070640752582544
Position 210: 0.9029508653936961
Position 42110: 0.8522411336683383
Position 17252: 0.7905863230036994
Position 29667: 0.7487248198327188
Position 15046: 0.6093415890219037
Position 19380: 0.5998475942321132
Position 13137: 0.5753817700687879
Position 17405: 0.5636902173215738
Position 24537: 0.5235198466184873
Position 20374: 0.43623191677592077
Position 35516: 0.42041162300103035
Position 25009: 0.3004261613867797
Position 16806: 0.26783404673454414
Position 16854: 0.25792643186332714
Position 37583: 0.25591398962740675
Position 29639: 0.240037227017687
Position 31431: 0.23971078661162418
Position 17492: 0.14683624975112022
Position 18519: 0.14271678489673426
Position 21844: 0.11659768896830502
Position 21792: 0.102669950438294
Position 17782: 0.08981278742547268
Position 23601: 0.08485689804362846
Position 39663: 0.08284885422063387
Position 25883: 0.06779243649278303
Position 22428: 0.06448932974595525
Position 37539: 0.05842205116210149
Position 19591: 0.04027066188680242
Position 228: 0.04002351317250391
Position 20340: 0.030943929630490516
Position 17711: 0.03022377024113364
Position 21850: 0.029359092001998065
Position 25890: 0.028670150581183794
Position 42430: 0.01735356176349979
Position 191: 0.015717418843001246
Position 28163: 0.014096223027298104
Position 26236: 0.012764385044864079
Position 24598: 0.011808227232529464
Position 21510: 0.011429417004531518
Position 26586: 0.011177823736726726
Position 481: 0.010117818980179008
Position 25265: 0.009669411662674543
Position 22034: 0.009523233278996087
Position 18272: 0.009491982569489573
Position 24789: 0.006479612350707984
Position 30242: 0.005719937488864626
Position 28199: 0.005435409371133835
Position 25733: 0.005319945653434465
Position 17132: 0.005251865469503663
Position 32595: 0.005172088609325749
Position 25837: 0.005084547045905873
Position 6547: 0.003863768065901688
Position 17206: 0.003301702320231142
Position 365: 0.0032326231688657924
Position 359: 0.0031081469965567377
Position 114: 0.002951971437868491
Position 172: 0.0029225896942212336
Position 345: 0.0028385258810579963
Position 274: 0.002807475980384681
Position 16708: 0.00268608880885939
Position 22581: 0.002355406449501274
Position 35715: 0.002249549789168565
Position 30290: 0.002176793209488721
Position 29737: 0.002126199058342027
Position 25531: 0.002015832614916338
Position 30626: 0.0018718980485494788
Position 92: 0.0017769967899806717
Position 40350: 0.0017729677297079391
Position 30565: 0.0017587483820518817
Position 86: 0.0015878339556175357
Position 505: 0.0015145379665190554
Position 26217: 0.0011515253725702644
Position 80: 0.0011361632727518714
Position 282: 0.0011258504661883963
Position 18316: 0.0010744665996134356
Position 16941: 0.0009811404845635528
Position 883: 0.0009228837350701137
Position 107: 0.0008499671646252508
