Gene = 0610040J01Rik
index = 0
Annotated 5SS: [  233 64137 84121]
Annotated 3SS: [64086 84066 85591]
SMsplice 5SS: [  233  2359 64137]
SMsplice 3SS: [ 2261 64086 85591]
top_k =  1000
Partition function (log Z): -51.69358115017124

Sorted 5' Splice Sites (High to Low Probability):
Position 233: 0.9575389831347355
Position 2359: 0.9094144275352464
Position 12000: 0.29913362650923736
Position 3096: 0.28071399257781343
Position 6353: 0.09892757320797971
Position 10996: 0.08757670209659421
Position 36: 0.07937938981921167
Position 466: 0.07072636036892307
Position 4455: 0.06294293206057978
Position 4559: 0.04642492681265812
Position 9875: 0.03938038011253659
Position 1628: 0.03380298389794162
Position 11743: 0.03208677111851113
Position 434: 0.025972190665548785
Position 859: 0.010295756633974635
Position 242: 0.009524620292137445
Position 2041: 0.009401139304962357
Position 688: 0.008716651419498005
Position 2631: 0.008677400404713416
Position 237: 0.006162748165684873
Position 6890: 0.005671771543510011
Position 461: 0.0045845003928126505
Position 540: 0.00408413595061065
Position 6772: 0.004005903960057601
Position 1607: 0.0039084262474746575
Position 1463: 0.0032281796687240556
Position 455: 0.0029072355240363297
Position 5097: 0.00270152892964367
Position 9451: 0.0015607690509252
Position 2351: 0.001408876818812571
Position 2821: 0.0013316682194799972
Position 5359: 0.0008685638987365575
Position 1192: 0.00076936792704388
Position 787: 0.0006835561485285857
Position 749: 0.000553423603262655
Position 1055: 0.0005331608529212468
Position 2048: 0.00046045271954057944
Position 1487: 0.0003104725400480287
Position 817: 0.00029244215969350263
Position 1219: 0.0002636492107172249
Position 1555: 0.0002299127635120466
Position 1747: 0.00019244836963756224
Position 1207: 0.00016743275712514667
Position 2101: 0.00016116834586649422
Position 1236: 0.00012463989158653888
Position 1023: 0.00011344108921991672
Position 2093: 0.0001127848507841623
Position 1213: 0.00010519095539758331
Position 474: 0.00010155336893338868
Position 2700: 9.535469544765974e-05
Position 2382: 8.93184288452713e-05
Position 694: 8.86524470804085e-05
Position 1154: 8.854154306554332e-05
Position 2559: 7.929506658320221e-05
Position 1538: 6.776563900590707e-05
Position 6455: 6.770118354496827e-05
Position 417: 6.726644291238755e-05
Position 2966: 6.537815465531195e-05
Position 3747: 6.014477875571695e-05
Position 2035: 5.650349241868674e-05
Position 1408: 4.3979313502914804e-05
Position 2823: 3.311535981369098e-05
Position 3060: 1.8251483917629237e-05
Position 82: 2.8687902779873356e-06
Position 7: 2.656784074473996e-06
Position 43: 2.6053182882891954e-06
Position 280: 1.9925505931188968e-06
