Gene = Lce1b
index = 626
Annotated 5SS: [49]
Annotated 3SS: [678]
SMsplice 5SS: [49]
SMsplice 3SS: [678]
top_k =  1000
Partition function (log Z): -8.949067762751381

Sorted 5' Splice Sites (High to Low Probability):
Position 49: 0.6052734688610132
Position 167: 0.37198719045202705
Position 556: 0.02200618958247514
Position 821: 0.006151809402406003
Position 77: 0.005064480697209756
Position 797: 0.004951673523611928
Position 184: 0.003759822766102495
Position 437: 0.003313762232419269
Position 758: 0.003097779615477641
Position 425: 0.0023429049080732705
Position 746: 0.0009238600721537339
Position 844: 0.0008893343706239542
Position 811: 0.000751819490253486
Position 596: 0.0006545277646341616
Position 497: 0.0005165492096531356
Position 518: 0.0004240975603845594
Position 53: 0.0001756176342746819
Position 81: 0.0001700011412252038
Position 833: 8.280655387364758e-05
Position 1036: 7.910637392005219e-05
Position 522: 5.070227305386725e-05
Position 831: 4.893112543653392e-05
Position 853: 4.321680881532643e-05
Position 862: 3.6084098815741324e-05
Position 598: 3.593851665042476e-05
Position 16: 3.511765020132611e-05
Position 226: 3.196026925761257e-05
Position 123: 3.1045457238538554e-05
Position 389: 2.840124162773959e-05
Position 660: 2.788683933031505e-05
Position 600: 2.7391338969966075e-05
Position 36: 2.1914471407859045e-05
Position 55: 1.6789547461063107e-05
Position 1033: 1.1907924546030435e-05
Position 40: 7.751662403553139e-06
Position 305: 7.422017187981062e-06
Position 31: 6.9902027595602945e-06
Position 282: 6.6538473756180835e-06
Position 121: 4.3109060315939125e-06
Position 704: 3.1425972887423533e-06
Position 1042: 2.205783853519756e-06
Position 1030: 1.8619014897234946e-06
Position 5: 1.488018714720117e-07
Position 273: 1.1198518236476864e-07
Position 473: 2.1077206774142153e-08
Position 501: 1.3153647297554748e-08
Position 516: 2.763331977166952e-09
Position 728: 7.591414026019917e-10
Position 865: 6.591433897089731e-10
Position 901: 1.4067200383241337e-10
Position 651: 4.883730034482076e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 678: 0.5993349701875907
Position 913: 0.13813190377925516
Position 521: 0.09675287809427204
Position 847: 0.03521591617266939
Position 895: 0.030351562690576483
Position 949: 0.020143351746236608
Position 982: 0.017779605925358766
Position 335: 0.014879911204096836
Position 958: 0.009278307044241034
Position 389: 0.006679294446340201
Position 877: 0.00654591054561745
Position 716: 0.006461592326439766
Position 616: 0.006143023795415339
Position 684: 0.004857828925747061
Position 246: 0.004728630564051
Position 425: 0.0039047362073674824
Position 213: 0.0037857338856602386
Position 1135: 0.0030277928722158695
Position 927: 0.0025681138977408486
Position 997: 0.0025306753039643017
Position 487: 0.0017743281122283659
Position 469: 0.0014994795871958472
Position 156: 0.0013782046227822373
Position 746: 0.0013567747297255743
Position 821: 0.001308628717730562
Position 701: 0.0010236316523867968
Position 293: 0.0009742884645886001
Position 713: 0.0009556238868037921
Position 631: 0.0008529961693588668
Position 776: 0.0008341949255146622
Position 531: 0.0007117413739058218
Position 290: 0.0006702060786261678
Position 1119: 0.0005631628005357855
Position 1000: 0.0005601528948811052
Position 346: 0.0004913461745215338
Position 581: 0.0004824518811116532
Position 1060: 0.0003982476158737805
Position 797: 0.0003432465711772318
Position 1087: 0.0003134126138475296
Position 1057: 0.0002576732709588918
Position 758: 0.0002448265466841372
Position 355: 0.0002384758548577543
Position 126: 0.00023448504364729519
Position 696: 0.00023123131017866477
Position 1030: 0.00021338959444111794
Position 264: 0.00021206183063576434
Position 1217: 0.00017129029380778715
Position 1090: 0.0001574531767673458
Position 636: 0.00013428043768899263
Position 501: 0.00012891624956862293
Position 1027: 0.00012707241175558698
Position 722: 0.0001265728286848523
Position 1069: 0.00012125647034627963
Position 725: 9.141242679943614e-05
Position 1258: 7.377893888302776e-05
Position 651: 7.139479661576218e-05
Position 437: 7.029990062241009e-05
Position 590: 5.467756318115065e-05
Position 552: 4.834130984411535e-05
Position 134: 4.2718712006717406e-05
Position 940: 4.260809985345742e-05
Position 166: 4.155187668516041e-05
Position 298: 4.070234808522963e-05
Position 441: 3.735550221510031e-05
Position 1009: 3.063005912999018e-05
Position 1140: 2.8904004197217016e-05
Position 216: 2.1241642824524736e-05
Position 158: 1.9702487052956108e-05
Position 1072: 1.8598209286354462e-05
Position 365: 1.8005114087319935e-05
Position 361: 1.7713081819397203e-05
Position 1039: 1.694025010046352e-05
Position 686: 1.5478733806321865e-05
Position 642: 1.2058900335450176e-05
Position 1012: 1.1908582044987472e-05
Position 449: 8.120617608887294e-06
Position 734: 7.926632777577888e-06
Position 728: 7.711640285795356e-06
Position 367: 7.03530985064433e-06
Position 1097: 6.5559210618099255e-06
Position 1151: 6.164247901321136e-06
Position 1042: 6.052353485799594e-06
Position 223: 6.031874047465353e-06
Position 1094: 5.4707002768253495e-06
Position 140: 4.604318626626981e-06
Position 143: 3.840640768576127e-06
Position 194: 3.42892842056911e-06
Position 187: 3.256077347273005e-06
Position 359: 3.063345003648519e-06
Position 175: 2.6572348180496247e-06
Position 226: 1.8547842599513846e-06
Position 371: 7.549426717902923e-07
Position 117: 6.439984143977141e-07
Position 136: 3.3586356799358597e-07
Position 87: 1.885367970426561e-07
Position 376: 1.2850595424339038e-07
Position 94: 1.9170652413174934e-08
Position 230: 5.791533981914981e-09
Position 89: 5.2912562543952885e-09
Position 70: 4.135939244086216e-09
Position 189: 4.1201054524018363e-10
Position 106: 2.0518102874928784e-10
Position 101: 1.5807955843782587e-10
Position 72: 9.560074040027619e-11
Position 104: 4.62121476376426e-13
Position 99: 2.3459449819325784e-13
