Gene = Ankmy1
index = 121
Annotated 5SS: [   77   463  3408  6838 14460 16284 16771 18072 19165 21156 21927 23592
 24576 25896 26372 31234 32098]
Annotated 3SS: [  305  3217  6693 13989 16066 16611 17640 18992 21014 21785 23483 24443
 25781 26205 31160 31936 32587]
SMsplice 5SS: [   77  3408  6838 14072 16700 19165 21156 21927 23592 24576 25896 26372]
SMsplice 3SS: [ 3217  6693 13989 16611 18992 21014 21785 23483 24443 25781 26205 31157]
top_k =  1000
Partition function (log Z): 17.852456905217704

Sorted 5' Splice Sites (High to Low Probability):
Position 23592: 0.9972471738161901
Position 6838: 0.9891617429668148
Position 3408: 0.9791158241136688
Position 21156: 0.9662617399318021
Position 21927: 0.9417129889224255
Position 14072: 0.9252591211485078
Position 25896: 0.9069215654293333
Position 24576: 0.8953735996317074
Position 19165: 0.726688555271699
Position 16700: 0.678942635985116
Position 31234: 0.5883693866004474
Position 26372: 0.5559884910030584
Position 77: 0.3879871125494472
Position 16284: 0.3877287579284055
Position 12150: 0.3665946132972527
Position 14460: 0.3109225384344773
Position 18281: 0.30975233771824917
Position 16771: 0.3091585043766176
Position 2517: 0.2953752364358389
Position 23997: 0.22491002072585897
Position 463: 0.22337424302547976
Position 188: 0.2159201877136909
Position 405: 0.20246824026324062
Position 26376: 0.18932285250540346
Position 20106: 0.18571709859311747
Position 24789: 0.13944630020075202
Position 19111: 0.12183256473330792
Position 25715: 0.11967513681643134
Position 24837: 0.11185618489210472
Position 17452: 0.10347937556253595
Position 18072: 0.09668404489634803
Position 26260: 0.09613511846890298
Position 19037: 0.0891774891477884
Position 20035: 0.08868164203139718
Position 16127: 0.08374889733832706
Position 387: 0.07808170876152663
Position 66: 0.07243912814311948
Position 15034: 0.06865672562127455
Position 18505: 0.06527583004809771
Position 32128: 0.06448995486123231
Position 21600: 0.060975911739600624
Position 31611: 0.05182409359534077
Position 18648: 0.049539192133058414
Position 31037: 0.045898316836044256
Position 21317: 0.045832380402548445
Position 18794: 0.04248379962223727
Position 2668: 0.04063186893541238
Position 5298: 0.040239043902173845
Position 20286: 0.039093007030086196
Position 21424: 0.03908550736853061
Position 19364: 0.038182600652643756
Position 22295: 0.03809250844192674
Position 24808: 0.037149981125829235
Position 3764: 0.036354220103752874
Position 14122: 0.033976625530480115
Position 25315: 0.030261466276155065
Position 30614: 0.026688947448133094
Position 4857: 0.025829946883619503
Position 15951: 0.025686770074197913
Position 21148: 0.024273650606088503
Position 29802: 0.023044634054249367
Position 28039: 0.022254254033733725
Position 10820: 0.02159152385793955
Position 24910: 0.021081428775872713
Position 3883: 0.020864978421759096
Position 1036: 0.020169694425101952
Position 489: 0.017735973541292735
Position 21386: 0.016310463935665702
Position 13280: 0.016129198193834335
Position 306: 0.015833953355653185
Position 22737: 0.015690853383490303
Position 2273: 0.015103038744096159
Position 3134: 0.014929936429490111
Position 10844: 0.014559836704611969
Position 32098: 0.014480962816222699
Position 10868: 0.01444911160139561
Position 14839: 0.014166359899914088
Position 25635: 0.013695797943477164
Position 5074: 0.012439205415553755
Position 8286: 0.012124453696084338
Position 21962: 0.011804925068491838
Position 28949: 0.011690361995823855
Position 25229: 0.011594155302452454
Position 30308: 0.010917334523655144
Position 3925: 0.010803721819865367
Position 22797: 0.010760681611217356
Position 30784: 0.01069886742835908
Position 22397: 0.010147264287796654
Position 15043: 0.009971325765239694
Position 14191: 0.00961298360898885
Position 20585: 0.009195299081604004
Position 5951: 0.008995811831488846
Position 21283: 0.008977494388135509
Position 8629: 0.008163627645679874
Position 17525: 0.008157350065404634
Position 8949: 0.00802791781866312
Position 18450: 0.007770684243568841
Position 4527: 0.007475791906643865
Position 6115: 0.006931032234912413
Position 49: 0.006554147635119283
Position 3445: 0.005848578893045673
Position 23175: 0.005740919014700049
Position 8639: 0.00555886217472253
Position 9179: 0.004795010028873071
Position 15682: 0.0046914741433812706
Position 19060: 0.004679811870054921
Position 22093: 0.004627362356781539
Position 10183: 0.004177403021963968
Position 18850: 0.004162182600321164
Position 1464: 0.004020673120043042
Position 4908: 0.003884569418184049
Position 10922: 0.0038131536347854288
Position 23796: 0.0038033662097979645
Position 30354: 0.0035885884059758885
Position 21166: 0.0034481113665988912
Position 2320: 0.0033850768646581427
Position 17735: 0.0033697785314784753
Position 14642: 0.003183096902001355
Position 7896: 0.003082494023540319
Position 10970: 0.0030605685845916243
Position 3789: 0.0029664911310798496
Position 3747: 0.002858004990571581
Position 21904: 0.002857153959318591
Position 22374: 0.0028065568753910686
Position 16012: 0.0026769961033728243
Position 23374: 0.0025302048652585314
Position 18894: 0.0025266287049252128
Position 1249: 0.002464553525796075
Position 4606: 0.002462038353517973
Position 2023: 0.0024288876825329835
Position 14454: 0.0024030757254487477
Position 922: 0.002338887337266892
Position 10946: 0.0022168560853298275
Position 498: 0.002090969723960545
Position 268: 0.0020712582692832366
Position 491: 0.001977798499317865
Position 2982: 0.0019499389702737754
