Gene = Cldn12
index = 267
Annotated 5SS: [  25  558 1628 3719]
Annotated 3SS: [ 412 1537 3666 6334]
SMsplice 5SS: [ 162 6543]
SMsplice 3SS: [6430 6793]
top_k =  1000
Partition function (log Z): -5.031861256916454

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.7705145855292762
Position 1628: 0.5881284730102296
Position 6543: 0.5800390126669784
Position 558: 0.4941415945603993
Position 6578: 0.36085378846460525
Position 6794: 0.3021487089438179
Position 7553: 0.29768064224498797
Position 3719: 0.2856789600400455
Position 1074: 0.27368353202490614
Position 4306: 0.2070436428351425
Position 25: 0.11506193647390732
Position 2951: 0.09281678731930194
Position 169: 0.07636060421734568
Position 8359: 0.07290957907199909
Position 2183: 0.06139187382439712
Position 2564: 0.058089001156622286
Position 5948: 0.03370875783467208
Position 5983: 0.029170965529551732
Position 3545: 0.026916457441588996
Position 1779: 0.023101945241190594
Position 7903: 0.022630343026412047
Position 6116: 0.02006812756894695
Position 5078: 0.01799228920986197
Position 6799: 0.016985807782398273
Position 677: 0.01610135491073604
Position 6914: 0.015723524155166778
Position 9620: 0.015624637610420121
Position 6570: 0.013908180580510762
Position 4880: 0.013260259460905569
Position 6015: 0.006994475953399245
Position 575: 0.006589280773991103
Position 6525: 0.0064963624474178115
Position 7468: 0.005046332355132263
Position 123: 0.004944633912205893
Position 6413: 0.004372431630484165
Position 6948: 0.004231639847306791
Position 7259: 0.00388896925239211
Position 253: 0.0038882514021344916
Position 7853: 0.0035867788639474983
Position 3936: 0.0034109233070365123
Position 2095: 0.0031980060828296964
Position 2568: 0.003111699059592503
Position 357: 0.0030456440859354715
Position 1632: 0.002694130453150422
Position 3522: 0.002533358639351524
Position 5514: 0.0023450586751769574
Position 2357: 0.002148956547817759
Position 6585: 0.002071286026035288
Position 5996: 0.001873951657883853
Position 586: 0.0017589977263254403
Position 7044: 0.00164887478508713
Position 1733: 0.001497083238824195
Position 2469: 0.0014516202311561414
Position 6886: 0.0013119300649457213
Position 8196: 0.0012690115427512372
Position 6529: 0.0009816366094682729
Position 316: 0.0009546426770282883
Position 7849: 0.0009286290917494567
Position 29: 0.0009122935432300546
Position 8089: 0.0007985789299045816
Position 78: 0.0007833280936326041
Position 185: 0.0007321916729768592
Position 311: 0.0007255933745361993
Position 1473: 0.0007056095930314626
Position 7637: 0.0006662847818537375
Position 150: 0.0006502989627701613
Position 976: 0.0006476069875737588
Position 873: 0.0005605254328974102
Position 14: 0.0005424911301335363
Position 374: 0.0004958874295731264
Position 531: 0.0004727484106228477
Position 6865: 0.0004635841252394829
Position 68: 0.0004193072622844751
Position 597: 0.0004007477209571154
Position 1349: 0.00039763460610292876
Position 1534: 0.000366195046877077
Position 729: 0.00035365006456358983
Position 3411: 0.00032209320062356276
Position 3867: 0.0003199144498766236
Position 1141: 0.0002551914423381188
Position 6939: 0.00022304681072599813
Position 4822: 0.00017960277236765218
Position 1136: 0.00017566684696958252
Position 5211: 0.0001712859045776833
Position 176: 0.0001620235965376793
Position 108: 0.00015650323178742324
Position 666: 0.00015542849067377807
Position 940: 0.00014660117293183186
Position 34: 0.00013360803008687677
Position 4886: 0.00013057129807423772
Position 217: 0.00011361648554734614
Position 6742: 0.00010786594287786049
Position 191: 9.539432391948825e-05
Position 607: 9.301587134418575e-05
Position 4354: 8.609655150003978e-05
Position 207: 7.85624349894126e-05
Position 3783: 6.714523710623738e-05
Position 136: 6.151076393215676e-05
Position 4325: 5.4713271644176665e-05
Position 3760: 5.379552557971355e-05
Position 4250: 5.317196695095828e-05
Position 6534: 4.866220684993524e-05
Position 6646: 4.394813196439867e-05
Position 4613: 4.2419482765175236e-05
Position 6591: 3.995795255111898e-05
Position 1042: 3.6259714021098296e-05
Position 7527: 3.533359201107381e-05
Position 476: 3.431420168539079e-05
Position 4805: 3.178290003796e-05
Position 817: 2.6955778247341203e-05
Position 205: 1.975012598462327e-05
Position 49: 1.8627342986648824e-05
Position 1303: 1.4713573371026796e-05
Position 80: 8.355979783054655e-06
Position 1232: 8.154752066092887e-06
Position 496: 6.7110412907072304e-06
Position 6557: 5.805621655026192e-06
Position 57: 5.1904264075478525e-06
Position 6595: 5.081439159764871e-06
Position 809: 3.780557886909541e-06
Position 85: 3.045109182344387e-06
Position 142: 2.8171213037493256e-06
Position 71: 2.7914975870100205e-06
Position 446: 2.1003392522066435e-06
Position 6659: 1.8211523204054987e-06
Position 6614: 1.3008830905407905e-06
Position 1797: 1.0344911925290498e-06
Position 314: 9.21020776351289e-07
Position 943: 8.007166670501967e-07
Position 31: 3.5721346379957117e-07
Position 926: 1.8222858971167113e-07
Position 1057: 1.2571263797216195e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 6430: 0.8394107436511137
Position 430: 0.4750850448743879
Position 7439: 0.45052215432411263
Position 1537: 0.3574396935391483
Position 1002: 0.24313895192429033
Position 9703: 0.23918506750969937
Position 3666: 0.21884914502386085
Position 6793: 0.2142097570860013
Position 6641: 0.21350942289038288
Position 4186: 0.19823930866833256
Position 1565: 0.1743837107850722
Position 7712: 0.13332646576875273
Position 5859: 0.10890714046864407
Position 6624: 0.09818632921638668
Position 7630: 0.09710682726082315
Position 6334: 0.08062035823659926
Position 3594: 0.06995391285488772
Position 2681: 0.059895791685940274
Position 1466: 0.05835607168169587
Position 8220: 0.04715210691595519
Position 6491: 0.042322053747892975
Position 7354: 0.03969155044235229
Position 4665: 0.032826241116931484
Position 9462: 0.03152056563675432
Position 2436: 0.026795389685364244
Position 2702: 0.024187217344860755
Position 1705: 0.02347772113606767
Position 3275: 0.022906510975283494
Position 1030: 0.02069568030343973
Position 9321: 0.017739252642390044
Position 8962: 0.01771477607427527
Position 412: 0.01766442536577874
Position 8139: 0.016959273236123742
Position 8240: 0.015326637544100661
Position 8816: 0.014525661421382209
Position 6464: 0.012775687794066003
Position 9093: 0.0127291666217448
Position 2035: 0.011143497876197471
Position 6886: 0.010899228125862095
