Gene = Eif3g
index = 369
Annotated 5SS: [  80  246  540  736  917 2508 2796 3535 3791 3991]
Annotated 3SS: [ 198  455  646  856 2402 2605 3426 3653 3883 4180]
SMsplice 5SS: [  80  246  540  736  917 3535 3791 3991]
SMsplice 3SS: [ 198  455  646  856 3426 3653 3883 4180]
top_k =  1000
Partition function (log Z): 13.4768799338517

Sorted 5' Splice Sites (High to Low Probability):
Position 736: 0.9840068569183744
Position 246: 0.9443543653783074
Position 917: 0.9426625718623682
Position 540: 0.8717400209542094
Position 3991: 0.8625965339040114
Position 2508: 0.7824575092125033
Position 3791: 0.7214665680798368
Position 3535: 0.6997195701836288
Position 80: 0.40989634875466496
Position 2796: 0.40375255903544005
Position 136: 0.30243316366479533
Position 3573: 0.2270587903076732
Position 3795: 0.21056618333060875
Position 4097: 0.05276918745964044
Position 3543: 0.04317515380690535
Position 941: 0.03672466874937344
Position 3329: 0.015555994508495933
Position 2936: 0.014240764045148926
Position 2466: 0.01063937639083551
Position 1029: 0.009117092761167718
Position 2837: 0.008073345561557848
Position 3467: 0.005551669393711239
Position 119: 0.00523329939740022
Position 102: 0.004930361940404318
Position 1295: 0.0046155790022903665
Position 349: 0.004094608292995084
Position 741: 0.0038551215708964616
Position 91: 0.0037159328115200694
Position 2942: 0.003363468910658599
Position 3343: 0.003179719300259623
Position 788: 0.0030549155678249685
Position 2804: 0.0027876076927372045
Position 4064: 0.0022515788931206037
Position 1308: 0.0021107091125499755
Position 2954: 0.0018446135700223914
Position 2820: 0.0017805799166248865
Position 224: 0.0017497712082118894
Position 86: 0.0017129793044182982
Position 3977: 0.0017089278207385202
Position 1690: 0.0016337503129304773
Position 2517: 0.0012886758239088094
Position 3982: 0.0011870930424525926
Position 2339: 0.0010017967315837518
Position 2470: 0.0008394082494087419
Position 3803: 0.0005994891743790255
Position 3821: 0.0005405018976973717
Position 3817: 0.0004533443214974634
Position 2764: 0.0004418893201579794
Position 1901: 0.00035978229323995527
Position 547: 0.0003146199124943507
Position 3577: 0.00029676013637064484
Position 46: 0.00027021893691425063
Position 3702: 0.00026123041822680523
Position 2186: 0.00026046003985733977
Position 1177: 0.00022651177249287556
Position 2876: 0.00022307659959791594
Position 3301: 0.00021084241870161294
Position 1299: 0.00016486571915310728
Position 3267: 0.00016192077253110096
Position 2897: 0.0001572520265391361
Position 1819: 0.00014709821420520996
Position 747: 0.00012131213771623565
Position 2834: 0.00011487661341936194
Position 4032: 0.00011352462635721886
Position 2663: 0.00010965504669407765
Position 549: 8.211012835282255e-05
Position 312: 7.78933092413465e-05
Position 526: 7.411976715355262e-05
Position 2829: 6.418964071323058e-05
Position 2451: 5.886956203542811e-05
Position 694: 5.8832481128084505e-05
Position 2478: 5.251771903088702e-05
Position 2840: 5.0752738945746794e-05
Position 702: 4.785853791775765e-05
Position 774: 4.2926129320073356e-05
Position 2665: 4.27224625570069e-05
Position 782: 4.196332947947351e-05
Position 2798: 4.0519788950781295e-05
Position 340: 3.949073916829281e-05
Position 764: 3.855840779854762e-05
Position 2703: 3.843555749826584e-05
Position 4040: 3.826080474033244e-05
Position 4037: 3.138563884255882e-05
Position 2551: 3.088372086613334e-05
Position 259: 2.7955556518629712e-05
Position 3927: 2.6002905137335196e-05
Position 250: 2.2669481630628963e-05
Position 2908: 2.208133577217587e-05
Position 2842: 1.2281997608523152e-05
Position 3941: 1.1409059515544747e-05
Position 3784: 1.117846489911832e-05
Position 3830: 1.0853550470037477e-05
Position 4087: 1.0340257509766934e-05
Position 41: 8.173205995774706e-06
Position 3688: 7.78693755050429e-06
Position 513: 7.749293987237406e-06
Position 146: 7.268386416926952e-06
Position 278: 7.1501371370353804e-06
Position 3948: 6.125666205494216e-06
Position 4101: 5.111840425224409e-06
Position 772: 4.958775112643296e-06
Position 4106: 3.191224873619313e-06
Position 4052: 2.598507143786709e-06
Position 140: 2.387960178690554e-06
Position 670: 1.8705084544539058e-06
Position 17: 1.7840910577410489e-06
Position 3590: 1.626757408225752e-06
Position 405: 1.1613262774111129e-06
Position 411: 1.0465212093851355e-06
Position 946: 7.190518473182571e-07
Position 1846: 7.182411495664348e-07
Position 3812: 6.951453772858244e-07
Position 1001: 5.799982534298952e-07
Position 189: 4.168230167521843e-07
Position 462: 4.1099164206807776e-07
Position 1052: 3.707346302247244e-07
Position 1343: 2.2289029518150015e-07
Position 1007: 2.1800566655735586e-07
Position 1114: 1.5349852365541843e-07
Position 605: 1.5315144912803947e-07
Position 416: 1.353323374403667e-07
Position 1014: 1.1813089681298718e-07
Position 996: 1.1211438211119228e-07
Position 1268: 1.0956712022189507e-07
Position 948: 8.27393445219824e-08
Position 626: 6.668935664423301e-08
Position 990: 6.161566913304125e-08
Position 1043: 5.923000438003618e-08
Position 464: 2.140893623236616e-08
Position 798: 1.4419748960802758e-08
Position 1703: 1.3927690323364007e-08
Position 632: 1.2721933910149111e-08
Position 972: 6.016213126702043e-09
Position 1159: 5.152597349496222e-09
Position 1169: 4.305790376140091e-09
Position 3512: 1.9713307170535437e-09
Position 3505: 1.1348586441596747e-09
Position 3601: 1.3627821354655456e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 856: 0.9853083271936603
Position 3426: 0.9775255524347974
Position 646: 0.9467390198971084
Position 3883: 0.9046311137908037
Position 4180: 0.7495713978040645
Position 3653: 0.7397337392117378
Position 198: 0.7153458948689745
Position 455: 0.6597269364915627
Position 2351: 0.2864194614620796
Position 2605: 0.2850939430877803
Position 2402: 0.20611832449616604
Position 4127: 0.17417572448932048
Position 2397: 0.15480855264787924
Position 3718: 0.15311581425495285
Position 405: 0.14044832317114853
Position 2276: 0.08973517270157097
Position 2716: 0.06844810378153342
Position 3900: 0.06038283418820478
Position 2243: 0.03396968201673439
Position 471: 0.02698962277110033
Position 2683: 0.022769832405513585
Position 3210: 0.022476632271915573
Position 666: 0.02179361724599636
Position 2626: 0.0216113851574424
Position 3694: 0.020535260567141746
Position 3938: 0.019941374840332406
Position 626: 0.017309846786649565
Position 2620: 0.015933905164405068
Position 2466: 0.01573282582486056
Position 2629: 0.01465740089958106
Position 1183: 0.005793819831198917
Position 475: 0.004084831209541598
Position 3606: 0.003986319115049313
Position 601: 0.0032891591772901403
Position 485: 0.0030740451306532253
Position 4228: 0.0029928229496051398
Position 3706: 0.00289803916020414
Position 4027: 0.0025688045288464194
Position 2840: 0.0025412821478476063
Position 3428: 0.0025145838647445034
Position 3363: 0.0024947395031970896
Position 2248: 0.0023581263524259516
Position 513: 0.001933771739850559
Position 2500: 0.001864857798761904
Position 2281: 0.0018398770925323446
Position 4106: 0.0017755091400172233
Position 2726: 0.001496610096198091
Position 2313: 0.0013789886829364897
Position 1569: 0.0013655863587626051
Position 4063: 0.0013651403929681733
Position 589: 0.0012381976237727933
Position 4236: 0.00103680721843432
Position 2650: 0.0009837771228404324
Position 814: 0.0009616452324723166
Position 3443: 0.0009047513422909358
Position 2411: 0.0009029306245641453
Position 2876: 0.000775344772464476
Position 2737: 0.0007312478446091028
Position 3481: 0.0006948958824574361
Position 3398: 0.0005774446082270514
Position 605: 0.0005427164840470713
Position 205: 0.0005414790599137362
Position 3766: 0.0005308843887262526
Position 2623: 0.00046295974233518284
Position 2414: 0.000461821475966894
Position 1214: 0.00041210361289939246
Position 3916: 0.0003907668703474871
Position 3310: 0.0003883152108669503
Position 2149: 0.00037628658898545224
Position 4059: 0.0003685053674261675
Position 1777: 0.00033892354309201085
Position 223: 0.00032765648590074456
Position 2034: 0.0003185457408726181
Position 1818: 0.0003157600062451134
Position 3772: 0.0002993101509850765
Position 3452: 0.00026829950306361014
Position 1285: 0.00025983225892004116
Position 4200: 0.00023080879185231548
Position 670: 0.0002282953128674033
Position 2289: 0.0002263099965401166
Position 2644: 0.0002022029786406292
Position 1645: 0.00019764375748994239
Position 4146: 0.0001941051708065023
Position 864: 0.00019292201602600056
Position 4047: 0.00019119655798433441
Position 1136: 0.00017802250063079538
Position 832: 0.00016845291171627678
Position 2782: 0.00015994842794322278
Position 2429: 0.00015413002639606154
Position 2740: 0.00014805331102507244
Position 3588: 0.00014026603773388275
Position 319: 0.00013339863661883551
Position 2570: 0.000129098105325429
Position 2779: 0.00012363924387643094
Position 3434: 0.00010159933330493358
Position 2743: 0.00010074495501357783
Position 3313: 9.492492405498086e-05
Position 4074: 9.364995779946247e-05
Position 1121: 9.186096290442779e-05
Position 2158: 8.636399800007754e-05
Position 873: 8.615557160687944e-05
Position 3256: 8.352200839880069e-05
Position 4085: 7.709793574147919e-05
Position 2125: 7.275471274101199e-05
Position 518: 7.250938211054146e-05
Position 2659: 6.76126597552607e-05
