Gene = Epp13
index = 383
Annotated 5SS: [  183  3232  5921  6637  7835 11224 13636 14138 16098 17182 18696 20293
 21664 24832 26742]
Annotated 3SS: [ 3213  5914  6627  7825 11196 13578 14119 16091 17172 18686 20265 21636
 24709 26703 28757]
SMsplice 5SS: [  183 11224 18696 26616 26742]
SMsplice 3SS: [11196 18530 26505 26703 28757]
top_k =  1000
Partition function (log Z): -17.19616622340625

Sorted 5' Splice Sites (High to Low Probability):
Position 183: 0.9846408912767337
Position 11224: 0.5029137113434415
Position 7835: 0.48405206218924873
Position 3946: 0.38710740993262927
Position 13636: 0.2018011033145429
Position 8306: 0.1930193924985501
Position 448: 0.13550238265441752
Position 14138: 0.08000434209289618
Position 5808: 0.07568932034712411
Position 974: 0.0675165777496012
Position 6637: 0.06517771920537628
Position 5921: 0.05929493144515924
Position 887: 0.054485416681975374
Position 8467: 0.05196427183244224
Position 402: 0.04693433334624612
Position 3232: 0.046732100503095925
Position 8708: 0.04545606103283957
Position 3542: 0.04017976856831985
Position 2737: 0.03901990449929227
Position 3525: 0.037988171648572974
Position 5819: 0.033515804145311835
Position 4861: 0.02914956014119669
Position 1055: 0.028632404768515012
Position 3590: 0.026025935555192236
Position 426: 0.025707623506375513
Position 600: 0.02318056680049988
Position 1026: 0.022397694067057806
Position 1173: 0.021505006008173802
Position 3638: 0.01962033175054856
Position 2868: 0.019589925817050914
Position 1072: 0.01883705384214289
Position 7445: 0.015149481009977074
Position 29: 0.011358319067826906
Position 5342: 0.010969154063065976
Position 3477: 0.009075436179164151
Position 1154: 0.008628900536270828
Position 1114: 0.006682535341769387
Position 7472: 0.006129413382775216
Position 2074: 0.006072666091248034
Position 369: 0.004096798662957514
Position 202: 0.003317946943015336
Position 2437: 0.003237776303388454
Position 2846: 0.003076052495748125
Position 7843: 0.0028886797136862758
Position 4830: 0.0021970804312156397
Position 3325: 0.0018128359989198668
Position 2390: 0.0009004019390856772
Position 5101: 0.0008939469220908753
Position 477: 0.0007180842614254452
Position 6257: 0.0006454468511818654
Position 828: 0.0005283148956355949
Position 212: 0.0005002159832022717
Position 220: 0.00047696667678688267
Position 2713: 0.0004052298764014499
Position 2281: 0.0003918736557134709
Position 127: 0.00030393086341644587
Position 845: 0.0002480568678137805
Position 1957: 0.00021242286012879117
Position 2404: 0.00015233193354962464
Position 4009: 0.00012636282555127551
Position 726: 0.00010218080245353168
Position 4466: 9.753934474529339e-05
Position 4624: 6.998430005823115e-05
Position 730: 6.37189374540581e-05
Position 722: 6.226218584999672e-05
Position 134: 5.857118229494772e-05
Position 100: 5.7642085048722725e-05
Position 512: 5.2489663492061394e-05
Position 739: 5.063259174111245e-05
Position 734: 3.285601820428853e-05
Position 380: 3.16660922069734e-05
Position 454: 2.7705550788164325e-05
Position 550: 2.6287242659082306e-05
Position 582: 2.5067541718535998e-05
Position 855: 2.347230182801821e-05
Position 761: 2.203010762272071e-05
Position 462: 2.09702741628086e-05
Position 254: 2.0248825065845566e-05
Position 2393: 1.9401414689703308e-05
Position 695: 1.6513052167633223e-05
Position 137: 1.4688278361897347e-05
Position 670: 1.3618325871576708e-05
Position 2327: 1.1865781965638504e-05
Position 862: 1.072752872458226e-05
Position 16: 1.0725337430023897e-05
Position 177: 9.942438533252276e-06
Position 473: 9.888537370720593e-06
Position 33: 8.61137531611248e-06
Position 672: 8.06988753360306e-06
Position 812: 7.071080196569577e-06
Position 566: 6.868193389189053e-06
Position 71: 6.245970017038791e-06
Position 247: 5.630009405295548e-06
Position 501: 5.3028975992460385e-06
Position 384: 4.0365625749739985e-06
Position 373: 2.1086938302736184e-06
Position 361: 1.934479096103663e-06
Position 653: 1.7811161573457047e-06
Position 801: 1.7462916538191724e-06
Position 336: 1.3308492690648494e-06
Position 42: 9.171105553779692e-07
Position 170: 5.253626260713941e-07
Position 47: 5.175175809252318e-07
Position 612: 5.086386651600971e-07
Position 728: 4.2656402078326884e-07
Position 7: 3.1557531690557073e-07
Position 326: 1.9103632407979355e-07
Position 2191: 6.955827534179156e-08
Position 516: 6.843837429951789e-08
Position 280: 5.621450380180837e-09
Position 340: 5.2316699091729275e-09
Position 282: 3.400625778672384e-09
Position 308: 3.3210544197098876e-09
Position 333: 3.292339188440794e-09
Position 471: 2.0993777780439158e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 11196: 0.8508460055157582
Position 7555: 0.49252964708546604
Position 3830: 0.37770175456437777
Position 8230: 0.22350009560180073
Position 13578: 0.19498916412195239
Position 311: 0.19373682384412316
Position 14380: 0.1838320139678572
Position 16877: 0.1555142102741622
Position 928: 0.1440453985198054
Position 13542: 0.12569789309315105
Position 14119: 0.10615007268359408
Position 3213: 0.060085602362771974
Position 6412: 0.05430011942743254
Position 3267: 0.051691742416873666
Position 13850: 0.05116353736991155
Position 5705: 0.048851214141212504
Position 8660: 0.03900690410697487
Position 2501: 0.03861502269327379
Position 827: 0.03748598535312832
Position 3430: 0.0368223479089013
Position 5790: 0.035338448401762076
Position 4763: 0.034107560566206736
Position 12773: 0.03378024843231531
Position 5766: 0.03367760475268793
Position 759: 0.029941802345446397
Position 13486: 0.024864028598701276
Position 285: 0.01952814022654649
Position 5616: 0.01952285924930561
Position 7141: 0.019488685701554244
Position 2594: 0.01874048443994516
Position 8797: 0.01762249479972801
Position 3128: 0.01750469687194391
Position 5662: 0.01717899960685365
Position 8202: 0.012557975073837543
Position 3469: 0.011304408007726578
Position 5613: 0.010700938376499002
Position 352: 0.009623562993005597
Position 6627: 0.009158870492078542
Position 635: 0.008980871991911074
Position 8630: 0.008026912501536572
Position 11556: 0.006739250056349426
Position 726: 0.006370199519050793
Position 13151: 0.00626375817748317
Position 5156: 0.006208452554492163
Position 105: 0.005694550775067134
Position 5197: 0.005633797972029204
Position 3834: 0.004978848159587243
Position 1881: 0.004576746336323552
Position 3799: 0.004540989300307578
Position 8421: 0.0043780768986905975
Position 8356: 0.004230364461915666
Position 3517: 0.004070181235203581
Position 8335: 0.0036556723424668795
Position 5611: 0.003316533087936466
Position 2608: 0.0031750658739373707
Position 492: 0.003087554740538651
Position 2340: 0.002960924231395593
Position 10831: 0.0027012743254570767
Position 7026: 0.0024576271533749243
Position 313: 0.0021367682448681004
Position 586: 0.0021204556224715967
Position 6351: 0.001931732149975402
Position 10736: 0.0017101009374568775
Position 11356: 0.0016632374673091336
Position 954: 0.0016468600025726459
Position 2384: 0.0016358125715537062
Position 2222: 0.0012394710926993528
Position 425: 0.0011574348585389168
Position 2678: 0.0009226625067431937
Position 4325: 0.0007980137805828066
Position 9314: 0.0007564401509690308
Position 6024: 0.0006454468511818654
Position 1849: 0.000548950032873934
Position 264: 0.000545126424413529
Position 3748: 0.0004676839618440668
Position 943: 0.00043645371691879647
Position 512: 0.00037508978776107154
Position 612: 0.00031750864892429633
Position 1939: 0.0003134519445505609
Position 9078: 0.0003005604904330318
Position 742: 0.0002879900373211766
Position 703: 0.00027666708261290423
Position 3366: 0.00026586832018558155
Position 10063: 0.00026540159433004586
Position 734: 0.00026114924918321504
Position 2014: 0.0002456540493774278
Position 2415: 0.00023982162016426232
Position 3582: 0.00023125128580141316
Position 2018: 0.00022756653054351
Position 1887: 0.00022029084701234524
Position 445: 0.0001870434947202649
Position 2720: 0.00018596293189800177
Position 1359: 0.00018498519039093707
Position 6686: 0.00018144736105146263
Position 3281: 0.00016539582163970136
Position 1778: 0.0001315171863360212
Position 681: 0.00011142280906212452
Position 766: 0.00010320397019581156
Position 380: 9.996542455687102e-05
Position 862: 9.505606137418832e-05
Position 4701: 9.469072524593217e-05
Position 494: 6.629790265160454e-05
Position 1813: 6.465586005712504e-05
Position 974: 6.060207702278393e-05
Position 1050: 5.559184075121637e-05
Position 543: 5.339513309878056e-05
Position 1046: 4.9074984165658296e-05
Position 4766: 4.764330433788123e-05
Position 6669: 3.714814484158891e-05
Position 161: 3.1333165871471736e-05
Position 5136: 3.079307597787177e-05
Position 2278: 3.068825467551509e-05
Position 401: 2.8296106164907436e-05
Position 2103: 2.5861782938354708e-05
Position 4424: 2.570058532332499e-05
Position 4942: 2.5554547020462408e-05
Position 516: 2.3552646806111323e-05
Position 4261: 2.0383791009727755e-05
Position 2389: 1.960474880544917e-05
Position 462: 1.87062904297598e-05
Position 5390: 1.7499827518552254e-05
Position 110: 1.6638659198631074e-05
Position 2163: 1.6615031502839914e-05
Position 588: 1.4592171030366548e-05
Position 642: 1.0807844561350886e-05
Position 4638: 1.0109081109467114e-05
Position 2403: 9.490843736284062e-06
Position 2620: 8.477679804876163e-06
Position 2630: 8.208668064024609e-06
Position 3697: 7.784306980266714e-06
Position 698: 5.185152891683926e-06
Position 1316: 5.107756306701504e-06
Position 556: 4.009075790908258e-06
Position 566: 3.624502680459144e-06
Position 1933: 3.565491644906098e-06
Position 124: 3.0716505755804443e-06
Position 432: 2.8870014592457073e-06
Position 2122: 2.795965451814316e-06
Position 447: 2.6995905311793487e-06
Position 1413: 2.4906775507098926e-06
Position 373: 1.629018135519163e-06
Position 592: 1.2509807528991047e-06
Position 247: 1.2487125059460688e-06
Position 563: 1.0792425644361008e-06
Position 112: 9.789499210167175e-07
Position 126: 4.967152227835421e-07
Position 775: 2.501704326411227e-07
Position 2038: 2.2993676718761312e-07
Position 2187: 2.0159315444432543e-07
Position 2160: 1.7205240601060512e-07
Position 1101: 1.5708343862482701e-07
Position 182: 1.467537323921151e-07
Position 253: 1.4002302301370387e-07
Position 590: 9.545368822146123e-08
Position 163: 5.0762703139017195e-08
Position 2035: 3.3101987608169147e-08
Position 1865: 3.1099043072729256e-08
Position 789: 2.2358994517157028e-08
Position 84: 1.920200015057346e-08
Position 683: 9.854912007855767e-09
Position 205: 7.854040168828852e-09
Position 326: 4.5916686232472346e-09
Position 210: 3.982890051070038e-09
Position 845: 1.0445577442784788e-09
Position 187: 8.248516167822856e-10
Position 243: 1.1735947148941194e-10
Position 71: 2.1987814153953184e-12
Position 228: 2.713776847571398e-13
Position 219: 1.4482745032754707e-15
