Gene = A330070K13Rik
index = 77
Annotated 5SS: [ 215 3447]
Annotated 3SS: [3304 5504]
SMsplice 5SS: [ 215 3447]
SMsplice 3SS: [3304 5504]
top_k =  1000
Partition function (log Z): -10.579912112383738

Sorted 5' Splice Sites (High to Low Probability):
Position 215: 0.6046751780557688
Position 3447: 0.46151115481258553
Position 286: 0.17378596058584725
Position 107: 0.116145547609645
Position 2406: 0.10461914931692688
Position 2412: 0.09505471722569223
Position 193: 0.07240654752749223
Position 1098: 0.03453237804192222
Position 2845: 0.01756521354195255
Position 5422: 0.01472075059188692
Position 5607: 0.01470065730337033
Position 5410: 0.009585698393439512
Position 4015: 0.005784752512458602
Position 1082: 0.004992636723528044
Position 174: 0.0045930385908670565
Position 334: 0.004516723306772005
Position 2087: 0.0038653280743876114
Position 5173: 0.003518981608573059
Position 1553: 0.00269688341934773
Position 1670: 0.002651981788416887
Position 5100: 0.0017460654846578286
Position 3676: 0.0017087935268045023
Position 2451: 0.0016412345895751707
Position 1376: 0.0015369960544916951
Position 1935: 0.0014139093594540458
Position 3469: 0.0005046631124901687
Position 5603: 0.0005014968698569349
Position 219: 0.00034143116726856847
Position 1992: 0.0003358826748979355
Position 227: 0.00032715296752667405
Position 2208: 0.0002775502444163441
Position 3294: 0.00025160519262635504
Position 3165: 0.00023819032627407492
Position 5616: 0.0001744256522356523
Position 157: 0.00016572812098360982
Position 3413: 0.00016373682423455546
Position 5360: 0.00014164588964359455
Position 849: 0.00013660065466958784
Position 1748: 0.00013320355796982427
Position 1999: 0.000126007426860247
Position 239: 0.00011584548026936615
Position 101: 9.777693076563203e-05
Position 1699: 7.714207659264256e-05
Position 594: 7.712423268640116e-05
Position 146: 7.700067837358853e-05
Position 1796: 7.212268426937877e-05
Position 385: 6.699410749422728e-05
Position 854: 6.61320890701399e-05
Position 2320: 6.290508564228421e-05
Position 1079: 5.440889383953635e-05
Position 804: 3.10342759101551e-05
Position 1653: 1.769161362402736e-05
Position 150: 1.7288398471487297e-05
Position 354: 1.681517823976309e-05
Position 813: 1.6759204564021057e-05
Position 768: 1.531038420314902e-05
Position 550: 1.4502382388729226e-05
Position 1350: 1.4274238527979321e-05
Position 1703: 1.392253080718435e-05
Position 1178: 1.367419622107125e-05
