Gene = Pigyl
index = 821
Annotated 5SS: [68]
Annotated 3SS: [885]
SMsplice 5SS: [68]
SMsplice 3SS: [885]
top_k =  1000
Partition function (log Z): -6.636990149276334

Sorted 5' Splice Sites (High to Low Probability):
Position 68: 0.9456765980165736
Position 805: 0.4237228061413977
Position 1033: 0.03311827732441033
Position 182: 0.03021008343097412
Position 941: 0.014188014992630301
Position 364: 0.009125975967786767
Position 1307: 0.00866200735758657
Position 193: 0.00697342644969655
Position 405: 0.006179892781384328
Position 565: 0.003718895132918772
Position 289: 0.0035475460369895147
Position 922: 0.002772754169565384
Position 477: 0.0024442518322914217
Position 1010: 0.0021548799374759113
Position 169: 0.0016559008158596763
Position 799: 0.001007716967951105
Position 769: 0.00078071561142332
Position 1124: 0.0006348996530045609
Position 411: 0.0005189733318384586
Position 750: 0.0004375833847112705
Position 783: 0.0003162300095470073
Position 1110: 0.0002399023205426508
Position 1293: 0.0002224067538659992
Position 383: 0.00016933688656853809
Position 598: 0.0001334684816220961
Position 390: 0.0001296834129098875
Position 285: 0.0001293657244344391
Position 72: 0.00012362366013602595
Position 1044: 0.00011329447075619516
Position 481: 8.832145622159258e-05
Position 203: 8.772481667503665e-05
Position 14: 7.934043107216335e-05
Position 954: 6.959793711807448e-05
Position 519: 5.1258722793997746e-05
Position 842: 3.746038819623283e-05
Position 212: 3.566317696823329e-05
Position 186: 3.4056336197547876e-05
Position 79: 2.9396059720676593e-05
Position 242: 2.8442025536756886e-05
Position 323: 2.238060391363934e-05
Position 104: 2.057176066639662e-05
Position 500: 1.970288136384096e-05
Position 527: 1.748980018088557e-05
Position 581: 1.747827725690216e-05
Position 1299: 1.7076010414596266e-05
Position 368: 1.6046398874655993e-05
Position 885: 1.5956912865884806e-05
Position 653: 1.4491188266056803e-05
Position 1305: 6.284193555339985e-06
Position 586: 5.183127455936333e-06
Position 357: 5.08814718568465e-06
Position 434: 4.8053733193428705e-06
Position 1311: 4.786511517861738e-06
Position 310: 4.3963680255879666e-06
Position 934: 4.300928329399686e-06
Position 173: 3.885962387195015e-06
Position 142: 3.3130846900777663e-06
Position 428: 3.1569591944115932e-06
Position 417: 3.0626476391448903e-06
Position 539: 2.7764541830312627e-06
Position 1313: 2.29240325369578e-06
Position 456: 2.0973485820188372e-06
Position 217: 1.6619893890548882e-06
Position 277: 1.1584311701464183e-06
Position 609: 8.529710198134314e-07
Position 952: 4.116813649103322e-07
Position 617: 2.6271155996382984e-07
Position 712: 1.7015811777392012e-07
Position 925: 1.335236146769039e-07
Position 715: 8.330004778790434e-08
Position 1157: 4.810092889666946e-08
Position 1191: 4.7953179106710514e-08
Position 6: 5.210153277943625e-09
Position 20: 4.530360224538863e-09
Position 584: 5.187583089375e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 885: 0.6824631729328989
Position 693: 0.33393740286805373
Position 705: 0.17759367159002537
Position 1203: 0.12633629291998558
Position 921: 0.050675533117906076
Position 1435: 0.019467025883262896
Position 662: 0.018973722496602504
Position 934: 0.013364460218362502
Position 1124: 0.012638313322633963
Position 293: 0.009722767777400724
Position 1279: 0.00964549599327834
Position 1447: 0.006366665307960127
Position 913: 0.0038974930497282165
Position 331: 0.003789238772450099
Position 500: 0.0035597483206187175
Position 892: 0.002910396654352097
Position 480: 0.002825206958075843
Position 404: 0.0028209485177422187
Position 1233: 0.0021722143172770297
Position 424: 0.0017957789300817408
Position 970: 0.0016262830735813856
Position 584: 0.0013915204999345643
Position 135: 0.0013204213762257725
Position 737: 0.0013132236132666756
Position 799: 0.0011775884067786342
Position 1229: 0.0008266807536125249
Position 295: 0.0007941782609565207
Position 964: 0.0007843698625989711
Position 1140: 0.0006915184942521062
Position 775: 0.0005748085759549529
Position 1137: 0.0005122528446963559
Position 565: 0.00045354009176361716
Position 1023: 0.00043678674339557073
Position 606: 0.00028095639884468944
Position 593: 0.0002745972858300363
Position 1091: 0.00020531218618716115
Position 1148: 0.00019827376150168574
Position 1144: 0.00019698293916412584
Position 439: 0.00019021029818734687
Position 302: 0.00017538480416551692
Position 1485: 0.00015295550658800202
Position 761: 0.00013684189803524102
Position 1120: 0.0001327588952494483
Position 428: 0.000131684900629424
Position 346: 0.00010823392817638576
Position 1374: 0.00010660353043013765
Position 666: 9.856856155243549e-05
Position 1255: 9.404987833838524e-05
Position 1242: 5.3105665270944176e-05
Position 1110: 5.169538030190694e-05
Position 1264: 4.885206731151092e-05
Position 1364: 4.0824411395928785e-05
Position 727: 3.763088255895646e-05
Position 453: 3.0150645597575617e-05
Position 1354: 3.0057532418595486e-05
Position 463: 2.9797501233621648e-05
Position 756: 2.662623196807018e-05
Position 1346: 2.565435643626254e-05
Position 674: 2.558706099640545e-05
Position 519: 2.4673133504400517e-05
Position 1483: 2.0104974027152285e-05
Position 1402: 1.942113018416716e-05
Position 1261: 1.6797645435166314e-05
Position 443: 1.3255379376519109e-05
Position 1497: 1.2650537316549626e-05
Position 1041: 9.243037750788016e-06
Position 973: 7.368118257870908e-06
Position 740: 5.341659720252976e-06
Position 98: 2.3182239653845752e-07
Position 101: 2.0905294847525102e-08
Position 77: 9.29350563194581e-09
Position 93: 1.3915598899929505e-10
Position 72: 1.3146477138731337e-13
