Gene = Acp5
index = 97
Annotated 5SS: [  99 5849 6181 8037]
Annotated 3SS: [5581 6052 7690 8448]
SMsplice 5SS: [  99 5849 6181 8037]
SMsplice 3SS: [5720 6052 7690 8448]
top_k =  1000
Partition function (log Z): 0.8191968742653972

Sorted 5' Splice Sites (High to Low Probability):
Position 5849: 0.8685318548273795
Position 99: 0.7922193560387171
Position 6181: 0.7798357386970162
Position 3975: 0.6782226308340981
Position 5643: 0.49596005402805043
Position 8037: 0.43567432437813974
Position 3778: 0.3721452415545293
Position 5189: 0.356659127044882
Position 1118: 0.19605900584274782
Position 4211: 0.14968599194218257
Position 41: 0.13643692015791845
Position 6103: 0.12206451576247417
Position 5274: 0.09920039660806125
Position 5884: 0.0981952479957232
Position 5310: 0.08801864803693367
Position 3073: 0.0535362682472391
Position 6754: 0.05278458712070599
Position 7274: 0.042406928707604284
Position 6777: 0.04129446789230787
Position 80: 0.03634805280007879
Position 2411: 0.03009058763047911
Position 3270: 0.02580196055322697
Position 1580: 0.02330080989781467
Position 4122: 0.020142345125266845
Position 3708: 0.01821331407384349
Position 73: 0.01815387073311264
Position 3724: 0.014802034781839345
Position 5875: 0.01355586366556543
Position 308: 0.011141986840604816
Position 1114: 0.008735943363092389
Position 6245: 0.008311728885968836
Position 3682: 0.007571576397594423
Position 117: 0.0072897397184223875
Position 2492: 0.006438350433237908
Position 6453: 0.005594460184437268
Position 3711: 0.003979096672263906
Position 5842: 0.0039312701141145925
Position 5117: 0.003856362304306758
Position 7335: 0.003454203844067893
Position 5485: 0.0028903457513121287
Position 4383: 0.002536768211914331
Position 4076: 0.0024650604782303974
Position 8533: 0.002367834380327601
Position 7452: 0.0022744589466111727
Position 8753: 0.002151911040335317
Position 5868: 0.00203037151476891
Position 4204: 0.0020060535669620926
Position 5889: 0.0017159893840201868
Position 2427: 0.0016711549588396002
Position 7287: 0.0015110412914640732
Position 7392: 0.0011511461773442372
Position 7807: 0.001112215154862358
Position 7735: 0.0010015874234438821
Position 7773: 0.0009680480312645623
Position 2466: 0.0007785767048118441
Position 3459: 0.0007672234462991465
Position 6480: 0.0007578793215345222
Position 1103: 0.0006093369396296911
Position 1519: 0.0005822111987058196
Position 5457: 0.0005777736339688846
Position 7341: 0.0005656431649887852
Position 6263: 0.0005443838709476984
Position 7998: 0.0004778754699174291
Position 6824: 0.00046883819496241585
Position 5947: 0.0003880783562322158
Position 7166: 0.0003759862402211052
Position 7462: 0.00033889500621475796
Position 7982: 0.00029706081788624905
Position 5312: 0.0002890107314977799
Position 7445: 0.0002722242143001682
Position 329: 0.00023929543571777736
Position 5314: 0.00023622363543346033
Position 194: 0.00022447647820112072
Position 8757: 0.00021223756469720829
Position 8724: 0.00019764682856496344
Position 441: 0.00017140516134102996
Position 494: 0.00016812705749666553
Position 530: 0.0001591957414384636
Position 7174: 0.00015644360364827268
Position 5316: 0.00013855711501595123
Position 5318: 0.0001298931848522709
Position 7928: 0.000126898409726528
Position 469: 0.00010975565350289375
Position 262: 9.075667875605856e-05
Position 7294: 8.590724355140583e-05
