Gene = Nfrkb
index = 744
Annotated 5SS: [   79  2858  5973  8639 10306 10946 11602 12453 13138 13856 14512 14812
 15944 16087 16883 17438 19466 23205 23733 24087 24446 25198 28593 32891
 33758]
Annotated 3SS: [ 2684  5770  8510 10130 10843 11527 12367 12956 13746 14384 14745 15863
 16042 16821 17262 19358 23080 23652 23871 24174 24984 27824 32783 33621
 33862]
SMsplice 5SS: [   79  2858  8639 10306 10946 11602 12216 12453 14512 14707 15944 16087
 19243 19466 23205 23733 24087 24446 25198 27907 32891 33758]
SMsplice 3SS: [ 2684  8510 10130 10601 11527 12092 12333 14384 14592 15863 16042 19168
 19358 23080 23652 23871 24174 25090 27824 32783 33621 33862]
top_k =  1000
Partition function (log Z): 41.525485497793426

Sorted 5' Splice Sites (High to Low Probability):
Position 12453: 0.9886178985563248
Position 14512: 0.984414902736195
Position 23733: 0.9795348061747468
Position 19466: 0.9793725495396481
Position 32891: 0.9494217709114157
Position 15944: 0.9429014381112124
Position 27907: 0.9251315608057185
Position 10306: 0.9043370359394274
Position 23205: 0.8925145077662602
Position 33758: 0.8778221968075179
Position 24087: 0.8561651739599198
Position 8639: 0.8381497281641729
Position 79: 0.8163162574540642
Position 12216: 0.7988199030182922
Position 2858: 0.7937537497995388
Position 11602: 0.7907940669572092
Position 5973: 0.6862612102013841
Position 24446: 0.685973866415228
Position 25198: 0.6838079543078311
Position 10946: 0.647046317692262
Position 16883: 0.6305595589774575
Position 14707: 0.6138786214832223
Position 19243: 0.5437543607023573
Position 13856: 0.5254559513978653
Position 5564: 0.5220948900354082
Position 16087: 0.5172674095327611
Position 17438: 0.4306320522945433
Position 26366: 0.33839915280399774
Position 16612: 0.32831116039521524
Position 16107: 0.30965467135769253
Position 20137: 0.2585048919688211
Position 14812: 0.2545234098502055
Position 24308: 0.24461438111100947
Position 1449: 0.24373406292877048
Position 19292: 0.22148124482673454
Position 1119: 0.17617694005902024
Position 28593: 0.17523919328588394
Position 13138: 0.17158617620433161
Position 13215: 0.1653445630328761
Position 23567: 0.16079020561230395
Position 55: 0.15292324397433754
Position 7224: 0.1485361169939424
Position 8194: 0.12827528125139823
Position 5685: 0.12235691009455689
Position 16900: 0.1190817093703338
Position 10710: 0.11851496218450022
Position 28174: 0.11404761017453605
Position 2828: 0.10912569272053863
Position 31214: 0.09944753568855098
Position 21385: 0.09900075448309918
Position 1095: 0.09323737015309741
