Gene = Fpgt
index = 415
Annotated 5SS: [ 105 2013 3292]
Annotated 3SS: [1844 3198 5333]
SMsplice 5SS: [105]
SMsplice 3SS: [1844]
top_k =  1000
Partition function (log Z): -9.406872752461414

Sorted 5' Splice Sites (High to Low Probability):
Position 105: 0.6924686857735538
Position 2013: 0.5563032550065085
Position 5523: 0.43279786557702626
Position 469: 0.31976595340631503
Position 3292: 0.2474432010743083
Position 2765: 0.24103100271699715
Position 5757: 0.0856726650400527
Position 1258: 0.08271083685955898
Position 1653: 0.08230879614683877
Position 5440: 0.06858006819734953
Position 6591: 0.06628150640765247
Position 3759: 0.03260870214355474
Position 2817: 0.022789775974423217
Position 1405: 0.019725043942432217
Position 3273: 0.01857050471493285
Position 6973: 0.015438390329884127
Position 289: 0.013829529637362418
Position 493: 0.011650464789722367
Position 5788: 0.010876219064698118
Position 1129: 0.008764055991853597
Position 2030: 0.006701060237112639
Position 3412: 0.005441192711039525
Position 3472: 0.004807862632525862
Position 1629: 0.003278197984815189
Position 1744: 0.002969910987947164
Position 523: 0.0029509694793371003
Position 204: 0.002750130147511055
Position 1970: 0.002508588398967841
Position 15: 0.0024337382829243215
Position 4633: 0.0018816025886547864
Position 998: 0.0018075241879267226
Position 6629: 0.0016613106473430043
Position 7019: 0.0016581017525754056
Position 480: 0.0015975978507352395
Position 195: 0.0013016712878779525
Position 178: 0.0012469148250070744
Position 1691: 0.001104633892552777
Position 2435: 0.0010792294403410977
Position 311: 0.0009668598228160114
Position 1695: 0.0009466703260154274
Position 333: 0.0006290219745281623
Position 1699: 0.0005881493335911824
Position 1253: 0.0005850493023092054
Position 1930: 0.000524068351271083
Position 2775: 0.0004412921526006076
Position 1982: 0.0004180842600414391
Position 1683: 0.0003987278936029971
Position 1790: 0.0003840879201817128
Position 255: 0.0003648246061498508
Position 802: 0.00033968283252379464
Position 2626: 0.00023932575287358856
Position 1018: 0.00018203964423398915
Position 2556: 0.00017881921190275206
Position 3131: 0.00017185628011848178
Position 425: 0.00014907667942070057
Position 123: 0.00013783457969795845
Position 3005: 0.00011037110979652317
