Gene = Apobr
index = 129
Annotated 5SS: [ 127 2870 3221]
Annotated 3SS: [ 433 2954 3314]
SMsplice 5SS: [127]
SMsplice 3SS: [433]
top_k =  1000
Partition function (log Z): -7.278115509242701

Sorted 5' Splice Sites (High to Low Probability):
Position 127: 0.9862546616571022
Position 524: 0.3484166146252336
Position 563: 0.321910008659639
Position 3221: 0.15391633766780893
Position 2870: 0.12644945950371828
Position 3250: 0.07273989997598121
Position 539: 0.034650100433293744
Position 1703: 0.024414573059004876
Position 2047: 0.0196542871255697
Position 1745: 0.013141133997236251
Position 648: 0.009792943822501099
Position 3217: 0.008911702563929685
Position 591: 0.0085730198158217
Position 2039: 0.006905568693143161
Position 1532: 0.005802248357352596
Position 89: 0.004603042182414321
Position 38: 0.004319505411509079
Position 2234: 0.0038447083107930927
Position 2835: 0.0032275294721009875
Position 1943: 0.0024703169633149826
Position 902: 0.0021652972239976946
Position 3117: 0.0020469230975256347
Position 837: 0.0018226608134039677
Position 444: 0.0016882800147853389
Position 286: 0.0016751661474795417
Position 318: 0.0014939616961259963
Position 332: 0.001487790733521007
Position 1514: 0.0013128859744670003
Position 1718: 0.0013052951053876478
Position 599: 0.0010041747042544517
Position 2483: 0.0009499482261727719
Position 3725: 0.0009201652285371845
Position 3079: 0.0006188690702402707
Position 582: 0.0006111606547191944
Position 2465: 0.0005879082604645771
Position 639: 0.0005871384874893946
Position 388: 0.0005665684005501362
Position 284: 0.0004549457120157904
Position 3315: 0.00041031996896043356
Position 229: 0.00039778459801666693
Position 169: 0.0003941996164126032
Position 19: 0.00036062256614911305
Position 2131: 0.0003515752386195632
Position 15: 0.00030542867450614707
Position 464: 0.0002594098486772453
Position 756: 0.000224173372634562
Position 3077: 0.00021927190346913733
Position 905: 0.000216931160471508
Position 312: 0.00020997887126721708
Position 2711: 0.0002039118456938725
Position 32: 0.00019350994852475944
Position 542: 0.00019317808918386598
Position 1712: 0.000183639715928648
Position 485: 0.00017749976323088096
Position 371: 0.00017676566067669234
Position 3554: 0.000171973408092885
Position 362: 0.00014555200699621092
Position 3424: 0.00013528790288904824
Position 664: 0.00012934655562555099
Position 3163: 0.0001250206191596213
Position 2916: 0.00010811278614954475
Position 2256: 0.00010080513301306735
Position 172: 3.2768472713926124e-05
Position 369: 2.4097066730515217e-05
Position 261: 1.934428485888336e-05
Position 250: 1.5905203147033783e-05
Position 2552: 1.4709687863542184e-05
Position 2792: 1.2251834052598859e-05
Position 807: 1.17504022505866e-05
Position 2583: 9.661863818833523e-06
Position 1119: 6.029340128829227e-06
Position 385: 4.261942579179791e-06
Position 3448: 3.7601758123473745e-06
Position 3599: 3.7878975199601616e-07
Position 404: 2.691540257931943e-07
Position 715: 1.2113438515312992e-07
Position 448: 1.2089449951386223e-08
Position 452: 5.041666547157054e-12
Position 454: 3.919126049656624e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 433: 0.8801361185776785
Position 3314: 0.45539398407699894
Position 2954: 0.3833746996202358
Position 3019: 0.08055395724051916
Position 2756: 0.07922907724369425
Position 1580: 0.03238714901396729
Position 3140: 0.029152337457758443
