Gene = E130311K13Rik
index = 354
Annotated 5SS: [ 216 2209 4139 9272]
Annotated 3SS: [ 2148  3990  9110 13733]
SMsplice 5SS: [ 533 2209 4139 9272]
SMsplice 3SS: [ 2148  3990  9110 13733]
top_k =  1000
Partition function (log Z): -8.253374083228488

Sorted 5' Splice Sites (High to Low Probability):
Position 4139: 0.9763745949596969
Position 2209: 0.9001406341870426
Position 533: 0.6072789984099067
Position 216: 0.32873291960257894
Position 2223: 0.0749584931147875
Position 10617: 0.06974812351874492
Position 3418: 0.058664249290947566
Position 1119: 0.05135304947801684
Position 5271: 0.03570731259250563
Position 2544: 0.03346916483814246
Position 3503: 0.02474790714919091
Position 13385: 0.023781633570032476
Position 1550: 0.02175810595307315
Position 9168: 0.02145100863561078
Position 6704: 0.02079933834319382
Position 4954: 0.015483430901340774
Position 1074: 0.01168894923973321
Position 234: 0.01138221506155717
Position 3510: 0.00954466374082235
Position 4143: 0.00895125477537416
Position 168: 0.008159627121094465
Position 165: 0.007582965216862229
Position 3556: 0.006525932975525262
Position 8071: 0.006015986800225338
Position 8496: 0.005804172175646038
Position 562: 0.005606110122682704
Position 893: 0.00523463737060461
Position 3486: 0.004872171613880707
Position 1966: 0.004643443171780722
Position 9276: 0.004580325191243373
Position 3465: 0.004579485437364574
Position 1526: 0.00450928026908771
Position 10294: 0.004185564121518213
Position 9173: 0.0038217689592644987
Position 10491: 0.003717959334578415
Position 3460: 0.0036577108248474445
Position 9742: 0.003650328279242677
Position 366: 0.0036424249281388397
Position 1496: 0.002983718235520416
Position 3547: 0.002949593835247741
Position 1171: 0.002838989886553139
Position 1536: 0.0028076313822066956
Position 521: 0.002767975471135406
Position 1047: 0.002260917800794529
Position 3438: 0.0021213401464298355
Position 1836: 0.002099424358022633
Position 14064: 0.0020571680087927997
Position 177: 0.002027415517856191
Position 979: 0.0019504710011696799
Position 3241: 0.0018215603881103107
Position 3255: 0.0015551732069612615
Position 3196: 0.0015170382493664041
Position 2050: 0.0013570012328257355
Position 8435: 0.0011772388194246886
Position 867: 0.0011743713424361565
Position 3132: 0.0011733500266776888
Position 861: 0.0009200153954925781
Position 210: 0.0008387115293369438
Position 363: 0.0008367931936438747
Position 3524: 0.0008073964150575365
Position 4948: 0.0007722125552058445
Position 8251: 0.0007474802046962188
Position 864: 0.000657746177776007
Position 870: 0.0006310525464888922
Position 128: 0.0005903541557025154
Position 3431: 0.000529209158409357
Position 434: 0.0005194887326556339
Position 1396: 0.0005044532158362025
Position 1041: 0.00047794775353856097
