Gene = Hirip3
index = 540
Annotated 5SS: [ 545  749  955 2279 2514 2690]
Annotated 3SS: [ 627  845 1196 2347 2590 2761]
SMsplice 5SS: [ 545  749  955 1392 2690]
SMsplice 3SS: [ 627  845 1196 2590 2761]
top_k =  1000
Partition function (log Z): 6.056076129323323

Sorted 5' Splice Sites (High to Low Probability):
Position 2690: 0.9890335493829362
Position 749: 0.978426509495208
Position 955: 0.9451169216488222
Position 1392: 0.8597400409622974
Position 545: 0.6532036020116749
Position 17: 0.4288097784515776
Position 2971: 0.17602185151545263
Position 2279: 0.14114989139972792
Position 2296: 0.09105515575520398
Position 2514: 0.07031285006904957
Position 2211: 0.05320829841331307
Position 2912: 0.03357383467317182
Position 119: 0.031871791187614365
Position 324: 0.031095527657965156
Position 2271: 0.02818689043978491
Position 1059: 0.0267841661056023
Position 932: 0.020466459362613237
Position 1442: 0.020205559614685776
Position 1502: 0.01765962673596807
Position 560: 0.01759196715242586
Position 1359: 0.013786045846791396
Position 782: 0.007523262405012307
Position 751: 0.0059329831394322775
Position 403: 0.005209891718670409
Position 470: 0.00491816950756477
Position 1295: 0.0036500938949679596
Position 27: 0.002909395060471168
Position 69: 0.0026932293114719126
Position 2891: 0.0026097214938267488
Position 2256: 0.0018408035878889706
Position 138: 0.001432622933690218
Position 2906: 0.0010975991982216692
Position 2475: 0.0010153406966923219
Position 3018: 0.000793406414760921
Position 371: 0.0007535539696046597
Position 2684: 0.000664459340943887
Position 2880: 0.0006576911011764216
Position 1397: 0.0006488340035151426
Position 1475: 0.0005796463631041263
Position 262: 0.0005677427144525861
Position 896: 0.0005292979133650401
Position 2932: 0.0004927028893678398
Position 755: 0.00042043401715470975
Position 722: 0.0003440938928156257
Position 2941: 0.00033252586669171
Position 554: 0.0002839174414458499
Position 2084: 0.00027491630363854665
Position 175: 0.00027134572588879036
Position 417: 0.0002571236835670038
Position 950: 0.00024747906674611985
Position 2477: 0.0002201099373121964
Position 2300: 0.00020867490337224328
Position 2934: 0.00018911210134171707
Position 123: 0.0001748895460544002
Position 913: 0.00014784039145844004
Position 2955: 0.0001472052652010676
Position 2523: 0.00013706067547194137
Position 1556: 0.00012833868931066985
Position 671: 0.00012186173602365444
Position 76: 9.419208192541737e-05
Position 888: 9.340867349015137e-05
Position 1269: 8.957963549065853e-05
Position 341: 8.392024579711612e-05
Position 1382: 8.382814124434586e-05
Position 2665: 7.242079315671998e-05
Position 1572: 5.620794089907153e-05
Position 1027: 5.354473270020915e-05
Position 1524: 4.985265167687018e-05
Position 1937: 4.5189726208218896e-05
Position 1124: 4.4147200840004034e-05
Position 1092: 3.791670528905702e-05
Position 347: 3.5271798840227415e-05
Position 2650: 3.258472003900271e-05
Position 212: 3.153506562566471e-05
Position 981: 2.9505929336940627e-05
Position 973: 2.9073650875387208e-05
Position 985: 2.7380128102749375e-05
Position 278: 2.6440450521593794e-05
Position 856: 2.427032094283006e-05
Position 3044: 2.388723996638809e-05
Position 959: 2.3674434892653984e-05
Position 334: 1.789324912220794e-05
Position 6: 1.4546625899497144e-05
Position 2727: 1.2221212377159154e-05
Position 1003: 1.1692593690163357e-05
Position 3296: 9.717277513268127e-06
Position 590: 7.735335746493371e-06
Position 675: 6.471930753241375e-06
Position 265: 5.849933007904566e-06
Position 1063: 5.5906754406787855e-06
Position 3004: 4.575268106547183e-06
Position 3071: 3.910695998659198e-06
Position 568: 3.6721826141628997e-06
Position 3140: 3.5353173842327602e-06
Position 574: 3.3134196180646436e-06
Position 709: 1.646322293850082e-06
Position 1089: 1.0499439042760352e-06
Position 786: 9.227853869357966e-07
Position 577: 5.003386342332291e-07
Position 797: 4.819634008987724e-07
Position 647: 2.270416189682398e-07
Position 821: 1.3437398085495606e-07
Position 2612: 1.0878512804091806e-07
Position 816: 7.19640190704164e-08
Position 632: 1.0029049108642493e-09
Position 616: 5.647051516210168e-10
Position 3065: 1.3504699726061383e-10
Position 3136: 1.2851190593425737e-10
Position 2975: 6.236616322592884e-11
Position 624: 9.591536946772548e-13
Position 1788: 7.851813835390145e-13
Position 606: 1.117340918147212e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 845: 0.988267981061722
Position 2590: 0.965898138136214
Position 627: 0.9259370354399887
Position 2761: 0.9131238461165584
Position 1196: 0.8814689759295712
Position 2189: 0.13288639569510968
Position 3121: 0.1280835345217459
Position 347: 0.08542742051541005
Position 3237: 0.07302077741041647
Position 2797: 0.055891957206512265
Position 2124: 0.05142361410412777
Position 655: 0.04739531355596923
Position 2347: 0.045331779850493345
Position 388: 0.03547196168031925
Position 2146: 0.0332980757303758
Position 2130: 0.022887045607537848
Position 191: 0.022119846959371355
Position 433: 0.02109020332121079
Position 2102: 0.01790737755134379
Position 2610: 0.016151669810233818
Position 2098: 0.015259767312556108
Position 265: 0.014831085809328518
Position 2210: 0.01297002996206614
Position 1218: 0.012713444083034152
Position 2128: 0.010231447556936139
Position 2249: 0.008244633101199815
Position 3316: 0.00796214208807456
Position 3053: 0.007358388350040119
Position 2388: 0.007171494040423766
Position 1122: 0.006691320329247009
Position 1223: 0.006602678382148401
Position 246: 0.006450367287889888
Position 2454: 0.006439400751680023
Position 271: 0.005849601372946744
Position 3200: 0.005700531757796965
Position 3089: 0.005368504375359395
Position 2148: 0.0045240632092389795
Position 3269: 0.0043657244914988985
Position 2815: 0.004185045299518522
Position 2366: 0.0036693782051809903
Position 1251: 0.003533737536977845
Position 3280: 0.0034448336390358867
Position 2378: 0.0032488005407196145
Position 2607: 0.0031391377563057222
Position 2075: 0.0023908600308183677
Position 2368: 0.0022421278550878625
Position 913: 0.0021754968789338613
Position 163: 0.001987357532126049
Position 85: 0.001943759727359395
Position 2631: 0.0017291829140729186
Position 1203: 0.0016976979791493943
Position 362: 0.001507735702240802
Position 1149: 0.0014659908216389985
Position 2164: 0.0013744804018041628
Position 3336: 0.0010682837199547858
Position 2117: 0.0010620767250190972
Position 2774: 0.0010002588558171532
Position 220: 0.0009667294259148294
Position 449: 0.0008976881588966662
Position 1040: 0.0008919261640823148
Position 2541: 0.0008119880526777616
Position 2625: 0.0007805130671000737
Position 862: 0.0007777544922628464
Position 2155: 0.000766348876874529
Position 2845: 0.000766192455070096
Position 2119: 0.0007623537797665826
Position 1015: 0.0006257929423096711
Position 2172: 0.0006026099088144861
Position 2434: 0.0005957078076893648
Position 2565: 0.0005936296511607533
Position 1232: 0.0005663807792677627
Position 304: 0.0005465813232197533
Position 312: 0.0004753755765403345
Position 295: 0.00045821663844160157
Position 698: 0.0004505344186423073
Position 2255: 0.00043551722701614645
Position 1910: 0.0004162046013209179
Position 319: 0.00039979467055823874
Position 2906: 0.00038657237907730954
Position 2848: 0.0003741244868826887
Position 994: 0.00035777202339896665
Position 1930: 0.0003505739955249443
Position 2067: 0.0003443513682109618
Position 2395: 0.00034429141646559474
Position 2437: 0.00032077001595487995
Position 2903: 0.0003053370397208718
Position 2408: 0.0003008371079494933
Position 1246: 0.00029225212527227357
Position 2270: 0.00028929914479952954
Position 2314: 0.00028624453968353636
Position 2964: 0.00027668824679928146
Position 2122: 0.0002689474374109315
Position 1264: 0.00024816825353769003
Position 2484: 0.00024144887418559754
Position 1391: 0.00024115400628826956
Position 2875: 0.00021437784344692957
Position 1278: 0.00021388976784347932
Position 1177: 0.00020743222445799683
Position 1127: 0.00020613250577562896
Position 456: 0.00020018954732311834
Position 703: 0.00019841542305691894
Position 1059: 0.00019239378455549418
Position 2709: 0.00018505036282838466
Position 2196: 0.0001685672417294787
Position 948: 0.00016838481688493995
Position 2803: 0.00016051527763101322
Position 2084: 0.00015372903123083597
Position 119: 0.00014070103602129743
Position 867: 0.00013534444573719054
Position 111: 0.00013480029811951548
Position 3239: 0.00013272825012869234
Position 3248: 0.00011540585485197297
Position 441: 0.00010204732901659882
Position 1020: 0.00010090987890212062
Position 3370: 9.916826254245076e-05
Position 2201: 8.854172876749926e-05
Position 517: 8.785810015691923e-05
Position 1386: 8.729755870321108e-05
Position 1877: 8.371016421345129e-05
Position 1165: 7.385538021882404e-05
Position 100: 7.296689302579079e-05
Position 3077: 7.164784930914714e-05
Position 334: 7.117907878533725e-05
Position 2575: 6.636790009922422e-05
Position 2820: 5.8722120035027766e-05
Position 2329: 5.8325277018749914e-05
Position 2464: 5.639028965889822e-05
Position 2012: 5.2899636313993625e-05
Position 276: 5.272029938012242e-05
Position 2997: 5.2574842520980406e-05
Position 3290: 5.2391179364099406e-05
Position 3207: 4.6122769836436586e-05
Position 2818: 4.6032598131446264e-05
Position 1275: 4.374898597450822e-05
Position 2005: 3.926608404764559e-05
Position 2077: 3.8188680162606807e-05
Position 594: 3.718929912413724e-05
Position 2921: 3.461648260110889e-05
Position 2856: 3.342665614755646e-05
Position 1936: 3.312383175288555e-05
Position 1893: 3.216522462966298e-05
Position 544: 3.174295111750954e-05
Position 1932: 2.8424824448282025e-05
Position 2966: 2.5386409137403177e-05
Position 1156: 2.4361998324459595e-05
Position 700: 2.4115141138342538e-05
Position 278: 2.3700043791390683e-05
Position 1086: 2.3409212896563208e-05
Position 492: 2.1966006233858196e-05
Position 323: 2.0133477803262747e-05
Position 1969: 1.9900631149009405e-05
Position 2918: 1.957764202048714e-05
Position 3004: 1.8457490453388195e-05
Position 1411: 1.8293265759374792e-05
Position 1743: 1.6952658454284484e-05
Position 888: 1.6686769607580544e-05
Position 2993: 1.6528071647834294e-05
Position 2684: 1.632477512592098e-05
Position 2681: 1.6159047254864337e-05
Position 2853: 1.5941570736579534e-05
Position 1133: 1.5810363783276515e-05
Position 2079: 1.5259116413103028e-05
Position 1295: 1.4980427204586755e-05
Position 587: 1.4418606684454317e-05
Position 3357: 1.3462619873592149e-05
Position 1261: 1.3105341625696213e-05
Position 2048: 1.2981168669434725e-05
Position 2850: 1.2667056198080663e-05
Position 872: 1.2661354620646561e-05
Position 1288: 1.2580942240434563e-05
Position 706: 1.1628247448626533e-05
Position 1896: 1.1599763113542092e-05
Position 893: 1.0835573161519926e-05
Position 1441: 1.0704449381371536e-05
Position 1124: 1.0430997747022862e-05
Position 1280: 1.0209875129782704e-05
Position 3381: 1.0151709250429829e-05
Position 1992: 9.724970470949926e-06
Position 876: 9.62712716978123e-06
Position 2035: 8.793361446912453e-06
Position 733: 6.967788731164231e-06
Position 950: 6.619314632807646e-06
Position 895: 5.9617844778662925e-06
Position 497: 5.094283908502922e-06
Position 1359: 4.848158758609098e-06
Position 3098: 4.837733071715683e-06
Position 3210: 4.33216630795922e-06
Position 923: 4.258746699718434e-06
Position 1339: 3.4565934199392156e-06
Position 1414: 3.239211218136963e-06
Position 954: 3.1830340089392147e-06
Position 3346: 2.727131652553469e-06
Position 1325: 2.6208323701193066e-06
Position 1900: 2.328787704263247e-06
Position 1907: 2.25799811914084e-06
Position 1962: 2.096200182929513e-06
Position 806: 1.721689779955464e-06
Position 582: 1.619236060358311e-06
Position 127: 1.5474500922233207e-06
Position 1373: 1.421690851559817e-06
Position 1351: 1.3897954357144182e-06
Position 1924: 1.3593328113643721e-06
Position 926: 1.3170544337512823e-06
Position 1948: 1.2205572678528852e-06
Position 1486: 1.1461437837404392e-06
Position 528: 1.0884919223671862e-06
Position 1307: 1.0805646488379394e-06
Position 2866: 9.68941473778371e-07
