Gene = Slc51b
index = 984
Annotated 5SS: [ 209 7789 9032]
Annotated 3SS: [7667 8940 9953]
SMsplice 5SS: [ 209 7803 9032]
SMsplice 3SS: [7667 8940 9953]
top_k =  1000
Partition function (log Z): -5.151188661241011

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9694786223220332
Position 9032: 0.8225261225882095
Position 7803: 0.49647942667172434
Position 7789: 0.39978131966564473
Position 422: 0.32728890114382947
Position 5129: 0.3100737169716138
Position 1852: 0.21292909949166852
Position 7564: 0.10418308141843291
Position 3149: 0.03922908507736065
Position 9380: 0.032653437253034795
Position 3878: 0.03039186050071414
Position 7793: 0.022328259237817623
Position 2551: 0.021431912155419633
Position 3663: 0.021363880971751292
Position 619: 0.02060795849185708
Position 1867: 0.01663445983107283
Position 3986: 0.015612948342485519
Position 9580: 0.015227946327069024
Position 411: 0.015094320148016748
Position 2997: 0.012243815899157634
Position 10039: 0.012044158836380704
Position 3441: 0.010019445425718605
Position 8778: 0.007724246527700169
Position 7631: 0.007683137913227209
Position 7875: 0.0071718659167984925
Position 9230: 0.006713222647271418
Position 7769: 0.006437869256186032
Position 7737: 0.005306631756838887
Position 5927: 0.004602700269854441
Position 9063: 0.0034934244555043076
Position 9359: 0.003490360446735479
Position 9115: 0.002902324682274409
Position 9426: 0.0026487363651442972
Position 5936: 0.002442396385708379
Position 6282: 0.0023822429205840336
Position 8336: 0.002281421831884411
Position 3030: 0.0019369032517519249
Position 3591: 0.0018132469987315397
Position 37: 0.0016346705753253188
Position 9481: 0.0013358839920433554
Position 2908: 0.0011537985120785167
Position 9543: 0.0011209973423786334
Position 1236: 0.001024787256366358
Position 5912: 0.0009890669107628755
Position 3232: 0.0009370482406785429
Position 9566: 0.0008332519461293204
Position 1524: 0.0007059269513669532
Position 9249: 0.0006777450337174942
Position 134: 0.000670793408021154
Position 9048: 0.0006620242139580796
Position 9043: 0.0006062779272717115
Position 202: 0.000546438023711758
Position 88: 0.0005375811083204955
Position 603: 0.00044428635305316104
Position 1242: 0.00038589529603067646
Position 213: 0.0003682401344243377
Position 234: 0.00033181745965471125
Position 9834: 0.0003251636527026449
Position 9050: 0.0002972575423936568
Position 639: 0.0002627792523053351
Position 2564: 0.0002595823287491874
Position 2560: 0.00022972806415762217
Position 659: 0.00022700339245019705
Position 8280: 0.00020944935484978
Position 7847: 0.00020855488968094364
Position 517: 0.00018190409422639542
Position 1351: 0.00017134413460065962
Position 947: 0.00016456231121282712
Position 79: 0.00015184520097933762
Position 1121: 0.00014536935547753614
Position 1440: 0.00012372149162645133
Position 77: 0.00010338261186254386
Position 5016: 7.393004856443277e-05
Position 1844: 6.451596975997332e-05
Position 92: 4.9390336051087754e-05
