Gene = Myocos
index = 728
Annotated 5SS: [ 174 1184 3762]
Annotated 3SS: [ 1050  3621 10682]
SMsplice 5SS: [ 174 1184 1401 1719]
SMsplice 3SS: [1050 1308 1563 3621]
top_k =  1000
Partition function (log Z): -3.731287147973752

Sorted 5' Splice Sites (High to Low Probability):
Position 174: 0.9255383489240975
Position 1719: 0.8340481736972616
Position 1184: 0.7227900078143127
Position 9286: 0.57457528570553
Position 1401: 0.563520892193728
Position 4306: 0.4281673774208943
Position 7175: 0.4277666020325419
Position 1215: 0.23547951905142725
Position 3678: 0.20750331445418863
Position 6074: 0.20348358974690423
Position 1430: 0.1738115963820702
Position 3766: 0.1426358580729716
Position 502: 0.1302338427405978
Position 7514: 0.1148312605159011
Position 1388: 0.11444189169896857
Position 3654: 0.11066546836203282
Position 5295: 0.10937363271853662
Position 3980: 0.09248147622279437
Position 8695: 0.07968768201957521
Position 4004: 0.06867755148469958
Position 6928: 0.061441268303207605
Position 5822: 0.04897416255983503
Position 4031: 0.04501729098495113
Position 559: 0.04119566805462934
Position 1769: 0.038817331912712034
Position 936: 0.035621612542047536
Position 9303: 0.03005345215177186
Position 1394: 0.029185381832991894
Position 3716: 0.027385623195861426
Position 4635: 0.023670413763377286
Position 7405: 0.01916404442040761
Position 92: 0.01762992565875585
Position 3189: 0.01358242275447914
Position 352: 0.011667632310809641
Position 4043: 0.00881230756076732
Position 444: 0.008253438417261921
Position 107: 0.006667532677090309
Position 3789: 0.0066648780594791585
Position 551: 0.005986229109672156
Position 1162: 0.005940248529624068
Position 7390: 0.0057488424077425234
Position 9965: 0.005164965356810222
Position 3124: 0.004711885487342974
Position 1051: 0.004678212292993863
Position 751: 0.003444298218733526
Position 1723: 0.003433542837258016
Position 2273: 0.0033684739987485737
Position 904: 0.0032323260103589596
Position 88: 0.0030093696494128195
Position 381: 0.002869495047386854
Position 1194: 0.002199623459807359
Position 908: 0.0020739825912633025
Position 413: 0.0020363997582008883
Position 3691: 0.0016133989920896928
Position 6385: 0.0014450117805930888
Position 888: 0.00120339677007575
Position 818: 0.0011391973432741233
Position 3173: 0.0010884590021456757
Position 1405: 0.0008243231198883543
Position 3780: 0.0007730189890368137
Position 692: 0.0007245773318405737
Position 613: 0.00046753014166354143
Position 2029: 0.0004674293245255349
Position 1434: 0.00044936956433994134
Position 983: 0.0004336065338807066
Position 1143: 0.0002981007761851767
Position 1425: 0.00025128029124774347
Position 1348: 0.00023089688132285852
Position 1611: 0.00022864433652055506
Position 22: 0.00019522767679984733
Position 800: 0.00017221846391313815
Position 2904: 0.0001671057637074362
Position 209: 0.00015188900074043858
Position 39: 0.0001508400443328084
Position 1418: 0.00014435276449830862
Position 368: 0.00013854628991792539
Position 297: 0.00012661095769885905
Position 230: 0.00010431411730773041
Position 1058: 9.14889455269027e-05
Position 588: 8.817769659278441e-05
Position 2320: 7.988678632419606e-05
Position 2498: 7.701256840206484e-05
Position 189: 7.434487518672331e-05
Position 869: 7.378547893592653e-05
Position 1444: 5.79424191012387e-05
Position 2536: 5.6831548659645553e-05
Position 407: 4.8801610961202375e-05
Position 3177: 4.463896230141497e-05
Position 596: 4.3444433993746213e-05
Position 2074: 4.158412294593849e-05
Position 2907: 3.8200343284493354e-05
Position 43: 3.6143417114482815e-05
Position 3474: 3.571289404219035e-05
Position 244: 3.1845197005420194e-05
Position 302: 2.84741703416984e-05
Position 178: 2.8043739159019872e-05
Position 728: 2.7573471999902933e-05
Position 872: 2.6257270442555946e-05
Position 3001: 2.4456617848696166e-05
Position 295: 2.2905788125832342e-05
Position 2087: 2.185753865051371e-05
Position 1084: 2.1244345928162528e-05
Position 185: 1.9802077315375247e-05
Position 2397: 1.8425733446392478e-05
Position 488: 1.8229219738778112e-05
Position 83: 1.8089055999650093e-05
Position 1751: 1.6833873148328738e-05
Position 3242: 1.6659734450008326e-05
Position 133: 1.6034204532298165e-05
Position 510: 1.454020873364112e-05
Position 2367: 1.2956741112986836e-05
Position 966: 1.2573763713249294e-05
Position 285: 1.0564182698543747e-05
Position 1095: 8.018460664152701e-06
Position 273: 7.79897193681975e-06
Position 448: 7.3459072684004195e-06
Position 611: 7.32256398857501e-06
Position 271: 6.555274407178199e-06
Position 3107: 6.222752423752481e-06
Position 2583: 6.157292881395952e-06
Position 2081: 6.084559705088458e-06
Position 259: 5.50352442058436e-06
Position 363: 4.762973253720266e-06
Position 527: 3.988103867461322e-06
Position 1992: 3.862235367431092e-06
Position 50: 1.6430351423462916e-06
Position 1210: 1.344460770397774e-06
Position 58: 1.220832880170338e-06
Position 135: 4.4844007420522085e-07
Position 574: 4.284846562919974e-07
Position 355: 3.9205161218602616e-07
Position 311: 2.845375741098315e-07
Position 590: 2.5901024509988597e-07
Position 567: 2.544889907897772e-07
Position 3645: 2.100522583040911e-07
Position 491: 5.4861568574094506e-08
Position 432: 3.696712909197652e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1050: 0.910301001030772
Position 1308: 0.8766218234052159
Position 9169: 0.6172820140204657
Position 1563: 0.6020470968297955
Position 3621: 0.5570474635845472
Position 7037: 0.3733896647738462
Position 3886: 0.2004200550539039
Position 5731: 0.1737032124608581
Position 4175: 0.16005857390360861
Position 1602: 0.14149556818403575
Position 9177: 0.13380649763509297
Position 9488: 0.12994167007899832
Position 4160: 0.10545085460809729
Position 9360: 0.10256591428568379
Position 320: 0.09577930383107151
Position 7286: 0.09266607134041648
