Gene = Hmbs
index = 542
Annotated 5SS: [ 219 2211 2603 3014 3153 3541 4581 4751 6314 6577 6873 7111 7303]
Annotated 3SS: [2156 2529 2963 3096 3462 4502 4674 6199 6537 6752 7056 7215 7382]
SMsplice 5SS: [ 219 2211 2603 3014 3153 3541 4581 6314 6577 6873 7303]
SMsplice 3SS: [1996 2529 2963 3096 3462 4502 6186 6537 6752 7215 7382]
top_k =  1000
Partition function (log Z): 15.055578708064672

Sorted 5' Splice Sites (High to Low Probability):
Position 4581: 0.9944321408981264
Position 219: 0.9571794207405468
Position 6314: 0.933849715169669
Position 3541: 0.8999753143147001
Position 2603: 0.854642259533137
Position 6873: 0.846380056813459
Position 3153: 0.8269115617042394
Position 2211: 0.8223928801565253
Position 3014: 0.763199480331631
Position 6577: 0.6622221793280894
Position 7303: 0.5375471634742258
Position 7111: 0.4743421226054671
Position 5182: 0.11613759056669833
Position 6656: 0.11276392718738622
Position 2008: 0.09972258289871168
Position 7548: 0.09115331534653955
Position 7560: 0.08098216000526202
Position 4751: 0.07395265147442659
Position 4819: 0.07013318595818559
Position 2200: 0.058614273008754256
Position 1437: 0.05690521475440116
Position 6305: 0.05237612328442085
Position 6690: 0.05132628393538881
Position 193: 0.04055806522209729
Position 3230: 0.04008056200432416
Position 2700: 0.03914277878105642
Position 6804: 0.03791312555897151
Position 3176: 0.016881141372996587
Position 7291: 0.013768209807356562
Position 1298: 0.012924423169822253
Position 4842: 0.010890386245060665
Position 3410: 0.010866741635583698
Position 3157: 0.007820472131487573
Position 726: 0.00622330233279025
Position 7564: 0.0052907754105393535
Position 636: 0.004790397773387097
Position 2629: 0.004762186545247565
Position 4807: 0.004716581667821597
Position 3904: 0.004273943032338728
Position 4179: 0.004040215840849998
Position 6581: 0.003328363132221186
Position 849: 0.003209682851146789
Position 1487: 0.002952748865505059
Position 3200: 0.002931071820265847
Position 2816: 0.002908434409398555
Position 6076: 0.002614627833865786
Position 3397: 0.002388285468411289
Position 6696: 0.002088221200146299
Position 6561: 0.0018194942877871158
Position 2426: 0.00171203037873088
Position 3325: 0.001691326209323649
Position 2837: 0.0016107509022992668
Position 617: 0.0014814031192757892
Position 4394: 0.0014385246261519034
Position 898: 0.001360535000207782
Position 1315: 0.0012023892545646412
Position 3349: 0.0011230385459552608
Position 234: 0.0011199502208527265
