Gene = Flad1
index = 413
Annotated 5SS: [  80  706 3442 4455 6009 6283 8468]
Annotated 3SS: [ 482 2696 4306 5909 6092 8393 8561]
SMsplice 5SS: [  80 4455 8468]
SMsplice 3SS: [4306 8393 8561]
top_k =  1000
Partition function (log Z): -6.328971666377708

Sorted 5' Splice Sites (High to Low Probability):
Position 4455: 0.8677789432732889
Position 8468: 0.5893480817515119
Position 3442: 0.4317409887953848
Position 80: 0.41529207751001485
Position 9464: 0.3283179152065751
Position 706: 0.3261076316239349
Position 6009: 0.30246931459182497
Position 303: 0.2428673388722483
Position 118: 0.19814282432902536
Position 6283: 0.14328346445996307
Position 822: 0.12170557008476118
Position 8694: 0.08536602132467276
Position 5755: 0.07193801269818781
Position 6093: 0.07075324427172741
Position 3412: 0.05474271414944575
Position 2760: 0.054724679926875
Position 1007: 0.04705631319957651
Position 507: 0.045413550476992734
Position 6143: 0.04153606092696698
Position 191: 0.04026579103030956
Position 3176: 0.030458484406102295
Position 239: 0.01705825986473538
Position 441: 0.016171915788802855
Position 8473: 0.01324764357530425
Position 8562: 0.012687654042458939
Position 46: 0.012286788274899405
Position 8756: 0.011576239101192064
Position 8490: 0.01089662460019284
Position 6931: 0.010602852560774999
Position 2811: 0.010316583128485577
Position 1330: 0.009846027978445084
Position 211: 0.009726113077905682
Position 765: 0.008930975240107225
Position 4034: 0.008174318166441815
Position 4684: 0.006593990221481906
Position 4566: 0.005544514144601601
Position 394: 0.004979861114089267
Position 5761: 0.004262348781791108
Position 3990: 0.004061401593353351
Position 375: 0.0037199355824739616
Position 3793: 0.0035684216715466135
Position 8760: 0.0032503129438798493
Position 8645: 0.0030387896865719205
Position 7237: 0.002441264923536612
Position 133: 0.0017158758326391874
Position 3019: 0.001681650059437569
Position 122: 0.0016185206609091725
Position 3607: 0.0015857884339751825
Position 6122: 0.001487201425583434
Position 6336: 0.001408701671116678
Position 110: 0.0013490646197139725
Position 2332: 0.0013326740170711625
Position 5139: 0.001187624675546448
Position 9302: 0.0010457231360927201
Position 1228: 0.0009349342463647218
Position 400: 0.000841332560163076
Position 8824: 0.0006963559013267387
Position 9703: 0.000646226940154155
Position 9774: 0.000597580753901426
Position 2790: 0.00058879323606596
