Gene = Spp2
index = 1017
Annotated 5SS: [  256   481  4268  5398 10332 11477 13718]
Annotated 3SS: [  355  4147  5289 10276 11425 13621 19360]
SMsplice 5SS: [  256   481  5398 10332 13718]
SMsplice 3SS: [  355  5289 10276 13621 17926]
top_k =  1000
Partition function (log Z): -3.6145298722076604

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.9774891188891507
Position 256: 0.9567111214646766
Position 13718: 0.9485043798317468
Position 10332: 0.6821282897079578
Position 5398: 0.5366922118795385
Position 4268: 0.49672858870357095
Position 1851: 0.48438597095774
Position 11477: 0.44955812130473144
Position 5335: 0.3933045326783532
Position 3911: 0.26574974744465446
Position 8029: 0.13351259875489005
Position 4033: 0.10246193459768538
Position 6007: 0.06940212216655783
Position 11839: 0.05984269554737701
Position 12735: 0.05869711521344746
Position 4468: 0.043613136260831235
Position 4014: 0.038534370521982046
Position 94: 0.03361155015618096
Position 15168: 0.027756255565103596
Position 4649: 0.02629442629994866
Position 12054: 0.025768556390823868
Position 1858: 0.018615787930355662
Position 2921: 0.0180332471349223
Position 421: 0.012920158810932496
Position 3065: 0.011758547158071338
Position 3544: 0.008252500963493042
Position 1087: 0.007416861436357399
Position 2983: 0.007081131324665076
Position 10725: 0.007078290645554365
Position 3298: 0.007034414433613551
Position 2518: 0.006274490210130545
Position 3856: 0.006232169748303221
Position 4037: 0.00612754856796282
Position 4041: 0.005704038157422172
Position 3005: 0.005636447161408346
Position 3231: 0.0053188825559369645
Position 1903: 0.0047046398354838965
Position 4227: 0.004026112736007873
Position 17935: 0.0036754499317174505
Position 245: 0.003231313713797565
Position 2723: 0.0030243044433633363
Position 1483: 0.0030237002112855575
Position 187: 0.002734024636300261
Position 17856: 0.0026321609130158016
Position 2947: 0.0018653470822413796
Position 293: 0.0018207037211726833
Position 2448: 0.0015750162643892586
Position 1152: 0.001532086569307196
Position 986: 0.001393242603033322
Position 4736: 0.001331202646370956
Position 485: 0.0012676859248634312
Position 793: 0.0010998472009506892
Position 1345: 0.0009193623583645951
Position 53: 0.0007653755966639927
Position 225: 0.0007500201128225745
Position 3049: 0.0006947438137308877
Position 1466: 0.00066156102797238
Position 2283: 0.0006612531738878713
Position 2172: 0.0006389421606308203
Position 4148: 0.000518417818684466
Position 5390: 0.0004691564715137982
Position 221: 0.00046508635135560783
Position 1561: 0.00042827372298649994
Position 3154: 0.0003629717726589227
Position 2872: 0.0003362655084218787
Position 3236: 0.0003350288103874541
Position 1828: 0.0003290159332783653
Position 156: 0.0003267693436631858
Position 11930: 0.000316974305636269
Position 1539: 0.00028206243979585
Position 3633: 0.0002770717119099342
Position 4112: 0.00020897663459226636
Position 5789: 0.00018689410756016152
Position 2273: 0.00018622648275037014
Position 87: 0.0001765067401409923
Position 3112: 0.00015283892733714645
Position 311: 0.00011539701121444702
Position 3108: 0.0001132288579039621
Position 1584: 9.382871432180418e-05
Position 3624: 8.860720364411328e-05
Position 16: 8.115376930002279e-05
Position 3179: 7.635472943383611e-05
Position 2935: 4.6192350998030765e-05
Position 440: 4.5905679402930394e-05
Position 450: 4.461397880294442e-05
Position 9: 3.0149698095373137e-05
Position 558: 3.0017047888108532e-05
Position 172: 2.9573878915890988e-05
Position 751: 2.9526338683368234e-05
Position 1390: 2.789878328304716e-05
Position 553: 2.767638229105511e-05
Position 1139: 2.433812132680212e-05
Position 2482: 2.3835274403987818e-05
Position 2502: 1.7318564206583095e-05
Position 3904: 1.469436230278658e-05
Position 2278: 1.4173825485106246e-05
Position 744: 1.395563489917767e-05
Position 732: 1.3024265521503413e-05
Position 915: 1.053911927467576e-05
Position 1363: 9.817595674026278e-06
Position 1563: 9.735302604627414e-06
Position 734: 9.095191167764873e-06
Position 247: 8.175178662802426e-06
Position 1700: 7.241639850031292e-06
Position 1514: 6.229094520102626e-06
Position 1383: 6.058684846441652e-06
Position 1045: 5.90234686711371e-06
Position 1891: 5.108723753946102e-06
Position 1956: 4.876095514931805e-06
Position 2692: 3.385398263579521e-06
Position 2585: 2.9828484343730953e-06
Position 2349: 2.905460507484759e-06
Position 130: 2.8100830603938203e-06
Position 2308: 1.6779020957550116e-06
Position 2698: 5.443583604297755e-07
Position 589: 1.54203899943384e-07
Position 573: 1.5400558831504374e-07
Position 432: 1.1015736534071662e-07
Position 593: 5.742387883199701e-08
Position 533: 5.54176910347515e-08
Position 2343: 5.1501553032885875e-08
Position 2453: 4.7990512386310677e-08
Position 404: 4.545715752531521e-08
Position 1354: 4.5428524305093535e-08
Position 366: 3.374470327412885e-08
Position 644: 2.7308955120612213e-08
Position 736: 2.492887609019821e-08
Position 647: 1.8057285149685067e-08
Position 412: 1.7607008027673082e-08
Position 339: 1.701757592793165e-08
Position 650: 1.5468657209306974e-08
Position 738: 1.351005811743793e-08
Position 364: 1.3093094969879675e-08
Position 653: 9.817038425185496e-09
Position 704: 6.454600147462274e-09
Position 772: 4.733949678421628e-09
Position 875: 4.192621056012226e-09
