Gene = Arpin
index = 142
Annotated 5SS: [ 207 3557 5787 7188 7734]
Annotated 3SS: [3480 5653 6980 7569 8508]
SMsplice 5SS: [ 207 3557 5700 7734]
SMsplice 3SS: [3480 5653 7569 8508]
top_k =  1000
Partition function (log Z): -0.5684355639178951

Sorted 5' Splice Sites (High to Low Probability):
Position 3557: 0.9219159300606926
Position 7734: 0.8909279550607313
Position 207: 0.8135994412313057
Position 3380: 0.41154093217284476
Position 5700: 0.3869298097478477
Position 1534: 0.3198771270776138
Position 5756: 0.20812479161114764
Position 5447: 0.20139328731058587
Position 5787: 0.19655476435144165
Position 326: 0.1261913116535009
Position 4054: 0.12426196685193884
Position 5546: 0.0996054014803548
Position 6435: 0.08204780355129997
Position 7037: 0.07275268472364033
Position 2663: 0.0724695002523812
Position 3363: 0.0689940515592652
Position 7188: 0.06875645340888065
Position 3565: 0.061808428888562576
Position 5057: 0.05980086876170714
Position 7767: 0.05962160698607415
Position 984: 0.050702612071215736
Position 1000: 0.05065276819529063
Position 8290: 0.05013948528501473
Position 8376: 0.04925499059187251
Position 3193: 0.04485985491403565
Position 5791: 0.04014296893011245
Position 8838: 0.037188283621717236
Position 7738: 0.03634214915307316
Position 5264: 0.03577030221325541
Position 1423: 0.03362240436842721
Position 277: 0.03114515978607529
Position 5200: 0.030608290070709122
Position 7291: 0.024249387155706768
Position 8687: 0.022602717600833593
Position 57: 0.018063242103862558
Position 6195: 0.015780920967966575
Position 3231: 0.015457133587968998
Position 853: 0.015298073245285777
Position 6398: 0.015224313728704933
Position 1057: 0.012895958227347197
Position 9610: 0.011673985211956844
Position 7393: 0.00775497121400289
Position 3680: 0.007698594082931921
Position 1419: 0.006772673242863679
Position 3209: 0.006499102369530703
Position 1712: 0.006187196539714946
Position 8654: 0.005526973144577089
Position 8299: 0.005125554209864325
Position 7975: 0.005039072389431886
Position 5463: 0.004424912276553391
Position 8308: 0.0043122652183060495
Position 7124: 0.004309024075771925
Position 6828: 0.00428312539375545
Position 9817: 0.0042738263682471226
Position 8789: 0.0037910074371276113
Position 717: 0.0032383704591986404
Position 9566: 0.0029054495454225973
Position 5047: 0.0022682843540874358
