Gene = Selenot
index = 962
Annotated 5SS: [  238  8706  9443 11898 13685]
Annotated 3SS: [ 8594  9315 11809 13530 14058]
SMsplice 5SS: [  238  8706  9443 11898 13685]
SMsplice 3SS: [ 8594  9315 11809 13530 14058]
top_k =  1000
Partition function (log Z): -0.10767329250330349

Sorted 5' Splice Sites (High to Low Probability):
Position 8706: 0.990643637765827
Position 11898: 0.9544163796054326
Position 238: 0.9229758415682311
Position 13685: 0.8909372291207037
Position 9443: 0.7989231674173141
Position 6507: 0.4230143002687627
Position 10169: 0.32338578984775085
Position 9723: 0.3207793616988262
Position 10126: 0.2140680034017247
Position 10134: 0.14446110657466285
Position 5337: 0.05274902890677804
Position 2489: 0.05189660472119217
Position 681: 0.04476634823993867
Position 1994: 0.03985835709419196
Position 6446: 0.038325422334644456
Position 13072: 0.03635495962629817
Position 10194: 0.029274879479069496
Position 11328: 0.027247781306946457
Position 4980: 0.026540872237725627
Position 242: 0.02508206604164853
Position 5395: 0.0167140731829131
Position 7109: 0.014794023783170457
Position 3237: 0.012224467454882775
Position 16269: 0.010900273411022067
Position 1203: 0.010330658931169957
Position 5799: 0.009707486535771562
Position 9844: 0.009389110685976195
Position 202: 0.009090255743003452
Position 14126: 0.008638562773450929
Position 10964: 0.007777474043209479
Position 11874: 0.007750270996151066
Position 7130: 0.006749516179315551
Position 4568: 0.006386527484864847
Position 15274: 0.005887857224542118
Position 9826: 0.004349415993896791
Position 1392: 0.004268391076384802
Position 9686: 0.004151210130148594
Position 5026: 0.0038365294430686963
Position 9084: 0.003480964083711927
Position 4895: 0.0033861185571833936
Position 358: 0.0032804429739077714
Position 6909: 0.003250672184280278
Position 9529: 0.0031507275378448818
Position 15041: 0.0029723759801226985
Position 13415: 0.0028792961536371732
Position 7994: 0.002683856214273191
Position 10827: 0.002455664089489783
Position 1200: 0.0023599934007756964
Position 7268: 0.002348055199469098
Position 11922: 0.002331441935228666
Position 13689: 0.002327635161308867
Position 2161: 0.002313650833906042
Position 5294: 0.0021300224994376085
Position 5276: 0.0020521411544740147
Position 10691: 0.0020316282734405976
Position 11556: 0.0020160740553166563
Position 13292: 0.001991351961238961
Position 12446: 0.0019265098253567184
Position 11397: 0.0019038535672054647
Position 5686: 0.0018514607553149804
Position 11862: 0.0018396303439074952
Position 544: 0.0017852101164986427
Position 14231: 0.0017806963849141986
Position 11474: 0.0017272157911067388
Position 7611: 0.0015821844070040337
