Gene = Edrf1
index = 360
Annotated 5SS: [  381  1573  3204  3877  6230  6607  9549  9924 10755 12883 13067 13593
 14651 16416 16865 19141 19626 21102 22752 24399 24688 25972 28441 30149]
Annotated 3SS: [ 1363  3136  3750  6104  6449  9446  9801 10642 12734 12957 13480 14389
 16343 16713 18951 19424 20882 22527 24239 24537 25817 28324 29996 33822]
SMsplice 5SS: [  381  3204  3877  6230  6607  9924 10755 12883 13067 13593 16416 16865
 21102 21550 22752 24399 24688 25972 28441 30149]
SMsplice 3SS: [ 3136  3750  6104  6493  9801 10642 12734 12957 13480 16343 16713 20882
 21415 22592 24239 24537 25817 28324 29996 33151]
top_k =  1000
Partition function (log Z): 27.7984524315848

Sorted 5' Splice Sites (High to Low Probability):
Position 13067: 0.9939206061578145
Position 28441: 0.9697592212074851
Position 25972: 0.961864631744284
Position 12883: 0.957427345978984
Position 22752: 0.9095740162859866
Position 3204: 0.8883035142327036
Position 6230: 0.8594664951199518
Position 381: 0.8585928502478625
Position 30149: 0.8281004048156283
Position 16416: 0.8074089807138061
Position 6607: 0.7939025267452917
Position 13593: 0.7848411332613281
Position 9924: 0.7692568340613675
Position 24399: 0.7654487964030862
Position 10755: 0.7105846106739013
Position 3877: 0.692508017817351
Position 19141: 0.6056825600081643
Position 21550: 0.5755326509337955
Position 21102: 0.573213718281221
Position 27545: 0.5631159876192288
Position 16865: 0.5607568053991971
Position 24688: 0.5438056477037924
Position 5796: 0.4644013598104296
Position 14651: 0.4524460617262108
Position 1573: 0.42124831556498477
Position 16877: 0.3857319769637279
Position 9549: 0.38307102927753367
Position 28925: 0.3749467166212916
Position 3056: 0.29139472231327396
Position 24122: 0.22322734562584154
Position 22378: 0.22029076232186678
Position 26938: 0.2104311197700277
Position 30408: 0.20744981232329365
Position 23113: 0.20198482213735913
Position 21366: 0.19756180741266077
Position 741: 0.1778401038859511
Position 19626: 0.17697432559093298
Position 27352: 0.16049281236144755
Position 18629: 0.16014285457820865
Position 15149: 0.1543815741666888
Position 21090: 0.13984001896095916
Position 3051: 0.13728555791232538
Position 29727: 0.12565468467092278
Position 3219: 0.10765782851416537
Position 4997: 0.10425919066177274
Position 31306: 0.09891224870801643
Position 6670: 0.09483400047697667
Position 10866: 0.08553623266106987
Position 9340: 0.08499947463618894
Position 5869: 0.07716242683398165
Position 21098: 0.07349292143402647
Position 1128: 0.0684000063720663
Position 2315: 0.06794940233096605
Position 33393: 0.06744704943610243
Position 8478: 0.06710516525257422
