Gene = AB124611
index = 82
Annotated 5SS: [  107  2883 12914 13685 14423]
Annotated 3SS: [ 2561 12885 13640 14384 18475]
SMsplice 5SS: [  107  2883  9797 12914 13728 14423]
SMsplice 3SS: [ 2561  9706 12885 13640 14384 17279]
top_k =  1000
Partition function (log Z): -3.2864477165283406

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9911784229240775
Position 14423: 0.8079842081041728
Position 9797: 0.7209875504869359
Position 12914: 0.665790552918273
Position 2883: 0.5457474461079542
Position 13728: 0.539013661204762
Position 15969: 0.439881690173257
Position 2778: 0.3838640686246098
Position 7549: 0.2532770963043576
Position 2356: 0.18172147147542947
Position 13685: 0.1430505465257885
Position 9787: 0.13811359809249432
Position 13723: 0.12827571478126662
Position 409: 0.11882392067550702
Position 14232: 0.08474042970437082
Position 14465: 0.08389540976421826
Position 13523: 0.06206602676467111
Position 14936: 0.05443204981325883
Position 2335: 0.049981777579104686
Position 13197: 0.04315806518016074
Position 1457: 0.038283418643762196
Position 9618: 0.03723482348989431
Position 14067: 0.03710728121219791
Position 14189: 0.03693002619258195
Position 14584: 0.032940362176700905
Position 16970: 0.029719692328010052
Position 16966: 0.02950274649450451
Position 2699: 0.02618178451968801
Position 14120: 0.02583164530338855
Position 14331: 0.025829659037776353
Position 10887: 0.021636149377846782
Position 10892: 0.020848008675131292
Position 2472: 0.01994340771663823
Position 17156: 0.019049340732520105
Position 14048: 0.018062470646437304
Position 2823: 0.018062066995441828
Position 3130: 0.017267810059799674
Position 9824: 0.01607906629529004
Position 13004: 0.015624364406712837
Position 7580: 0.011800874632950351
Position 663: 0.010857904245885577
Position 7735: 0.010598784951101397
Position 444: 0.007322924060341802
Position 4232: 0.007201184288750744
Position 16555: 0.005349994094962707
Position 2864: 0.0052923311509428935
Position 8594: 0.005281814702000586
Position 4965: 0.005091304966956073
Position 16988: 0.005071820694863257
Position 3886: 0.004793920307122284
Position 2086: 0.004782155853839401
Position 7728: 0.004656796246577218
Position 4012: 0.00434161946409163
Position 478: 0.0034678956362734488
Position 14944: 0.003323151885507617
Position 17525: 0.003093909324663936
Position 15083: 0.0026901802039410493
Position 13689: 0.0023373642449638077
Position 296: 0.0013591515104291296
Position 15178: 0.0012967681801956212
Position 1823: 0.0012918966897338094
